"bureau","Valeur.fonciere","Surface.reelle.bati","Nombre.pieces.principales","Surface.terrain"
"01249_1",364435.081818182,69.6781609195402,1.72413793103448,312.597402597403
"01249_2",253370.549450549,35.8915662650602,1.56626506024096,480.863636363636
"01249_3",330216.825,54.7536231884058,1.56521739130435,529.666666666667
"01249_4",305481.070422535,68.5,2.7,209.338461538462
"01249_5",341475.058823529,97.6060606060606,1.84848484848485,595.0625
"01249_6",397107.692307692,48.4912280701754,1.33333333333333,665.95
"06083_1",289722.058823529,33.8235294117647,1.05882352941176,NA
"06083_10",1305220.38095238,20.1437908496732,0.862745098039216,NA
"06083_11",328535.97515528,24.5031055900621,0.937888198757764,623
"06083_12",439042.857142857,25.0079365079365,1.15873015873016,460.633333333333
"06083_13",208702.256410256,24.9605263157895,1.09210526315789,83
"06083_14",354213.255319149,27.9887640449438,1.25842696629213,603.25
"06083_15",233642.434108527,22.0654205607477,0.981308411214953,285.333333333333
"06083_16",201520.146341463,18.9473684210526,0.973684210526316,1220
"06083_17",322593.010526316,29.6444444444444,1.21111111111111,440.7
"06083_18",194909.473684211,28,0.978947368421053,720.5
"06083_19",189305.389473684,29.15,1.3,1135.41666666667
"06083_2",377604.260465116,73.5348837209302,1.16279069767442,589
"06083_20",247956.955223881,38.9649122807018,1.78947368421053,1196.8125
"06083_21",229122.288507463,31.4153846153846,1.33846153846154,219.833333333333
"06083_22",422161.625786163,22.8057324840764,0.812101910828026,872.36
"06083_23",769085.274678112,33.2394366197183,1.0093896713615,1449.43137254902
"06083_24",228850.44,25.22,1.06,306
"06083_25",307066.063959391,31.7448979591837,0.806122448979592,750.2
"06083_26",355550.666666667,32.16,1.32,305.375
"06083_27",253223.310344828,57.7,1.15,483.8
"06083_3",228792.1875,34.796875,1.453125,NA
"06083_4",313582.949152542,48.4444444444444,1.72222222222222,495.111111111111
"06083_5",220318.796407186,21.6347305389222,0.838323353293413,NA
"06083_6",696527.772511848,109.753623188406,0.893719806763285,1354.64285714286
"06083_7",498940.906403941,30.5789473684211,1.09356725146199,NA
"06083_8",342940.631578947,25.3529411764706,0.983193277310924,594.269230769231
"06083_9",229081.373913043,21.6521739130435,0.860869565217391,80
"06088_101",516924.799180328,38.6311475409836,0.987704918032787,39
"06088_102",1095437.0245098,39.7352941176471,1.21078431372549,NA
"06088_103",496230.711382114,35.280487804878,1.2479674796748,NA
"06088_104",485525.760479042,35.0718562874251,1.22155688622754,NA
"06088_105",272521.750847458,33.1864406779661,1.38135593220339,NA
"06088_106",398597.735294118,37.2941176470588,0.965686274509804,495
"06088_107",567432.333333333,40.5541401273885,1.15923566878981,217.448275862069
"06088_108",570423.913043478,46.0869565217391,1.52173913043478,NA
"06088_109",304857.230392157,27.6225490196078,1,240
"06088_110",553018.165829146,46.2558139534884,1.19186046511628,335.928571428571
"06088_111",251993.362318841,37.5968992248062,1.33333333333333,NA
"06088_112",236850.636363636,37.1203703703704,1.11111111111111,NA
"06088_113",324169.009009009,39.1491228070175,1.21929824561404,NA
"06088_114",330310.042666667,24.0410256410256,0.882051282051282,NA
"06088_115",426668.758389262,34.0872483221477,1.38926174496644,NA
"06088_116",263486.948689139,20.5730337078652,0.700374531835206,NA
"06088_117",417791.73255814,33.0813953488372,1.08139534883721,NA
"06088_118",214303.074766355,42.4769230769231,0.964102564102564,168
"06088_119",347589.703703704,30.77,1.17,753
"06088_120",220075.736842105,31.2255639097744,1.27067669172932,NA
"06088_121",297922.527559055,27.244094488189,1.22047244094488,865
"06088_122",200211.433333333,18.5166666666667,0.783333333333333,140.25
"06088_123",296592.517730496,25.4255319148936,0.964539007092199,NA
"06088_124",311965.919354839,28.944,0.924,NA
"06088_125",268136.110047847,26.5797101449275,1.04347826086957,625.375
"06088_126",185629.541272727,26.4,1.06363636363636,169
"06088_127",190388.546428571,30.1428571428571,1.30357142857143,330.25
"06088_128",265786.729411765,27.025,1,169.588235294118
"06088_129",202833.352941176,27.7156862745098,1.03921568627451,297.285714285714
"06088_130",437711.470588235,52.3461538461538,0.884615384615385,NA
"06088_131",211807.767857143,18.1081081081081,0.927927927927928,170.047619047619
"06088_201",1067135.60179191,29.8953488372093,1.08720930232558,370
