"";"P19_RPAPPART_ACH05";"IRIS";"COM";"TYP_IRIS";"MODIF_IRIS";"LAB_IRIS";"P19_LOG";"P19_RP";"P19_RSECOCC";"P19_LOGVAC";"P19_MAISON";"P19_APPART";"P19_RP_1P";"P19_RP_2P";"P19_RP_3P";"P19_RP_4P";"P19_RP_5PP";"P19_NBPI_RP";"P19_RPMAISON";"P19_NBPI_RPMAISON";"P19_RPAPPART";"P19_NBPI_RPAPPART";"P19_RP_M30M2";"P19_RP_3040M2";"P19_RP_4060M2";"P19_RP_6080M2";"P19_RP_80100M2";"P19_RP_100120M2";"P19_RP_120M2P";"P19_RP_ACHTOT";"P19_RP_ACH19";"P19_RP_ACH45";"P19_RP_ACH70";"P19_RP_ACH90";"P19_RP_ACH05";"P19_RP_ACH15";"P19_RPMAISON_ACHTOT";"P19_RPMAISON_ACH19";"P19_RPMAISON_ACH45";"P19_RPMAISON_ACH70";"P19_RPMAISON_ACH90";"P19_RPMAISON_ACH05";"P19_RPMAISON_ACH15";"P19_RPAPPART_ACHTOT"
"161";0;"011500000";"01150";"Z";0;"5";119;92;15;12;109;10;1;2;11;20;58;459;85;434;7;25;1;0;1;14;18;22;36;90;27;16;9;11;13;14;83;25;15;9;10;13;11;7
"250";78,5030196139344;"012490101";"01249";"H";0;"4";1327,51581902356;1160,6522393554;17,3615285203862;149,50205114777;497,031230717407;827,532640725832;25,8364368349649;162,968293882088;333,88626063648;303,081278256336;334,879969745533;4496,53371839319;470,024408574584;2313,35480583856;688,640412562743;2177,2166579004;13,9119275265196;56,6414192151159;214,641167552021;337,861097072631;220,603422206251;150,050075464615;166,943130318248;1095,06743815895;174,892803190541;105,333165557939;338,854806181669;217,622294879135;157,006039227872;101,358329121792;451,143935502877;123,219929520609;65,5848011964529;80,4904378320104;52,6665827789701;78,5030196139375;50,6791645608969;641,936084437996
"251";258,364368349655;"012490102";"01249";"H";0;"4";1816,85679915368;1697,25515823546;17,3615285203862;102,24011239783;646,731149220497;1167,14452260607;113,282838430231;251,408404586391;380,590588761226;461,081026593247;490,892299864369;6384,5810255638;608,14997473075;3031,80649167242;1086,1240561776;3342,837442801;55,6477101060783;126,201056847714;306,062405583436;426,30120777694;409,408152923316;186,817312498989;186,817312498991;1628,6892297119;92,4149471404563;85,4589833771954;349,785606381078;530,640664225845;377,609461434117;192,779567153209;600,200301858452;75,521892286825;55,6477101060807;95,3960744675676;198,741821807434;119,245093084462;55,6477101060831;1025,50780052634
"252";56,6414192151182;"012490103";"01249";"H";0;"4";1428,28895549144;1274,92878689469;7,71623489794942;145,643933698795;998,212376351729;428,089160921635;9,93709109037133;98,3772017946749;208,678912897802;310,0372420196;647,898339092246;5858,90890688321;949,985908239545;4873,14947071835;322,955460437074;979,797181510636;2,98112732711145;17,8867639626681;126,201056847715;207,685203788766;246,439859041219;290,163059838858;383,571716088356;1124,87871143008;111,295420212163;52,6665827789701;137,131857047128;319,974333109968;257,370659240631;246,439859041221;899,306743678648;101,358329121791;44,7169099066731;102,352038230828;291,156768947891;200,729240025512;158,993457445953;224,578258642396
