"","IdINSPIRE","Id_carr1km","I_est_cr","Id_carr_n","Groupe","Depcom","I_pauv","Id_car2010","Ind","Men","Men_pauv","Men_1ind","Men_5ind","Men_prop","Men_fmp","Ind_snv","Men_surf","Men_coll","Men_mais","Log_av45","Log_45_70","Log_70_90","Log_ap90","Log_inc","Log_soc","Ind_0_3","Ind_4_5","Ind_6_10","Ind_11_17","Ind_18_24","Ind_25_39","Ind_40_54","Ind_55_64","Ind_65_79","Ind_80p","Ind_inc","I_est_1km","code_insee","nom","nuts2","wikipedia","surf_km2"
"55708","CRS3035RES200mN2892800E3771800","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892800E3771800",866428,"93057",0,"CRS3035RES200mN2892800E3771800",125,49,5,14,4,39,2,3057120,3584,13,36,33,7,5,4,0,0,7,4,7,8,9,30,23,15,11,9,2,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55715","CRS3035RES200mN2892800E3770600","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866396,"93010",0,"CRS3035RES200mN2892800E3770600",425.5,178,27,59,19,141,17,9996130.5,11994,107,71,70,7,6,95,0,0,20,9.5,22.5,36.5,27,84,101,66,34,14,11,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55725","CRS3035RES200mN2892800E3771400","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892800E3771400",866443,"93010",0,"CRS3035RES200mN2892800E3771400",454,142,22,23,25,118,15,9921033.5,11172,9,133,48,13,13,68,0,8,32.5,13,33,51.5,32,86,95,58,31,11,11,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55732","CRS3035RES200mN2892000E3770600","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866383,"93010",0,"CRS3035RES200mN2892000E3770600",82,29,1,4,2,27,3,2298221.7,2903,0,29,2,0,27,0,0,0,5,2,8,5,1,17,12,16,11,3,2,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55752","CRS3035RES200mN2892400E3771600","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892400E3771600",866447,"93010",0,"CRS3035RES200mN2892400E3771600",460,167,32,43,22,113,14,9454700.3,10615,76,91,112,31,14,10,0,8,49,12,33,35,22,116,71,57,45,20,0,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55753","CRS3035RES200mN2892800E3771200","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892800E3771200",866440,"93010",0,"CRS3035RES200mN2892800E3771200",451,135,33,36,32,69,13,7782760.2,8983,58,77,55,53,7,20,0,58,27,14,26,47,33,74,98,56,41,15,20,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55758","CRS3035RES200mN2892800E3770400","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866400,"93010",0,"CRS3035RES200mN2892800E3770400",519.5,232,43,92,16,153,21,11144527.3,14253,162,70,103,15,53,61,0,1,30,13,31,35,23.5,135,93,62,58,34,5,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55813","CRS3035RES200mN2892400E3770200","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866398,"93010",0,"CRS3035RES200mN2892400E3770200",453,188,23,62,13,113,13,9765573.4,11152,133,55,32,136,18,2,0,0,41,14,32,24,21,138,76,47,29,26,5,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55825","CRS3035RES200mN2892800E3770200","CRS3035RES1000mN2892000E3770000",0,"CRS3035RES1000mN2892000E3770000",866402,"93010",0,"CRS3035RES200mN2892800E3770200",740,294,61,99,33,154,34,13821080.6,16882,246,48,82,24,11,177,0,41,42.5,28,51,48.5,45,199,139,89,62,28,8,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
"55836","CRS3035RES200mN2892000E3771800","CRS3035RES1000mN2892000E3771000",0,"CRS3035RES200mN2892000E3771800",866435,"93077",0,"CRS3035RES200mN2892000E3771800",233.5,72,11,11,14,55,10,5428795.9,6278,17,55,46,17,6,3,0,0,18,9,22.5,23,16,45,47,20,14,8,11,0,"11","Île-de-France","FR10","fr:Île-de-France",12069
