Type de budget,Agrégat,Montant en € par habitant
AUBERVILLIERS,Recettes d'investissement,139.723632877255
AULNAY-SOUS-BOIS,Recettes d'investissement,335.31925471755
BAGNOLET,Recettes d'investissement,320.485432016999
BLANC-MESNIL (LE ),Recettes d'investissement,541.974549500055
BOBIGNY,Recettes d'investissement,394.444658308074
BONDY,Recettes d'investissement,183.445976658362
LE BOURGET,Recettes d'investissement,343.204525923626
CLICHY-SOUS-BOIS,Recettes d'investissement,289.290433872629
COUBRON,Recettes d'investissement,209.72548434238
COURNEUVE (LA ),Recettes d'investissement,469.217386355345
DRANCY,Recettes d'investissement,462.962987643678
DUGNY,Recettes d'investissement,56.5498527020564
EPINAY-SUR-SEINE,Recettes d'investissement,79.6648683806392
GAGNY,Recettes d'investissement,85.2863502724623
GOURNAY-SUR-MARNE,Recettes d'investissement,304.203134632161
ILE-SAINT-DENIS (L' ),Recettes d'investissement,20.8230540393013
LILAS (LES),Recettes d'investissement,106.439709525471
LIVRY-GARGAN,Recettes d'investissement,139.069273812767
MONTFERMEIL,Recettes d'investissement,625.350085648148
MONTREUIL,Recettes d'investissement,285.827683414135
NEUILLY-PLAISANCE,Recettes d'investissement,97.8655983188515
NEUILLY-SUR-MARNE,Recettes d'investissement,539.355076442171
NOISY-LE-GRAND,Recettes d'investissement,764.421686060792
NOISY-LE-SEC,Recettes d'investissement,255.860266641718
PANTIN,Recettes d'investissement,560.503299864069
PAVILLONS-SOUS-BOIS (LES),Recettes d'investissement,296.307041455669
PIERREFITTE-SUR-SEINE,Recettes d'investissement,374.041042817914
PRE-SAINT-GERVAIS (LE ),Recettes d'investissement,54.2314491112872
RAINCY (LE ),Recettes d'investissement,530.47225882991
ROMAINVILLE,Recettes d'investissement,1127.48858593296
ROSNY-SOUS-BOIS,Recettes d'investissement,465.600445447234
SAINT-DENIS,Recettes d'investissement,243.259970828263
SAINT-OUEN,Recettes d'investissement,551.228736055589
SEVRAN,Recettes d'investissement,498.572294437607
STAINS,Recettes d'investissement,133.54743434132
TREMBLAY-EN-FRANCE,Recettes d'investissement,256.293616126356
VAUJOURS,Recettes d'investissement,363.756708842764
VILLEMOMBLE,Recettes d'investissement,235.846782239876
VILLEPINTE,Recettes d'investissement,348.011747268593
VILLETANEUSE,Recettes d'investissement,99.7731527368337
AUBERVILLIERS,Recettes totales,1750.58082069426
AULNAY-SOUS-BOIS,Recettes totales,2230.38871043588
BAGNOLET,Recettes totales,2071.05224521897
BLANC-MESNIL (LE ),Recettes totales,2240.71187378676
BOBIGNY,Recettes totales,2402.51631283707
BONDY,Recettes totales,1695.8711221221
LE BOURGET,Recettes totales,1803.97376404843
CLICHY-SOUS-BOIS,Recettes totales,1948.48937809375
COUBRON,Recettes totales,1392.73143215031
COURNEUVE (LA ),Recettes totales,2101.12761741457
DRANCY,Recettes totales,1985.29247011494
DUGNY,Recettes totales,2171.69096891439
EPINAY-SUR-SEINE,Recettes totales,1423.1966093335
GAGNY,Recettes totales,1366.80654340388
GOURNAY-SUR-MARNE,Recettes totales,1743.20826257633
ILE-SAINT-DENIS (L' ),Recettes totales,1366.84263646288
LILAS (LES),Recettes totales,1655.95996772505
LIVRY-GARGAN,Recettes totales,1414.97653455008
MONTFERMEIL,Recettes totales,2084.16120177469
MONTREUIL,Recettes totales,1961.08188110749
NEUILLY-PLAISANCE,Recettes totales,1413.19413864753
NEUILLY-SUR-MARNE,Recettes totales,1884.10205058255
NOISY-LE-GRAND,Recettes totales,2523.76807276635
NOISY-LE-SEC,Recettes totales,1797.82593090705
PANTIN,Recettes totales,2575.28964567286
PAVILLONS-SOUS-BOIS (LES),Recettes totales,1591.90951506308
PIERREFITTE-SUR-SEINE,Recettes totales,1682.49397938773
PRE-SAINT-GERVAIS (LE ),Recettes totales,1454.69962187252
RAINCY (LE ),Recettes totales,1877.1269134296
ROMAINVILLE,Recettes totales,2717.21021546212
ROSNY-SOUS-BOIS,Recettes totales,2162.47642011438
SAINT-DENIS,Recettes totales,1925.86843492734
SAINT-OUEN,Recettes totales,2734.69167584085
SEVRAN,Recettes totales,2182.55917397864
STAINS,Recettes totales,1620.52823977189
TREMBLAY-EN-FRANCE,Recettes totales,2956.86444590689
VAUJOURS,Recettes totales,2123.54270685243
VILLEMOMBLE,Recettes totales,1421.86336149729
VILLEPINTE,Recettes totales,1957.31556735622
VILLETANEUSE,Recettes totales,1607.11013783762
AUBERVILLIERS,Variation du fonds de roulement,-16.7997762080314
AULNAY-SOUS-BOIS,Variation du fonds de roulement,-3.72075963103693
BAGNOLET,Variation du fonds de roulement,-238.508035985319
BLANC-MESNIL (LE ),Variation du fonds de roulement,-104.297819470388
BOBIGNY,Variation du fonds de roulement,-14.7853883399601
BONDY,Variation du fonds de roulement,-101.864842546974
LE BOURGET,Variation du fonds de roulement,74.0851952809686
CLICHY-SOUS-BOIS,Variation du fonds de roulement,49.1240198000066
COUBRON,Variation du fonds de roulement,99.7640459290188
COURNEUVE (LA ),Variation du fonds de roulement,-99.3608498115036
DRANCY,Variation du fonds de roulement,12.0493327586207
DUGNY,Variation du fonds de roulement,-137.297323768532
EPINAY-SUR-SEINE,Variation du fonds de roulement,-8.37654754376775
GAGNY,Variation du fonds de roulement,13.5470029147131
GOURNAY-SUR-MARNE,Variation du fonds de roulement,195.757086362315
ILE-SAINT-DENIS (L' ),Variation du fonds de roulement,-20.1059320414849
LILAS (LES),Variation du fonds de roulement,-27.5665505059315
LIVRY-GARGAN,Variation du fonds de roulement,-39.9939396622174
MONTFERMEIL,Variation du fonds de roulement,280.856795910493
MONTREUIL,Variation du fonds de roulement,40.1384770093175
NEUILLY-PLAISANCE,Variation du fonds de roulement,0.707215715904623
NEUILLY-SUR-MARNE,Variation du fonds de roulement,243.067280193237
NOISY-LE-GRAND,Variation du fonds de roulement,33.9103724286153
NOISY-LE-SEC,Variation du fonds de roulement,-44.3594826215089
PANTIN,Variation du fonds de roulement,92.1748304485724
PAVILLONS-SOUS-BOIS (LES),Variation du fonds de roulement,198.59995493949
PIERREFITTE-SUR-SEINE,Variation du fonds de roulement,-3.24156795606311
PRE-SAINT-GERVAIS (LE ),Variation du fonds de roulement,31.4411740065661
RAINCY (LE ),Variation du fonds de roulement,503.319082774049
ROMAINVILLE,Variation du fonds de roulement,342.628212361945
ROSNY-SOUS-BOIS,Variation du fonds de roulement,-48.3356438209273
SAINT-DENIS,Variation du fonds de roulement,21.1578068401459
SAINT-OUEN,Variation du fonds de roulement,-166.336069193579
SEVRAN,Variation du fonds de roulement,-55.8441328860124
STAINS,Variation du fonds de roulement,6.90123234278526
TREMBLAY-EN-FRANCE,Variation du fonds de roulement,-10.3042690777993
VAUJOURS,Variation du fonds de roulement,244.583586863804
VILLEMOMBLE,Variation du fonds de roulement,167.233214057293
VILLEPINTE,Variation du fonds de roulement,140.527481282237
VILLETANEUSE,Variation du fonds de roulement,32.3575005975618
AUBERVILLIERS,Achats et charges externes,189.420518220736
AULNAY-SOUS-BOIS,Achats et charges externes,409.123801173759
BAGNOLET,Achats et charges externes,339.739719235033
BLANC-MESNIL (LE ),Achats et charges externes,331.365308508918
BOBIGNY,Achats et charges externes,326.218273740869
BONDY,Achats et charges externes,338.695009685952
LE BOURGET,Achats et charges externes,448.484334477264
CLICHY-SOUS-BOIS,Achats et charges externes,487.661552778604
COUBRON,Achats et charges externes,334.743447275741
COURNEUVE (LA ),Achats et charges externes,356.915891886739
DRANCY,Achats et charges externes,315.243324644617
DUGNY,Achats et charges externes,430.82155043173
EPINAY-SUR-SEINE,Achats et charges externes,195.730142524724
GAGNY,Achats et charges externes,245.136572296263
GOURNAY-SUR-MARNE,Achats et charges externes,308.310731918579
ILE-SAINT-DENIS (L' ),Achats et charges externes,248.108275907591
LILAS (LES),Achats et charges externes,288.940092167893
LIVRY-GARGAN,Achats et charges externes,212.029795872689
MONTFERMEIL,Achats et charges externes,326.414557426431
MONTREUIL,Achats et charges externes,318.710123461381
NEUILLY-PLAISANCE,Achats et charges externes,239.623415606964
NEUILLY-SUR-MARNE,Achats et charges externes,298.111182223747
NOISY-LE-GRAND,Achats et charges externes,322.358998845283
NOISY-LE-SEC,Achats et charges externes,293.602318341484
PANTIN,Achats et charges externes,351.216719248589
PAVILLONS-SOUS-BOIS (LES),Achats et charges externes,236.943672140912
PIERREFITTE-SUR-SEINE,Achats et charges externes,225.58605002518
PRE-SAINT-GERVAIS (LE ),Achats et charges externes,332.512312840992
RAINCY (LE ),Achats et charges externes,532.158780967895
ROMAINVILLE,Achats et charges externes,319.22025522485
ROSNY-SOUS-BOIS,Achats et charges externes,431.932585605404
SAINT-DENIS,Achats et charges externes,332.871513740601
SAINT-OUEN,Achats et charges externes,349.939339458196
SEVRAN,Achats et charges externes,358.103477232873
STAINS,Achats et charges externes,243.878563768189
TREMBLAY-EN-FRANCE,Achats et charges externes,429.607699333914
VAUJOURS,Achats et charges externes,441.486831725312
VILLEMOMBLE,Achats et charges externes,244.120549490781
VILLEPINTE,Achats et charges externes,354.59647025156
VILLETANEUSE,Achats et charges externes,327.603100854165
AUBERVILLIERS,Autres dotations de fonctionnement,4.04159996205249
AULNAY-SOUS-BOIS,Autres dotations de fonctionnement,8.03049635279302
BAGNOLET,Autres dotations de fonctionnement,8.13689024390244
BLANC-MESNIL (LE ),Autres dotations de fonctionnement,12.5285875949776
BOBIGNY,Autres dotations de fonctionnement,7.93523644752018
BONDY,Autres dotations de fonctionnement,3.72786201244272
LE BOURGET,Autres dotations de fonctionnement,2.26541242799363
CLICHY-SOUS-BOIS,Autres dotations de fonctionnement,7.42169989090548
COURNEUVE (LA ),Autres dotations de fonctionnement,0.944084278768233
DRANCY,Autres dotations de fonctionnement,7.10152978377916
DUGNY,Autres dotations de fonctionnement,2.69465793718569
EPINAY-SUR-SEINE,Autres dotations de fonctionnement,3.53270433391507
GAGNY,Autres dotations de fonctionnement,0.70582034485355
GOURNAY-SUR-MARNE,Autres dotations de fonctionnement,3.59924931427746
LILAS (LES),Autres dotations de fonctionnement,2.33266983989615
LIVRY-GARGAN,Autres dotations de fonctionnement,3.24296074130445
MONTFERMEIL,Autres dotations de fonctionnement,4.90028578048969
MONTREUIL,Autres dotations de fonctionnement,5.10599271131605
NEUILLY-PLAISANCE,Autres dotations de fonctionnement,2.26446436112806
NEUILLY-SUR-MARNE,Autres dotations de fonctionnement,4.77931251429879
NOISY-LE-GRAND,Autres dotations de fonctionnement,1.66541697284165
NOISY-LE-SEC,Autres dotations de fonctionnement,12.2995155772895
PANTIN,Autres dotations de fonctionnement,7.54192431808758
PAVILLONS-SOUS-BOIS (LES),Autres dotations de fonctionnement,4.08679373723622
PIERREFITTE-SUR-SEINE,Autres dotations de fonctionnement,1.02783280174585
PRE-SAINT-GERVAIS (LE ),Autres dotations de fonctionnement,2.05337758029135
ROMAINVILLE,Autres dotations de fonctionnement,16.3868490429068
ROSNY-SOUS-BOIS,Autres dotations de fonctionnement,4.83161122591827
SAINT-DENIS,Autres dotations de fonctionnement,8.19136942192253
SAINT-OUEN,Autres dotations de fonctionnement,5.74150482948137
SEVRAN,Autres dotations de fonctionnement,6.58877307745355
STAINS,Autres dotations de fonctionnement,1.85864256583254
TREMBLAY-EN-FRANCE,Autres dotations de fonctionnement,12.9398274359911
VAUJOURS,Autres dotations de fonctionnement,0.00595913734392736
VILLEMOMBLE,Autres dotations de fonctionnement,0.251780603075285
VILLEPINTE,Autres dotations de fonctionnement,4.45030116377313
VILLETANEUSE,Autres dotations de fonctionnement,2.34871875244887
AUBERVILLIERS,Autres dotations et subventions,74.1341939117957
AULNAY-SOUS-BOIS,Autres dotations et subventions,47.6464944044479
BAGNOLET,Autres dotations et subventions,100.17280654102
BLANC-MESNIL (LE ),Autres dotations et subventions,97.1083905444486
BOBIGNY,Autres dotations et subventions,80.0164175317186
BONDY,Autres dotations et subventions,57.0815594382148
LE BOURGET,Autres dotations et subventions,272.288676308371
CLICHY-SOUS-BOIS,Autres dotations et subventions,60.5485007768852
COUBRON,Autres dotations et subventions,32.7706795110835
COURNEUVE (LA ),Autres dotations et subventions,18.6068660024788
DRANCY,Autres dotations et subventions,60.3650970002564
DUGNY,Autres dotations et subventions,53.5786621121549
EPINAY-SUR-SEINE,Autres dotations et subventions,146.845546284177
GAGNY,Autres dotations et subventions,12.5572946314284
GOURNAY-SUR-MARNE,Autres dotations et subventions,34.6388364371301
ILE-SAINT-DENIS (L' ),Autres dotations et subventions,155.150637623762
LILAS (LES),Autres dotations et subventions,17.3272665512765
LIVRY-GARGAN,Autres dotations et subventions,42.2862220779802
MONTFERMEIL,Autres dotations et subventions,99.3738537885224
MONTREUIL,Autres dotations et subventions,91.7442375701908
NEUILLY-PLAISANCE,Autres dotations et subventions,38.0807850405894
NEUILLY-SUR-MARNE,Autres dotations et subventions,68.6987111072981
NOISY-LE-GRAND,Autres dotations et subventions,93.4793404615869
NOISY-LE-SEC,Autres dotations et subventions,99.0348538696421
PANTIN,Autres dotations et subventions,68.6513966359588
PAVILLONS-SOUS-BOIS (LES),Autres dotations et subventions,54.0420775187202
PIERREFITTE-SUR-SEINE,Autres dotations et subventions,70.7659311734094
PRE-SAINT-GERVAIS (LE ),Autres dotations et subventions,20.2269525845098
RAINCY (LE ),Autres dotations et subventions,70.027688861739
ROMAINVILLE,Autres dotations et subventions,201.224752225576
ROSNY-SOUS-BOIS,Autres dotations et subventions,88.1031751216586
SAINT-DENIS,Autres dotations et subventions,39.238041618724
SAINT-OUEN,Autres dotations et subventions,57.4000986403626
SEVRAN,Autres dotations et subventions,104.044060252596
STAINS,Autres dotations et subventions,61.591156286189
TREMBLAY-EN-FRANCE,Autres dotations et subventions,9.25883730080661
VAUJOURS,Autres dotations et subventions,11.8715380249716
VILLEMOMBLE,Autres dotations et subventions,30.0472408972908
VILLEPINTE,Autres dotations et subventions,52.7670657654466
VILLETANEUSE,Autres dotations et subventions,22.0945780111277
AUBERVILLIERS,Autres impôts et taxes,38.9216629312083
AULNAY-SOUS-BOIS,Autres impôts et taxes,164.74419333761
BAGNOLET,Autres impôts et taxes,81.6764420731707
BLANC-MESNIL (LE ),Autres impôts et taxes,37.3813710908732
BOBIGNY,Autres impôts et taxes,28.5777954632834
BONDY,Autres impôts et taxes,44.6428836195656
LE BOURGET,Autres impôts et taxes,103.298113126609
CLICHY-SOUS-BOIS,Autres impôts et taxes,31.1962646699064
