"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"852399";"01";"CRS3035RES200mN2536000E3927800";"CRS3035RES1000mN2536000E3927000";"CRS3035RES4000mN2536000E3924000";1;0;"01249";5;1,9;0,1;0,4;0,2;1,8;0,2;173729,8;246,4;0,1;1,8;0,3;0,3;0,8;0,5;0;0;0,2;0,1;0,3;0,6;0,3;0,2;1,1;1,1;0,7;0,4
"853060";"01";"CRS3035RES200mN2536200E3927800";"CRS3035RES1000mN2536000E3927000";"CRS3035RES4000mN2536000E3924000";0;0;"01249";42;13;0;1;3;13;0;1118190,7;1492;0;13;1;0;1;11;0;0;2;0;2;4;8;3;11;4;8;0
"853061";"01";"CRS3035RES200mN2536200E3928000";"CRS3035RES1000mN2536000E3928000";"CRS3035RES4000mN2536000E3928000";1;0;"01249";8;4;0,7;2;0,3;2,3;0,3;211200,3;336;1,7;2,3;1;0,7;0;2,3;0;0;0;0,3;0,3;0,4;1;1,3;1,7;1,3;0,4;1,3
"853665";"01";"CRS3035RES200mN2536400E3927600";"CRS3035RES1000mN2536000E3927000";"CRS3035RES4000mN2536000E3924000";0;0;"0124901275";282;124;9;44;8;51;18;6535857,6;8865;117;7;0;86;0;38;0;29;9,5;4,5;20;30;27;58;69;31;24;9
"853666";"01";"CRS3035RES200mN2536400E3927800";"CRS3035RES1000mN2536000E3927000";"CRS3035RES4000mN2536000E3924000";0;0;"01249";229,5;102;12;41;9;57;16;4910988,7;6746;81;21;3;68;6;25;0;15;16;11,5;20;22;11;52;46;20;21;9
"853667";"01";"CRS3035RES200mN2536400E3928000";"CRS3035RES1000mN2536000E3928000";"CRS3035RES4000mN2536000E3928000";0;0;"01249";141,5;61;5;19;4;45;10;3785831,6;6179;34;27;27;15;3;16;0;0;8;8;9;13;10,5;29;30;17;15;2
"853668";"01";"CRS3035RES200mN2536400E3928200";"CRS3035RES1000mN2536000E3928000";"CRS3035RES4000mN2536000E3928000";0;0;"01249";127,5;68;4;30;1;39;8;3666646,4;5974;49;19;16;1;4;47;0;0;7;2,5;6,5;2;10,5;34;19;20;17;9
"853669";"01";"CRS3035RES200mN2536400E3928400";"CRS3035RES1000mN2536000E3928000";"CRS3035RES4000mN2536000E3928000";0;0;"01249";36;13;2;3;3;9;2;989963,9;1567;3;10;6;2;1;4;0;0;2;0;4;7;0;4;10;2;6;1
"853670";"01";"CRS3035RES200mN2536400E3928600";"CRS3035RES1000mN2536000E3928000";"CRS3035RES4000mN2536000E3928000";1;0;"01249";12;6;1;3;0,5;3,5;0,5;316800,5;504;2,5;3,5;1,5;1;0;3,5;0;0;0;0,5;0,5;0,5;1,5;2;2,5;2;0,5;2
"853671";"01";"CRS3035RES200mN2536400E3928800";"CRS3035RES1000mN2536000E3928000";"CRS3035RES4000mN2536000E3928000";1;0;"01249";4;2;0,3;1;0,2;1,2;0,2;105600,2;168;0,8;1,2;0,5;0,3;0;1,2;0;0;0;0,2;0,2;0,2;0,5;0,6;0,8;0,6;0,2;0,7
