"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"1462010";"45";"CRS3035RES200mN2780000E3699800";"CRS3035RES1000mN2780000E3699000";"CRS3035RES1000mN2780000E3699000";0;0;"4520345024";75,5;39;8;12;0;25;4;1756346,2;3408;11;28;0;22;17;0;0;11;2;0,5;2,5;4,5;4;9;15;4;20;14
"1462011";"45";"CRS3035RES200mN2780000E3700000";"CRS3035RES1000mN2780000E3700000";"CRS3035RES2000mN2780000E3700000";0;0;"4520345024";28,5;15;1;4;0;13;2;675717,6;1495;0;15;0;15;0;0;0;0;0;0;0;3,5;1;2;3;3;11;5
"1462012";"45";"CRS3035RES200mN2780000E3700800";"CRS3035RES1000mN2780000E3700000";"CRS3035RES2000mN2780000E3700000";1;0;"45203";3;1,2;0;0,4;0,2;0,9;0,1;89481,5;139,9;0,3;0,9;0,7;0,3;0,1;0,1;0;0;0;0,1;0,2;0,2;0,3;0,7;0,7;0,5;0,2;0,1
"1462604";"45";"CRS3035RES200mN2780200E3699600";"CRS3035RES1000mN2780000E3699000";"CRS3035RES1000mN2780000E3699000";0;0;"4520345024";129,5;56;9;11;3;20;8;2427271,1;4765;0;56;0;1;55;0;0;31;3;1;7,5;12;7;16;22;13;42;6
"1462605";"45";"CRS3035RES200mN2780200E3699800";"CRS3035RES1000mN2780000E3699000";"CRS3035RES1000mN2780000E3699000";0;0;"45203";181;84;14;27;4;26;22;3424544,8;6239;45;39;0;31;53;0;0;48;12,5;2,5;13;15;4;27;40;19;31;17
"1462606";"45";"CRS3035RES200mN2780200E3700000";"CRS3035RES1000mN2780000E3700000";"CRS3035RES2000mN2780000E3700000";0;0;"45203";40;19;3;11;3;3;1;675127,4;1362;15;4;0;19;0;0;0;15;1;3;5;4;0;6;6;3;8;4
"1462607";"45";"CRS3035RES200mN2780200E3700200";"CRS3035RES1000mN2780000E3700000";"CRS3035RES2000mN2780000E3700000";1;0;"45203";2;0,8;0;0,3;0,1;0,6;0;59654,3;93,3;0,2;0,6;0,4;0,2;0,1;0,1;0;0;0;0;0,2;0,2;0,2;0,5;0,5;0,3;0,1;0
"1463227";"45";"CRS3035RES200mN2780400E3699400";"CRS3035RES1000mN2780000E3699000";"CRS3035RES1000mN2780000E3699000";0;0;"4520345024";74;30;2;8;1;28;0;1788649,5;3137;0;30;0;3;9;18;0;0;1;1;5;8;7;4;18;10;14;6
"1463228";"45";"CRS3035RES200mN2780400E3699600";"CRS3035RES1000mN2780000E3699000";"CRS3035RES1000mN2780000E3699000";0;0;"45203";90;40;1;15;3;38;4;1937396,1;3146;0;40;1;29;10;0;0;0;7;2;2;10;6;13;17;6;15;12
"1463229";"45";"CRS3035RES200mN2780400E3699800";"CRS3035RES1000mN2780000E3699000";"CRS3035RES1000mN2780000E3699000";0;0;"45203";65;37;2;20;2;26;4;1583528,7;2634;0;37;0;37;0;0;0;0;1;1;1;6;4;7;10;9;12;14
"1463230";"45";"CRS3035RES200mN2780400E3700000";"CRS3035RES1000mN2780000E3700000";"CRS3035RES2000mN2780000E3700000";0;0;"45203";77;36;4;15;1;7;7;1600402,7;2932;26;10;17;16;1;2;0;15;9;1,5;1,5;11;3;16;19;6;9;1
"1463231";"45";"CRS3035RES200mN2780400E3700200";"CRS3035RES1000mN2780000E3700000";"CRS3035RES2000mN2780000E3700000";0;0;"45203";144;77;10;36;3;24;16;3741757,4;6455;53;24;39;5;7;26;0;3;5;0;8,5;11,5;11;34;32;15;14;13
"1463232";"45";"CRS3035RES200mN2780400E3700400";"CRS3035RES1000mN2780000E3700000";"CRS3035RES2000mN2780000E3700000";1;0;"45203";11;4,3;0;1,4;0,6;3,3;0,2;328098,9;513,1;1;3,3;2,5;1;0,4;0,4;0;0;0;0,2;0,8;0,8;1,2;2,7;2,7;1,8;0,6;0,2
"1463233";"45";"CRS3035RES200mN2780400E3701200";"CRS3035RES1000mN2780000E3701000";"CRS3035RES2000mN2780000E3700000";1;1;"45203";5;1,8;0,1;0,3;0,1;1,5;0,1;129849,4;198,3;0;1,8;0,4;0,5;0,7;0,2;0;0;0,2;0,1;0,3;0,5;0,4;0,7;1,1;0,4;1,1;0,2
"1463884";"45";"CRS3035RES200mN2780600E3699400";"CRS3035RES1000mN2780000E3699000";"CRS3035RES1000mN2780000E3699000";0;0;"45203";38;12;3;0;2;7;2;744076,3;1152;0;12;0;0;0;12;0;0;4;1;0;6;5;6;9;6;1;0
"1463885";"45";"CRS3035RES200mN2780600E3699600";"CRS3035RES1000mN2780000E3699000";"CRS3035RES1000mN2780000E3699000";0;0;"45203";71;24;0;4;4;21;2;1732700,2;2496;2;22;3;6;1;14;0;0;3;1;8,5;10,5;6;10;18;7;4;3
"1463886";"45";"CRS3035RES200mN2780600E3699800";"CRS3035RES1000mN2780000E3699000";"CRS3035RES1000mN2780000E3699000";0;0;"45203";48,5;20;0;4;1;13;2;1206233,1;1837;4;16;14;2;2;2;0;0;2;3;4;1;1,5;9;8;7;8;5
"1463887";"45";"CRS3035RES200mN2780600E3700000";"CRS3035RES1000mN2780000E3700000";"CRS3035RES2000mN2780000E3700000";0;0;"45203";151;78;7;35;3;41;15;3899381;6996;33;45;50;4;12;11;1;16;5;1;4,5;10;16,5;28;23;22;28;13
"1463888";"45";"CRS3035RES200mN2780600E3700200";"CRS3035RES1000mN2780000E3700000";"CRS3035RES2000mN2780000E3700000";0;0;"45203";212;102;15;51;7;50;10;5041806,9;8767;35;67;91;5;1;5;0;0;11;3;14;19;21;46;43;34;13;8
