"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"905391";"69";"CRS3035RES200mN2554200E3913600";"CRS3035RES1000mN2554000E3913000";"CRS3035RES1000mN2554000E3913000";0;0;"69264";28;11;0;3;1;8;1;902247,4;1298;1;10;4;0;1;6;0;0;1;0;3;1;2;6;5;6;3;1
"905392";"69";"CRS3035RES200mN2554200E3913800";"CRS3035RES1000mN2554000E3913000";"CRS3035RES1000mN2554000E3913000";1;0;"69264";12;3,7;0,9;0,4;0,9;3,2;0,4;272675,9;442,2;0,1;3,6;1,1;0,4;0,5;1,7;0;0;0,7;0,1;1,5;1,7;0,4;2,2;2,2;1,9;0,8;0,5
"905393";"69";"CRS3035RES200mN2554200E3914000";"CRS3035RES1000mN2554000E3914000";"CRS3035RES1000mN2554000E3914000";1;0;"69264";1;0,6;0,1;0,3;0;0,4;0;33193,8;75;0;0,6;0,2;0;0,2;0,2;0;0;0;0;0;0;0,1;0,1;0,2;0,3;0,2;0,1
"905996";"69";"CRS3035RES200mN2554400E3913600";"CRS3035RES1000mN2554000E3913000";"CRS3035RES1000mN2554000E3913000";1;0;"6926469115";23;7,1;1,8;0,8;1,8;6,1;0,8;522628,8;847,5;0,3;6,8;2;0,8;1;3,3;0;0;1,3;0,2;2,8;3,3;0,8;4,3;4,3;3,5;1,5;1
"905997";"69";"CRS3035RES200mN2554400E3913800";"CRS3035RES1000mN2554000E3913000";"CRS3035RES1000mN2554000E3913000";0;0;"69264";45;15;1;2;2;12;2;1032283,5;1686;1;14;9;1;2;3;0;0;3;0;2;2;7;9;8;7;6;1
"906617";"69";"CRS3035RES200mN2554600E3913600";"CRS3035RES1000mN2554000E3913000";"CRS3035RES1000mN2554000E3913000";1;0;"6926469115";19;5,8;1,5;0,6;1,5;5;0,6;431736,8;700,1;0,2;5,6;1,7;0,6;0,8;2,7;0;0;1;0,2;2,3;2,7;0,6;3,6;3,6;2,9;1,3;0,8
"906618";"69";"CRS3035RES200mN2554600E3913800";"CRS3035RES1000mN2554000E3913000";"CRS3035RES1000mN2554000E3913000";0;0;"69264";53;17;0;4;5;9;2;1400180,1;1903;6;11;7;2;0;8;0;0;8;2;8;2;3;12;8;5;2;3
"907269";"69";"CRS3035RES200mN2554800E3913400";"CRS3035RES1000mN2554000E3913000";"CRS3035RES1000mN2554000E3913000";1;0;"69264";7;2,2;0,5;0,2;0,5;1,8;0,2;159060,9;257,9;0,1;2,1;0,6;0,3;0,3;1;0;0;0,4;0,1;0,8;1;0,2;1,3;1,3;1,1;0,5;0,3
"907270";"69";"CRS3035RES200mN2554800E3913800";"CRS3035RES1000mN2554000E3913000";"CRS3035RES1000mN2554000E3913000";0;0;"69264";24;13;3;6;1;12;1;551134,1;1360;5;8;10;0;1;2;0;0;0;2;0;1,5;1,5;4;7;2;5;1
"907271";"69";"CRS3035RES200mN2554800E3914000";"CRS3035RES1000mN2554000E3914000";"CRS3035RES1000mN2554000E3914000";1;0;"69264";3;1,8;0,3;1;0;1,3;0;99581,4;224,9;0,1;1,7;0,7;0,1;0,5;0,5;0;0;0,1;0;0;0,1;0,2;0,3;0,6;0,7;0,6;0,4
