"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"677146";"24";"CRS3035RES200mN2480200E3546000";"CRS3035RES1000mN2480000E3546000";"CRS3035RES2000mN2480000E3546000";1;0;"2429424494";1;0,4;0,1;0,2;0,1;0,2;0,1;19978;41,4;0;0,4;0,1;0;0,2;0,1;0;0;0,1;0;0;0,1;0,2;0,1;0,2;0,2;0;0,1
"677147";"24";"CRS3035RES200mN2480200E3546200";"CRS3035RES1000mN2480000E3546000";"CRS3035RES2000mN2480000E3546000";1;0;"2429424494";2;0,9;0,2;0,3;0,1;0,4;0,1;39956;82,9;0;0,9;0,2;0,1;0,3;0,3;0;0;0,1;0;0,1;0,2;0,3;0,3;0,4;0,3;0,1;0,2
"677148";"24";"CRS3035RES200mN2480200E3548000";"CRS3035RES1000mN2480000E3548000";"CRS3035RES4000mN2480000E3548000";1;1;"2429424494";2;0,9;0,2;0,2;0;0,8;0;40273,3;92,4;0;0,9;0,3;0,1;0,4;0,1;0;0;0;0;0,1;0,2;0,1;0,2;0,2;0,5;0,5;0,2
"677696";"24";"CRS3035RES200mN2480400E3546000";"CRS3035RES1000mN2480000E3546000";"CRS3035RES2000mN2480000E3546000";1;0;"24294";2;0,9;0,2;0,3;0,1;0,4;0,1;39956;82,9;0;0,9;0,2;0,1;0,3;0,3;0;0;0,1;0;0,1;0,2;0,3;0,3;0,4;0,3;0,1;0,2
"677697";"24";"CRS3035RES200mN2480400E3546200";"CRS3035RES1000mN2480000E3546000";"CRS3035RES2000mN2480000E3546000";1;0;"24294";13;5,6;1,4;2,2;0,7;2,7;0,9;259714,1;538,6;0;5,6;1,3;0,5;2;1,8;0;0;0,9;0,2;0,5;1,3;2,1;2;2,5;2,2;0,4;0,9
"677698";"24";"CRS3035RES200mN2480400E3546400";"CRS3035RES1000mN2480000E3546000";"CRS3035RES2000mN2480000E3546000";1;0;"24294";9;3,8;1;1,5;0,5;1,9;0,6;179802,1;372,9;0;3,8;0,9;0,4;1,3;1,2;0;0;0,6;0,1;0,4;0,9;1,5;1,4;1,7;1,5;0,3;0,6
"677699";"24";"CRS3035RES200mN2480400E3546600";"CRS3035RES1000mN2480000E3546000";"CRS3035RES2000mN2480000E3546000";1;0;"24294";8;3,4;0,9;1,3;0,4;1,7;0,6;159824,1;331,5;0;3,4;0,8;0,3;1,2;1,1;0;0;0,6;0,1;0,3;0,8;1,3;1,2;1,6;1,3;0,2;0,6
"678264";"24";"CRS3035RES200mN2480600E3545000";"CRS3035RES1000mN2480000E3545000";"CRS3035RES2000mN2480000E3544000";1;1;"24294";1;0,5;0;0,2;0;0,4;0,1;23171,3;62,9;0;0,5;0,2;0,1;0,1;0,1;0;0;0;0;0;0,1;0,1;0,1;0,2;0,2;0,1;0,2
"678265";"24";"CRS3035RES200mN2480600E3545800";"CRS3035RES1000mN2480000E3545000";"CRS3035RES2000mN2480000E3544000";1;1;"24294";2;1;0,1;0,4;0;0,9;0,2;46342,6;125,7;0;1;0,4;0,1;0,2;0,3;0;0;0;0;0;0,2;0,2;0,1;0,5;0,4;0,2;0,4
"678266";"24";"CRS3035RES200mN2480600E3546200";"CRS3035RES1000mN2480000E3546000";"CRS3035RES2000mN2480000E3546000";1;0;"24294";1;0,4;0,1;0,2;0,1;0,2;0,1;19978;41,4;0;0,4;0,1;0;0,2;0,1;0;0;0,1;0;0;0,1;0,2;0,1;0,2;0,2;0;0,1
