"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"1048445";"71";"CRS3035RES200mN2606800E3866800";"CRS3035RES1000mN2606000E3866000";"CRS3035RES4000mN2604000E3864000";1;1;"7134271491";2;0,8;0,1;0,2;0;0,8;0;42521,6;91,8;0;0,8;0,7;0;0,1;0;0;0;0,1;0,1;0;0;0,2;0,4;0,4;0,6;0,2;0
"1049694";"71";"CRS3035RES200mN2607400E3868800";"CRS3035RES1000mN2607000E3868000";"CRS3035RES4000mN2604000E3868000";1;1;"71342";2;1;0,2;0,5;0,1;1;0;45669,2;124,8;0;1;0,4;0,1;0,3;0,2;0;0;0;0;0;0,1;0,3;0,1;0,4;0,5;0,4;0,2
"1050119";"71";"CRS3035RES200mN2607600E3869800";"CRS3035RES1000mN2607000E3869000";"CRS3035RES4000mN2604000E3868000";1;1;"71342";2;1;0,2;0,5;0,1;1;0;45669,2;124,8;0;1;0,4;0,1;0,3;0,2;0;0;0;0;0;0,1;0,3;0,1;0,4;0,5;0,4;0,2
"1050555";"71";"CRS3035RES200mN2607800E3869800";"CRS3035RES1000mN2607000E3869000";"CRS3035RES4000mN2604000E3868000";1;1;"71342";1;0,5;0,1;0,2;0;0,5;0;22834,6;62,4;0;0,5;0,2;0,1;0,1;0,1;0;0;0;0;0;0,1;0,1;0,1;0,2;0,2;0,2;0,1
"1050984";"71";"CRS3035RES200mN2608000E3867200";"CRS3035RES1000mN2608000E3867000";"CRS3035RES2000mN2608000E3866000";1;1;"71342";2;0,9;0,1;0,2;0;0,8;0,1;41343,5;95,4;0;0,9;0,6;0,1;0,1;0,1;0;0;0,1;0,2;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,2
"1050985";"71";"CRS3035RES200mN2608000E3869600";"CRS3035RES1000mN2608000E3869000";"CRS3035RES2000mN2608000E3868000";1;1;"71342";2;0,7;0;0,1;0;0,6;0;47434,1;74,8;0;0,7;0,2;0;0,2;0,3;0;0;0,1;0,2;0,1;0,1;0,3;0,4;0,3;0,1;0,3;0,1
"1051370";"71";"CRS3035RES200mN2608200E3867000";"CRS3035RES1000mN2608000E3867000";"CRS3035RES2000mN2608000E3866000";1;1;"71342";1;0,4;0,1;0,1;0;0,4;0;20671,8;47,7;0;0,4;0,3;0;0;0,1;0;0;0;0,1;0,1;0,1;0;0,1;0,1;0,2;0,2;0,1
"1051371";"71";"CRS3035RES200mN2608200E3867200";"CRS3035RES1000mN2608000E3867000";"CRS3035RES2000mN2608000E3866000";1;1;"71342";9;3,9;0,5;0,8;0;3,6;0,3;186045,9;429,4;0;3,9;2,8;0,3;0,3;0,5;0;0;0,3;0,8;0,5;0,5;0,3;1,3;1,3;1,5;1,5;1
"1051372";"71";"CRS3035RES200mN2608200E3868600";"CRS3035RES1000mN2608000E3868000";"CRS3035RES2000mN2608000E3868000";1;1;"71342";1;0,4;0;0,1;0;0,3;0;23717;37,4;0;0,4;0,1;0;0,1;0,2;0;0;0,1;0,1;0;0;0,2;0,2;0,1;0;0,2;0,1
"1051373";"71";"CRS3035RES200mN2608200E3869600";"CRS3035RES1000mN2608000E3869000";"CRS3035RES2000mN2608000E3868000";1;1;"71342";4;1,5;0,1;0,3;0,1;1,3;0,1;94868,1;149,7;0;1,5;0,5;0;0,4;0,6;0;0;0,3;0,3;0,1;0,2;0,7;0,8;0,6;0,1;0,7;0,2
"1051777";"71";"CRS3035RES200mN2608400E3867000";"CRS3035RES1000mN2608000E3867000";"CRS3035RES2000mN2608000E3866000";1;1;"71342";1;0,4;0,1;0,1;0;0,4;0;20671,8;47,7;0;0,4;0,3;0;0;0,1;0;0;0;0,1;0,1;0,1;0;0,1;0,1;0,2;0,2;0,1
"1051778";"71";"CRS3035RES200mN2608400E3867200";"CRS3035RES1000mN2608000E3867000";"CRS3035RES2000mN2608000E3866000";1;1;"71342";3;1,3;0,2;0,3;0;1,2;0,1;62015,3;143,1;0;1,3;0,9;0,1;0,1;0,2;0;0;0,1;0,3;0,2;0,2;0,1;0,4;0,4;0,5;0,5;0,3
"1051779";"71";"CRS3035RES200mN2608400E3867400";"CRS3035RES1000mN2608000E3867000";"CRS3035RES2000mN2608000E3866000";1;1;"71342";7;3;0,4;0,6;0;2,8;0,2;144702,4;334;0;3;2,2;0,2;0,2;0,4;0;0;0,2;0,6;0,4;0,4;0,2;1;1;1,2;1,2;0,8
"1051780";"71";"CRS3035RES200mN2608400E3868800";"CRS3035RES1000mN2608000E3868000";"CRS3035RES2000mN2608000E3868000";1;1;"71342";7;2,6;0,2;0,5;0,2;2,2;0,2;166019,3;261,9;0;2,6;0,9;0;0,7;1;0;0;0,5;0,5;0,2;0,3;1,2;1,5;1;0,2;1,2;0,4
"1052206";"71";"CRS3035RES200mN2608600E3867000";"CRS3035RES1000mN2608000E3867000";"CRS3035RES2000mN2608000E3866000";1;1;"71342";1;0,4;0,1;0,1;0;0,4;0;20671,8;47,7;0;0,4;0,3;0;0;0,1;0;0;0;0,1;0,1;0,1;0;0,1;0,1;0,2;0,2;0,1
"1052207";"71";"CRS3035RES200mN2608600E3867200";"CRS3035RES1000mN2608000E3867000";"CRS3035RES2000mN2608000E3866000";1;1;"71342";3;1,3;0,2;0,3;0;1,2;0,1;62015,3;143,1;0;1,3;0,9;0,1;0,1;0,2;0;0;0,1;0,3;0,2;0,2;0,1;0,4;0,4;0,5;0,5;0,3
"1052208";"71";"CRS3035RES200mN2608600E3869000";"CRS3035RES1000mN2608000E3869000";"CRS3035RES2000mN2608000E3868000";1;1;"71342";3;1,1;0,1;0,2;0,1;1;0,1;71151,1;112,2;0;1,1;0,4;0;0,3;0,4;0;0;0,2;0,2;0,1;0,1;0,5;0,7;0,4;0,1;0,5;0,2
"1052631";"71";"CRS3035RES200mN2608800E3866400";"CRS3035RES1000mN2608000E3866000";"CRS3035RES2000mN2608000E3866000";1;1;"71342";2;0,9;0,1;0,2;0;0,8;0,1;41343,5;95,4;0;0,9;0,6;0,1;0,1;0,1;0;0;0,1;0,2;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,2
"1052632";"71";"CRS3035RES200mN2608800E3867000";"CRS3035RES1000mN2608000E3867000";"CRS3035RES2000mN2608000E3866000";1;1;"71342";2;0,9;0,1;0,2;0;0,8;0,1;41343,5;95,4;0;0,9;0,6;0,1;0,1;0,1;0;0;0,1;0,2;0,1;0,1;0,1;0,3;0,3;0,3;0,3;0,2
"1052633";"71";"CRS3035RES200mN2608800E3869400";"CRS3035RES1000mN2608000E3869000";"CRS3035RES2000mN2608000E3868000";1;1;"71342";5;1,8;0,1;0,4;0,1;1,6;0,1;118585,2;187,1;0;1,8;0,6;0;0,5;0,7;0;0;0,4;0,4;0,1;0,2;0,9;1,1;0,7;0,1;0,9;0,2
"1052634";"71";"CRS3035RES200mN2608800E3869800";"CRS3035RES1000mN2608000E3869000";"CRS3035RES2000mN2608000E3868000";1;1;"71342";19;7;0,5;1,4;0,5;6;0,5;450623,7;710,9;0;7;2,3;0;1,9;2,8;0;0;1,4;1,4;0,5;0,9;3,2;4,2;2,8;0,5;3,2;0,9
"1053031";"71";"CRS3035RES200mN2609000E3867000";"CRS3035RES1000mN2609000E3867000";"CRS3035RES2000mN2608000E3866000";1;0;"71342";4;1,4;0,1;0,3;0,1;1,3;0;96363,9;162,3;0;1,4;0,2;0,2;0,3;0,7;0;0;0,3;0,2;0,3;0,4;0,2;0,7;0,7;0,4;0,6;0,2
"1053032";"71";"CRS3035RES200mN2609000E3867800";"CRS3035RES1000mN2609000E3867000";"CRS3035RES2000mN2608000E3866000";1;0;"71342";1;0,4;0;0,1;0;0,3;0;24091;40,6;0;0,4;0,1;0;0,1;0,2;0;0;0,1;0;0,1;0,1;0;0,2;0,2;0,1;0,1;0,1
"1053033";"71";"CRS3035RES200mN2609000E3869400";"CRS3035RES1000mN2609000E3869000";"CRS3035RES2000mN2608000E3868000";1;0;"71342";6;2,8;0,4;1;0,3;2,6;0,1;126960,2;270,4;0,2;2,6;1,1;0,5;0,5;0,7;0;0;0,3;0,1;0,4;0,2;0,3;1,2;1,3;0,5;1,3;0,4
"1053034";"71";"CRS3035RES200mN2609000E3869600";"CRS3035RES1000mN2609000E3869000";"CRS3035RES2000mN2608000E3868000";1;0;"71342";16;7,4;1;2,8;0,7;7,1;0,2;338560,4;721;0,5;6,9;2,9;1,4;1,4;1,7;0;0;0,9;0,2;1;0,7;0,9;3,1;3,4;1,4;3,4;1
"1053035";"71";"CRS3035RES200mN2609000E3869800";"CRS3035RES1000mN2609000E3869000";"CRS3035RES2000mN2608000E3868000";1;0;"71342";16;7,4;1;2,8;0,7;7,1;0,2;338560,4;721;0,5;6,9;2,9;1,4;1,4;1,7;0;0;0,9;0,2;1;0,7;0,9;3,1;3,4;1,4;3,4;1
"1053036";"71";"CRS3035RES200mN2609000E3870200";"CRS3035RES1000mN2609000E3870000";"CRS3035RES2000mN2608000E3870000";1;0;"7134271232";2;0,8;0;0,1;0,1;0,6;0;48646,6;78,6;0;0,8;0,5;0;0,2;0,1;0;0;0,1;0,1;0;0,1;0,2;0,2;0,3;0,3;0,5;0,2
