"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"1913692";"95";"CRS3035RES200mN2902000E3754600";"CRS3035RES1000mN2902000E3754000";"CRS3035RES1000mN2902000E3754000";1;0;"9558295018";18;6,8;0,3;1,8;1;6,1;1;553758,4;744,8;0,5;6,3;2,5;1,8;1,2;1,3;0;0;0,5;0;1;1;1,5;3,1;3,3;2,3;3,3;2
"1913693";"95";"CRS3035RES200mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"9558295018";84,5;30;8;7;3;19;4;2126472,9;1830;11;19;24;2;3;1;0;0;1;4;11;9,5;3;13;27;8;7;1
"1913694";"95";"CRS3035RES200mN2902000E3755200";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"9558295018";320,5;158;51;84;12;37;24;5447631;6699;157;1;0;82;0;76;0;112;20;8;22;29,5;12;62;75;42;34;15
"1913695";"95";"CRS3035RES200mN2902000E3755400";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";1;0;"95582";57;20,7;0,8;6,6;3,3;13,2;1,7;1342670,4;1229,2;7,5;13,2;9,1;4,1;0;7,5;0;0;0,8;0,8;7,4;3,3;6,6;13,2;9,1;1,7;10,8;3,3
"1913696";"95";"CRS3035RES200mN2902000E3755600";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"95582";143,5;58;10;15;4;45;6;3722836,8;4207;12;46;20;23;9;5;1;0;5;0;6,5;14;9;26;32;25;20;6
"1913697";"95";"CRS3035RES200mN2902000E3755800";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"9558295018";104;39;1;9;2;37;4;2729516,1;2962;0;39;10;26;2;1;0;0;3;2;5;14;7;11;25;19;14;4
"1913698";"95";"CRS3035RES200mN2902000E3756000";"CRS3035RES1000mN2902000E3756000";"CRS3035RES200mN2902000E3756000";0;0;"9558295018";114;36;4;8;10;29;1;2887584,7;3080;7;29;9;6;6;13;2;0;5;1;7;20;13;17;26;12;11;2
"1913699";"95";"CRS3035RES200mN2902000E3756200";"CRS3035RES1000mN2902000E3756000";"CRS3035RES200mN2902000E3756200";0;0;"955829555595018";191;62;6;13;12;56;4;4958417,2;5707;1;61;23;17;11;11;0;0;6;5;11;23;20;25;38;30;25;8
"1914498";"95";"CRS3035RES200mN2902200E3754400";"CRS3035RES1000mN2902000E3754000";"CRS3035RES1000mN2902000E3754000";0;0;"9558295018";134;43;2;7;7;38;4;4371670,9;4871;0;43;7;12;13;11;0;0;8;5;13;8;14;25;18;18;20;5
"1914499";"95";"CRS3035RES200mN2902200E3754600";"CRS3035RES1000mN2902000E3754000";"CRS3035RES1000mN2902000E3754000";0;0;"95582";135,5;43;2;3;4;38;3;4561523,3;4615;1;42;16;4;3;20;0;0;4;5;8;11,5;17;18;29;25;14;4
"1914500";"95";"CRS3035RES200mN2902200E3755000";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";1;0;"95582";12;4,3;0,2;1,4;0,7;2,8;0,3;282667,4;258,8;1,5;2,8;1,9;0,9;0;1,5;0;0;0,2;0,2;1,6;0,7;1,4;2,8;1,9;0,3;2,2;0,7
"1914501";"95";"CRS3035RES200mN2902200E3755200";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"95582";69;24;3;5;3;21;1;1752996;2040;1;23;14;5;4;1;0;0;3;2;4;10;5;13;12;9;7;4
"1914502";"95";"CRS3035RES200mN2902200E3755400";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"95582";233;115;11;51;7;84;10;5922213,7;7219;103;12;17;20;1;77;0;0;10;8;4,5;23,5;10;57;51;35;24;10
"1914503";"95";"CRS3035RES200mN2902200E3755600";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"95582";106;38;6;10;7;35;4;2914511,9;3282;1;37;21;9;6;2;0;0;3;2;6;5;14;14;17;14;20;11
"1914504";"95";"CRS3035RES200mN2902200E3755800";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"95582";253;88;11;24;11;70;8;6799693,6;6603;24;64;12;39;2;35;0;0;9;9;18;31;23;44;64;27;21;7
"1914505";"95";"CRS3035RES200mN2902200E3756000";"CRS3035RES1000mN2902000E3756000";"CRS3035RES200mN2902200E3756000";0;0;"95582";148;58;5;14;4;50;6;3767519;4322;11;47;30;9;7;12;0;0;7;4;9;9;8;25;33;21;21;11
"1914506";"95";"CRS3035RES200mN2902200E3756200";"CRS3035RES1000mN2902000E3756000";"CRS3035RES200mN2902200E3756200";0;0;"9558295555";31;11;1;1;2;9;1;728776,7;943;1;10;3;5;0;3;0;0;0;0;1;4;4;2;9;3;5;3
"1915324";"95";"CRS3035RES200mN2902400E3754200";"CRS3035RES1000mN2902000E3754000";"CRS3035RES1000mN2902000E3754000";0;0;"9558295018";78;26;3;4;3;24;5;2203521;2765;0;26;11;10;4;1;0;0;6;2,5;9;4,5;4;13;15;10;11;3
"1915325";"95";"CRS3035RES200mN2902400E3754400";"CRS3035RES1000mN2902000E3754000";"CRS3035RES1000mN2902000E3754000";0;0;"95582";74;30;3;7;3;29;1;2150607,9;3023;3;27;13;7;7;3;0;0;1;3;5;8;3;13;15;15;9;2
"1915326";"95";"CRS3035RES200mN2902400E3754600";"CRS3035RES1000mN2902000E3754000";"CRS3035RES1000mN2902000E3754000";0;0;"95582";132;53;8;11;5;38;9;3439075,1;4036;15;38;18;6;4;25;0;0;5;1,5;5;13,5;10;22;27;23;21;4
"1915327";"95";"CRS3035RES200mN2902400E3754800";"CRS3035RES1000mN2902000E3754000";"CRS3035RES1000mN2902000E3754000";0;0;"95582";187;71;19;28;10;0;10;3256503,8;4473;71;0;0;71;0;0;0;71;7;7;10;29;15;19;45;26;22;7
"1915328";"95";"CRS3035RES200mN2902400E3755000";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"95582";484;152;16;26;34;21;21;10845786,6;11692;129;23;15;134;1;2;0;0;44;26;44;47;35;107;84;50;36;10
"1915329";"95";"CRS3035RES200mN2902400E3755200";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"95582";175,5;70;8;22;7;54;4;5697863,7;7139;29;41;31;9;3;27;0;0;11;3;11;13,5;19;33;41;25;12;7
"1915330";"95";"CRS3035RES200mN2902400E3755400";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"95582";217,5;98;6;33;3;68;12;6374492,6;6959;76;22;20;3;0;75;0;0;13;8;8;13,5;13;56;50;20;27;9
"1915331";"95";"CRS3035RES200mN2902400E3755600";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"95582";152,5;59;4;12;2;48;10;4402402,6;4985;21;38;31;9;5;14;0;0;9,5;6,5;7;18,5;10;27;38;16;14;6
"1915332";"95";"CRS3035RES200mN2902400E3755800";"CRS3035RES1000mN2902000E3755000";"CRS3035RES1000mN2902000E3755000";0;0;"95582";214;100;8;37;3;66;9;5781649,2;6795;48;52;82;5;5;8;0;0;10;6;14,5;13,5;10;43;51;27;29;10
"1915333";"95";"CRS3035RES200mN2902400E3756000";"CRS3035RES1000mN2902000E3756000";"CRS3035RES200mN2902400E3756000";0;0;"95582";218;79;8;22;8;56;5;6294064,2;6557;34;45;36;4;11;28;0;0;6;6,5;16,5;23,5;20,5;38;53;30;20;4
"1915334";"95";"CRS3035RES200mN2902400E3756200";"CRS3035RES1000mN2902000E3756000";"CRS3035RES200mN2902400E3756200";0;0;"9558295555";205;74;5;16;7;65;7;5668306,1;5378;5;69;5;59;2;7;1;0;8;5,5;18,5;18,5;17,5;35;51;21;22;8
"1916164";"95";"CRS3035RES200mN2902600E3753600";"CRS3035RES1000mN2902000E3753000";"CRS3035RES1000mN2902000E3753000";0;0;"9558295018";217;88;9;27;5;65;14;5872213,3;6530;42;46;14;16;9;49;0;0;13;3;13;19,5;21,5;42;47;22;28;8
"1916165";"95";"CRS3035RES200mN2902600E3753800";"CRS3035RES1000mN2902000E3753000";"CRS3035RES1000mN2902000E3753000";0;0;"9558295018";215,5;93;6;31;3;45;16;5465090,4;6632;87;6;1;39;2;51;0;38;14;6;15;17,5;11;51;39;27;26;9
"1916166";"95";"CRS3035RES200mN2902600E3754000";"CRS3035RES1000mN2902000E3754000";"CRS3035RES1000mN2902000E3754000";1;0;"95582";17;6,5;0,2;1,7;1;5,7;1;522994;703,5;0,5;6;2,4;1,7;1,2;1,2;0;0;0,5;0;1;1;1,4;2,9;3,1;2,1;3,1;1,9
"1916167";"95";"CRS3035RES200mN2902600E3754400";"CRS3035RES1000mN2902000E3754000";"CRS3035RES1000mN2902000E3754000";0;0;"95582";59;20;1;1;3;19;2;1969143,6;1977;0;20;3;5;8;4;0;0;1;1;2;5;7;9;12;15;7;0
