"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"1837726";"77";"CRS3035RES200mN2885400E3777800";"CRS3035RES1000mN2885000E3777000";"CRS3035RES1000mN2885000E3777000";0;0;"77083";52;52;33;52;0;0;0;712147,7;1062;52;0;0;0;0;52;0;33;0;0;0;0;32;20;0;0;0;0
"1837727";"77";"CRS3035RES200mN2885400E3778000";"CRS3035RES1000mN2885000E3778000";"CRS3035RES2000mN2884000E3778000";1;1;"77083";1;0,7;0,3;0,5;0;0;0;15699,1;16,5;0,7;0;0;0;0;0,7;0;0,6;0,1;0;0;0;0,1;0,7;0,1;0;0;0
"1838605";"77";"CRS3035RES200mN2885600E3777800";"CRS3035RES1000mN2885000E3777000";"CRS3035RES1000mN2885000E3777000";1;0;"77083";4;1,7;0,3;0,5;0,1;0,7;0,3;97084,5;132,7;1,6;0,1;0;0;1,3;0,4;0;0,2;0,2;0,1;0,2;0,4;0,5;0,9;0,9;0,2;0,5;0,1
"1838606";"77";"CRS3035RES200mN2885600E3778800";"CRS3035RES1000mN2885000E3778000";"CRS3035RES2000mN2884000E3778000";0;1;"77083";346;129;9;27;13;117;19;9558704,9;11339;114;15;0;0;15;114;0;2;23,5;10;22,5;33,5;25,5;65;80;45;35;6
"1838607";"77";"CRS3035RES200mN2885600E3779000";"CRS3035RES1000mN2885000E3779000";"CRS3035RES2000mN2884000E3778000";0;0;"77083";631,5;243;45;62;29;40;73;12075446;18815;239;4;0;0;4;239;0;201;38;16;57;68,5;48;142;119;79;59;5
"1838608";"77";"CRS3035RES200mN2885600E3779200";"CRS3035RES1000mN2885000E3779000";"CRS3035RES2000mN2884000E3778000";0;0;"77083";410,5;128;23;28;29;30;27;8194187,7;10330;127;1;0;0;0;128;0;90;30;18;33,5;50;38;75;84;34;26;0
"1839440";"77";"CRS3035RES200mN2885800E3778000";"CRS3035RES1000mN2885000E3778000";"CRS3035RES2000mN2884000E3778000";1;1;"77083";79,5;53,6;24,5;39,1;1,8;0,9;0;1248082,3;1312,9;51,8;1,8;0;0;0,9;52,7;0;50;5;2,7;2,7;0,9;10;52,7;4,6;0;0,9;0
"1839441";"77";"CRS3035RES200mN2885800E3778800";"CRS3035RES1000mN2885000E3778000";"CRS3035RES2000mN2884000E3778000";0;1;"77083";270;94;9;11;14;86;8;7275485,6;8733;16;78;0;0;29;65;0;3;10;9;17,5;18,5;14;48;49;57;37;10
"1839442";"77";"CRS3035RES200mN2885800E3779000";"CRS3035RES1000mN2885000E3779000";"CRS3035RES2000mN2884000E3778000";0;0;"77083";599;198;30;40;38;47;45;11854519,7;15017;189;9;0;0;4;194;0;137;48;26,5;64,5;80;40;124;123;63;29;1
"1839443";"77";"CRS3035RES200mN2885800E3779400";"CRS3035RES1000mN2885000E3779000";"CRS3035RES2000mN2884000E3778000";0;0;"7708377337";154,5;73;7;32;0;53;6;4021089,8;4827;73;0;0;0;52;21;0;0;11;9;8;6,5;11;57;24;17;11;0
"1840321";"77";"CRS3035RES200mN2886000E3777400";"CRS3035RES1000mN2886000E3777000";"CRS3035RES1000mN2886000E3777000";0;0;"7708393051";472;214;48;93;21;45;38;9968286,4;12925;214;0;0;0;0;214;0;111;41;8;35,5;36,5;43;135;81;54;29;8
"1840322";"77";"CRS3035RES200mN2886000E3777600";"CRS3035RES1000mN2886000E3777000";"CRS3035RES1000mN2886000E3777000";0;0;"77083";121;79;43;54;0;14;7;2326066,4;3351;79;0;0;0;40;39;0;38;9;1,5;2,5;4,5;33,5;35;18;10;5;2
"1840323";"77";"CRS3035RES200mN2886000E3778800";"CRS3035RES1000mN2886000E3778000";"CRS3035RES1000mN2886000E3778000";0;0;"77083";92,5;33;1;5;2;31;4;2934731,5;4013;2;31;1;0;28;4;0;0;1;0;7;6,5;11;8;25;12;20;2
"1840324";"77";"CRS3035RES200mN2886000E3779000";"CRS3035RES1000mN2886000E3779000";"CRS3035RES1000mN2886000E3779000";0;0;"77083";118;43;0;6;6;41;3;4099302,8;5079;0;43;0;0;43;0;0;0;3;6;13;8;8;15;19;9;32;5
"1840325";"77";"CRS3035RES200mN2886000E3779200";"CRS3035RES1000mN2886000E3779000";"CRS3035RES1000mN2886000E3779000";1;0;"77083";9;3,5;0,2;0,9;0,3;2,8;0,2;283928,2;444,8;0,7;2,8;0;0;2,1;1,4;0;0;0,2;0,2;0,3;0,9;1,2;1,2;1,6;1,7;1,7;0
"1841222";"77";"CRS3035RES200mN2886200E3777400";"CRS3035RES1000mN2886000E3777000";"CRS3035RES1000mN2886000E3777000";0;0;"77083";127,5;68;7;28;0;41;3;3266294,9;4030;68;0;0;0;0;68;0;0;5;1,5;2;2,5;8,5;50;22;19;15;2
"1841223";"77";"CRS3035RES200mN2886200E3777600";"CRS3035RES1000mN2886000E3777000";"CRS3035RES1000mN2886000E3777000";0;0;"77083";398,5;168;28;63;16;33;25;9020075;8965;168;0;0;0;4;164;0;76;43,5;20;34;27;33;172;49;13;5;2
"1841224";"77";"CRS3035RES200mN2886200E3777800";"CRS3035RES1000mN2886000E3777000";"CRS3035RES1000mN2886000E3777000";1;0;"77083";5;1,4;0,5;0,3;0,6;0;0,2;72956,3;85,4;1,3;0,1;0;0,2;0;1,2;0;1;0,9;0,3;0,7;0,3;0,5;1;1;0,1;0,1;0
"1841225";"77";"CRS3035RES200mN2886200E3778600";"CRS3035RES1000mN2886000E3778000";"CRS3035RES1000mN2886000E3778000";1;0;"77083";1;0,3;0;0;0,1;0,2;0;28063,5;32,2;0;0,3;0,1;0;0,1;0,1;0;0;0;0;0,1;0,2;0,1;0,2;0,2;0,1;0,1;0
"1841226";"77";"CRS3035RES200mN2886200E3778800";"CRS3035RES1000mN2886000E3778000";"CRS3035RES1000mN2886000E3778000";0;0;"77083";216,5;65;4;4;8;58;4;6722605,6;7254;2;63;2;1;4;58;0;0;9,5;6;23;32;17;41;61;18;7;2
