"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"1564935";"10";"CRS3035RES200mN2812600E3881800";"CRS3035RES1000mN2812000E3881000";"CRS3035RES1000mN2812000E3881000";0;0;"1038710325";326,5;128;76;41;18;0;37;4115391;7876;128;0;0;128;0;0;0;128;22;16,5;30;45;32;68;49;26;26;12
"1564936";"10";"CRS3035RES200mN2812600E3882000";"CRS3035RES1000mN2812000E3882000";"CRS3035RES1000mN2812000E3882000";0;0;"10387";675,5;260;149;84;30;1;88;8568601,8;17138;260;0;0;240;0;20;0;259;59;39,5;78,5;82,5;47;126;93;65;55;20
"1565605";"10";"CRS3035RES200mN2812800E3881600";"CRS3035RES1000mN2812000E3881000";"CRS3035RES1000mN2812000E3881000";0;0;"1038710325";111;39;9;7;7;26;4;1963318,2;3332;0;39;0;39;0;0;0;11;5;2;11;11,5;7,5;13;21;17;16;6
"1565606";"10";"CRS3035RES200mN2812800E3881800";"CRS3035RES1000mN2812000E3881000";"CRS3035RES1000mN2812000E3881000";0;0;"10387";229;112;65;55;9;12;20;3064494,2;5678;98;14;1;108;1;2;0;96;6;10;22;26;15;47;34;28;31;10
"1565607";"10";"CRS3035RES200mN2812800E3882000";"CRS3035RES1000mN2812000E3882000";"CRS3035RES1000mN2812000E3882000";0;0;"10387";467;196;141;86;23;0;59;5388677,3;9921;196;0;0;195;0;1;0;195;47,5;28,5;59;52;34;80;83;39;30;7
"1566283";"10";"CRS3035RES200mN2813000E3881400";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";1;0;"1038710325";9;5,2;1,5;2,8;0,2;0,8;0,8;177631,8;308,5;4,5;0,7;0,5;4,5;0;0,2;0;2,2;0;0;0,7;0,2;1,2;1,8;3;1,5;0,3;0,3
"1566284";"10";"CRS3035RES200mN2813000E3881600";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";0;0;"10387";118;75;23;53;4;20;3;2106716,5;4683;46;29;5;67;0;3;0;51;1;1;5;5;11;16;17;20;29;13
"1566285";"10";"CRS3035RES200mN2813000E3881800";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";0;0;"10387";486;157;97;39;39;13;47;6456393,1;11982;137;20;9;128;1;19;0;128;47,5;21,5;67,5;72,5;34;91;80;29;27;7
"1566286";"10";"CRS3035RES200mN2813000E3882000";"CRS3035RES1000mN2813000E3882000";"CRS3035RES1000mN2813000E3882000";0;0;"1038710343";347;176;61;90;8;28;36;5326718,4;10571;159;17;6;114;2;54;0;123;16;13;39;33;28;68;60;36;34;20
"1566983";"10";"CRS3035RES200mN2813200E3881200";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";1;0;"1038710325";21;12,2;3,5;6,4;0,6;1,8;1,8;414474,2;719,8;10,5;1,7;1,1;10,5;0;0,6;0;5,2;0;0;1,7;0,6;2,9;4,1;7;3,5;0,6;0,6
"1566984";"10";"CRS3035RES200mN2813200E3881400";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";0;0;"10387";203,5;127;25;85;5;50;8;3975788,7;7543;95;32;2;125;0;0;0;43;9;3;9;11,5;20;42;28;26;37;18
"1566985";"10";"CRS3035RES200mN2813200E3881600";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";0;0;"10387";221,5;137;32;90;5;75;13;4357253,1;9149;107;30;12;108;1;16;0;4;11;5;12;9;24,5;47;40;24;34;15
"1566986";"10";"CRS3035RES200mN2813200E3881800";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";0;0;"10387";129;65;10;30;3;39;8;2442838,7;4703;46;19;10;48;3;4;0;4;4;2;5;13,5;9,5;21;27;12;21;14
"1566987";"10";"CRS3035RES200mN2813200E3882000";"CRS3035RES1000mN2813000E3882000";"CRS3035RES1000mN2813000E3882000";0;0;"1038710343";179,5;124;50;84;1;21;14;2846700;6675;99;25;19;40;1;64;0;97;6;2;5;8,5;11;30;34;36;38;9
"1567649";"10";"CRS3035RES200mN2813400E3881200";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";0;0;"10387";211;134;44;89;5;0;17;3243530,5;7479;128;6;0;80;0;54;0;133;7;3;8;17;10;46;37;40;26;17
"1567650";"10";"CRS3035RES200mN2813400E3881400";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";0;0;"10387";236;157;30;99;1;50;15;4739204,8;9102;113;44;9;147;1;0;0;72;4;2,5;7;5,5;34;34;40;31;45;33
"1567651";"10";"CRS3035RES200mN2813400E3881600";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";0;0;"10387";181;96;19;53;7;65;8;3577674,1;6190;37;59;15;40;32;9;0;2;1;6;11;17;11;24;36;30;34;10
"1567652";"10";"CRS3035RES200mN2813400E3881800";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";0;0;"10387";159;93;20;49;1;26;11;3486160,1;6074;65;28;13;37;39;4;0;37;5;3;8;8;15;52;21;16;21;10
"1567653";"10";"CRS3035RES200mN2813400E3882000";"CRS3035RES1000mN2813000E3882000";"CRS3035RES1000mN2813000E3882000";0;0;"1038710343";58;38;0;23;0;26;2;1449539,7;3073;21;17;15;2;13;8;0;0;0;2;1;0;4;9;8;11;16;7
"1568285";"10";"CRS3035RES200mN2813600E3881200";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";0;0;"10387";48;25;0;10;0;22;2;1179154,3;2072;0;25;7;18;0;0;0;0;2;4,5;0;3,5;0;12;10;4;7;5
"1568286";"10";"CRS3035RES200mN2813600E3881400";"CRS3035RES1000mN2813000E3881000";"CRS3035RES1000mN2813000E3881000";0;0;"10387";135;84;9;48;2;68;6;2974594,7;6516;44;40;6;76;2;0;0;0;1;0;7;4;8;19;17;14;34;31
