"";"dpt";"idcar_200m";"idcar_1km";"idcar_nat";"i_est_200";"i_est_1km";"lcog_geo";"ind";"men";"men_pauv";"men_1ind";"men_5ind";"men_prop";"men_fmp";"ind_snv";"men_surf";"men_coll";"men_mais";"log_av45";"log_45_70";"log_70_90";"log_ap90";"log_inc";"log_soc";"ind_0_3";"ind_4_5";"ind_6_10";"ind_11_17";"ind_18_24";"ind_25_39";"ind_40_54";"ind_55_64";"ind_65_79";"ind_80p"
"2071828";"14";"CRS3035RES200mN2946400E3569200";"CRS3035RES1000mN2946000E3569000";"CRS3035RES1000mN2946000E3569000";0;0;"1411814181";70;35;7;17;2;1;5;1233861,7;1950;34;1;0;0;1;34;0;27;6;4;3;7;4;25;8;7;6;0
"2072357";"14";"CRS3035RES200mN2946600E3569000";"CRS3035RES1000mN2946000E3569000";"CRS3035RES1000mN2946000E3569000";0;0;"1411814341";244,5;104;53;41;10;5;27;3443856,5;5764;98;6;0;98;6;0;0;98;18,5;8;26;25,5;17,5;41;44;31;24;9
"2072358";"14";"CRS3035RES200mN2946600E3569200";"CRS3035RES1000mN2946000E3569000";"CRS3035RES1000mN2946000E3569000";0;0;"14118";570;290;141;150;18;0;62;7826758,7;16235;290;0;0;290;0;0;0;290;36;17,5;46,5;43;40;127;117;75;47;21
"2072359";"14";"CRS3035RES200mN2946600E3569400";"CRS3035RES1000mN2946000E3569000";"CRS3035RES1000mN2946000E3569000";0;0;"1411814181";196,5;79;16;24;11;23;14;3591549,5;6188;71;8;0;0;8;71;0;26;14;6;14;22,5;18;44;35;19;22;2
"2072892";"14";"CRS3035RES200mN2946800E3569000";"CRS3035RES1000mN2946000E3569000";"CRS3035RES1000mN2946000E3569000";0;0;"1411814341";385;197;107;93;12;0;43;5202874,4;10156;197;0;0;197;0;0;0;197;15;9;23;40;23;79;78;52;51;15
"2072893";"14";"CRS3035RES200mN2946800E3569200";"CRS3035RES1000mN2946000E3569000";"CRS3035RES1000mN2946000E3569000";0;0;"14118";495;257;140;142;21;0;48;6641474,9;13576;256;1;1;256;0;0;0;256;21;19;41;50;27;111;87;67;56;16
"2072894";"14";"CRS3035RES200mN2946800E3569400";"CRS3035RES1000mN2946000E3569000";"CRS3035RES1000mN2946000E3569000";0;0;"1411814181";241,5;114;40;49;6;4;21;3741902,5;7154;100;14;0;32;59;23;0;97;15;9,5;18;17,5;21,5;61;48;26;22;3
"2073402";"14";"CRS3035RES200mN2947000E3569000";"CRS3035RES1000mN2947000E3569000";"CRS3035RES1000mN2947000E3569000";0;0;"14118";407;222;118;133;15;0;35;5563038,4;11629;222;0;0;197;0;25;0;222;14;13;31;44;17;73;81;55;55;24
"2073403";"14";"CRS3035RES200mN2947000E3569200";"CRS3035RES1000mN2947000E3569000";"CRS3035RES1000mN2947000E3569000";0;0;"14118";398,5;208;80;114;12;2;36;5753368,9;11441;208;0;0;126;41;41;0;197;26;11;25,5;28;28;93;46;59;48;34
"2073404";"14";"CRS3035RES200mN2947000E3569400";"CRS3035RES1000mN2947000E3569000";"CRS3035RES1000mN2947000E3569000";0;0;"1411814181";272;127;39;45;7;9;28;4438615,8;8997;76;51;0;50;76;1;0;117;20,5;2,5;18;24;12;52;49;48;34;12
"2073903";"14";"CRS3035RES200mN2947200E3567600";"CRS3035RES1000mN2947000E3567000";"CRS3035RES1000mN2947000E3567000";0;0;"1411814271";275;157;32;94;7;9;27;4776357,8;8988;131;26;1;55;32;69;0;146;18;3,5;16;21,5;21;59;51;14;45;26
"2073904";"14";"CRS3035RES200mN2947200E3567800";"CRS3035RES1000mN2947000E3567000";"CRS3035RES1000mN2947000E3567000";0;0;"1411814271";570,5;261;76;106;20;26;52;9244288,3;18120;246;15;0;96;0;165;0;182;32;14,5;47;59,5;31,5;135;100;57;76;18
"2073905";"14";"CRS3035RES200mN2947200E3568000";"CRS3035RES1000mN2947000E3568000";"CRS3035RES1000mN2947000E3568000";0;0;"14118";259;106;60;39;13;0;29;3458054,9;6922;106;0;0;106;0;0;0;106;15;8;36;32;15;51;51;24;21;6
"2073906";"14";"CRS3035RES200mN2947200E3568200";"CRS3035RES1000mN2947000E3568000";"CRS3035RES1000mN2947000E3568000";1;0;"14118";2;1;0,1;0,4;0;0,1;0,2;50520,8;86,6;0,9;0,1;0;1;0;0;0;0,1;0;0,1;0,1;0,2;0,2;0,2;0,7;0,4;0;0,1
"2073907";"14";"CRS3035RES200mN2947200E3568400";"CRS3035RES1000mN2947000E3568000";"CRS3035RES1000mN2947000E3568000";1;0;"1411814341";24,5;12,4;0,7;5,1;0;0,7;2,9;618879,9;1060,4;11;1,4;0;12,4;0;0;0;1,5;0;1,1;1,5;2,9;2,9;2,2;8,8;4,4;0;0,7
"2073910";"14";"CRS3035RES200mN2947200E3569000";"CRS3035RES1000mN2947000E3569000";"CRS3035RES1000mN2947000E3569000";0;0;"14118";186;98;46;54;6;1;11;2689905,4;5188;98;0;0;98;0;0;0;97;12;3;11;14;10;31;36;32;22;15
"2073911";"14";"CRS3035RES200mN2947200E3569200";"CRS3035RES1000mN2947000E3569000";"CRS3035RES1000mN2947000E3569000";0;0;"14118";277;155;56;84;5;0;24;4205356,3;9400;143;12;0;60;95;0;0;155;10,5;4,5;13,5;21,5;13;39;58;47;51;19
"2073912";"14";"CRS3035RES200mN2947200E3569400";"CRS3035RES1000mN2947000E3569000";"CRS3035RES1000mN2947000E3569000";0;0;"1411814181";181,5;102;34;52;5;6;17;2866291,9;6585;77;25;0;3;99;0;0;95;7,5;2;12;8;4;29;36;29;43;11
