"","Nom.2024.Commune","Agrégat","Montant.en...par.habitant"
"73","Saint-Ouen-sur-Seine","Autres impôts et taxes","65.57700637659414"
"74","Sevran","Autres impôts et taxes","32.54030094996346"
"75","Stains","Autres impôts et taxes","28.579033701753087"
"76","Tremblay-en-France","Autres impôts et taxes","216.77157297672431"
"77","Vaujours","Autres impôts et taxes","61.28540071532653"
"78","Villemomble","Autres impôts et taxes","55.712363505276265"
"79","Villepinte","Autres impôts et taxes","62.315232743955875"
"80","Villetaneuse","Autres impôts et taxes","50.443485727728984"
"81","Aubervilliers","Charges financières","45.07976223977664"
"82","Aulnay-sous-Bois","Charges financières","55.649270590138926"
"83","Bagnolet","Charges financières","113.2678462005925"
"84","Le Blanc-Mesnil","Charges financières","31.792548119734228"
"85","Bobigny","Charges financières","79.42352358174341"
"86","Bondy","Charges financières","63.34384287787137"
"87","Le Bourget","Charges financières","38.165301950235374"
"88","Clichy-sous-Bois","Charges financières","25.684674897671613"
"89","Coubron","Charges financières","17.32262384961817"
"90","La Courneuve","Charges financières","49.66832223138574"
"91","Drancy","Charges financières","43.9946314525475"
"92","Dugny","Charges financières","14.569281315974665"
"93","Épinay-sur-Seine","Charges financières","13.192299345600984"
"94","Gagny","Charges financières","5.494764272286534"
"95","Gournay-sur-Marne","Charges financières","33.685100806451615"
"96","L'Île-Saint-Denis","Charges financières","25.523554071173557"
"97","Les Lilas","Charges financières","28.848604858196616"
"98","Livry-Gargan","Charges financières","18.410852914448917"
"99","Montfermeil","Charges financières","19.87237508896797"
"100","Montreuil","Charges financières","48.27361832415399"
"101","Neuilly-Plaisance","Charges financières","20.382301977899527"
"102","Neuilly-sur-Marne","Charges financières","9.576521692924892"
"103","Noisy-le-Grand","Charges financières","21.456646791194505"
"104","Noisy-le-Sec","Charges financières","47.191798870838646"
"105","Pantin","Charges financières","35.35834396889713"
"106","Les Pavillons-sous-Bois","Charges financières","4.229330393934399"
"107","Pierrefitte-sur-Seine","Charges financières","38.66446154320607"
"108","Le Pré-Saint-Gervais","Charges financières","13.932887128244547"
"109","Le Raincy","Charges financières","1.3423410327890615"
"110","Romainville","Charges financières","32.89338781753292"
"111","Rosny-sous-Bois","Charges financières","48.784940576138865"
"112","Saint-Denis","Charges financières","37.19902502134481"
"113","Saint-Ouen-sur-Seine","Charges financières","76.82188015753938"
"114","Sevran","Charges financières","44.20248028921964"
"115","Stains","Charges financières","47.191874242761415"
"116","Tremblay-en-France","Charges financières","1.3255557335041641"
"117","Vaujours","Charges financières","19.54866074976818"
"118","Villemomble","Charges financières","0.0"
"119","Villepinte","Charges financières","19.65972008866436"
"120","Villetaneuse","Charges financières","24.283982904642407"
"121","Le Raincy","Concours de l'Etat","127.97864927651666"
"122","Aubervilliers","Achats et charges externes","325.7986426838321"
"123","Aulnay-sous-Bois","Achats et charges externes","526.8873457617716"
"124","Bagnolet","Achats et charges externes","325.1136900210164"
"125","Le Blanc-Mesnil","Achats et charges externes","422.28605606548393"
"126","Bobigny","Achats et charges externes","417.26898371111236"
"127","Bondy","Achats et charges externes","368.68549267906604"
"128","Le Bourget","Achats et charges externes","583.7949058507061"
"129","Clichy-sous-Bois","Achats et charges externes","645.0968908944508"
"130","Coubron","Achats et charges externes","345.337650283924"
"131","La Courneuve","Achats et charges externes","374.1005866057646"
"132","Drancy","Achats et charges externes","427.93773523785586"
"133","Dugny","Achats et charges externes","504.2070232230824"
"134","Épinay-sur-Seine","Achats et charges externes","257.3487266252773"
"135","Gagny","Achats et charges externes","315.6653443158207"
"136","Gournay-sur-Marne","Achats et charges externes","395.1472206221198"
