"","Agrégat","Montant.en...par.habitant"
"1","Dépôts au Trésor",383.23998321591
"2","Dépenses d'intervention",103.873104666367
"3","Dépenses d'investissement hors remb",246.686439040575
"4","Dépenses de fonctionnement",1607.249010129
"5","Impôts locaux",1036.12334354691
"6","Recettes de fonctionnement",1872.73064384551
"7","Produit des cessions d'immobilisations",17.0961568336619
"8","Péréquations et compensations fiscales",17.8680887605145
"9","Achats et charges externes",394.210795682976
"10","Dépenses d'équipement",241.608029235543
"11","Autres impôts et taxes",42.6187398270848
"12","Charges financières",49.8678756416011
"13","Fiscalité reversée",-4.41003922793185
"14","Fonds de roulement",399.67470169207
"15","Encours de dette - Dettes bancaires et assimilées",1849.59389586057
"16","FCTVA",44.5240188137942
"17","Encours de dette",1851.92102265852
"18","Encours de dette - Dépôts et cautionnements reçus",2.32712679794688
"19","Dotation globale de fonctionnement",499.893577158024
"20","Autres dotations et subventions",121.6380575343
"21","Autres dotations de fonctionnement",4.34178652979176
"22","Concours de l'Etat",522.10345244833
"23","Crédits de trésorerie",0
"24","Subventions reçues et participations",127.55727941607
"25","Frais de personnel",1010.82729737114
"26","Epargne de gestion",323.017729463885
"27","Subventions d'équipement versées",0.513634536193134
"28","Recettes d'investissement hors emprunts",192.042857198618
"29","Autres recettes d'investissement",25.880780850524
"30","Epargne brute",265.481633716505
"31","Autres recettes de fonctionnement",14.2354509260526
"32","Ventes de biens et services",130.092377681063
"33","Autres dépenses d'investissement",4.56477526883819
"34","Autres dépenses de fonctionnement",48.4699367669158
"35","Dépenses totales",2060.74113643904
"36","Epargne nette",58.6759464470425
"37","Flux net de dette",-169.724557661157
"38","Subventions aux personnes de droit privé",30.4398823162045
"39","Dépenses d'investissement",453.492126310037
"40","Annuité de la dette",256.673562911064
"41","Remboursements d'emprunts hors GAD",206.805687269463
"42","Emprunts hors GAD",37.0811296083062
"43","Recettes totales hors emprunts",2064.77350104413
"44","Impôts et taxes",1078.74208337399
"45","Capacité ou besoin de financement",210.838051874549
"46","Dépenses totales hors remb",1853.93544916958
"47","Recettes d'investissement",229.123986806924
"48","Recettes totales",2101.85463065243
"49","Variation du fonds de roulement",41.1134942133923
