"","LIBCOM","nb","zone","typecom","com","reg","dep","arr","tncc","ncc","nccenr","can","comparent","reg2","corresp"
"2","Achères",4074,"IDF_DEP_78","COM","78005",11,"78","783",1,"ACHERES","Achères","7813",NA,"11","ok"
"3","Agen",4475,"reg75","COM","47001",75,"47","471",1,"AGEN","Agen","4797",NA,"75","ok"
"4","Aix-en-Provence",12459,"reg93","COM","13001",93,"13","131",1,"AIX EN PROVENCE","Aix-en-Provence","1397",NA,"93","ok"
"5","Aix-les-Bains",2623,"reg84","COM","73008",84,"73","732",1,"AIX LES BAINS","Aix-les-Bains","7397",NA,"84","ok"
"6","Ajaccio",4389,"reg94","COM","2A004",94,"2A","2A1",1,"AJACCIO","Ajaccio","2A98",NA,"94","ok"
"7","Albertville",2756,"reg84","COM","73011",84,"73","731",1,"ALBERTVILLE","Albertville","7398",NA,"84","ok"
"8","Albi",4083,"reg76","COM","81004",76,"81","811",1,"ALBI","Albi","8196",NA,"76","ok"
"9","Alençon",5332,"reg28","COM","61001",28,"61","611",1,"ALENCON","Alençon","6197",NA,"28","ok"
"10","Alfortville",8363,"IDF_DEP_94","COM","94002",11,"94","941",1,"ALFORTVILLE","Alfortville","9401",NA,"11","ok"
"12","Allonnes",2426,"reg52","COM","72003",52,"72","723",1,"ALLONNES","Allonnes","7216",NA,"52","ok"
"13","Allonnes",2426,"reg52","COM","49002",52,"49","493",1,"ALLONNES","Allonnes","4915",NA,"52","ok"
"14","Amiens",10373,"reg32","COM","80021",32,"80","802",1,"AMIENS","Amiens","8099",NA,"32","ok"
"15","Angers",26725,"reg52","COM","49007",52,"49","491",1,"ANGERS","Angers","4998",NA,"52","ok"
"16","Anglet",2712,"reg75","COM","64024",75,"64","641",1,"ANGLET","Anglet","6496",NA,"75","ok"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Annecy",11901,"reg84","COM","74010",84,"74","741",1,"ANNECY","Annecy","7499",NA,"84","ok"
"19","Annemasse",4138,"reg84","COM","74012",84,"74","743",1,"ANNEMASSE","Annemasse","7404",NA,"84","ok"
"20","Annonay",2435,"reg84","COM","07010",84,"07","073",1,"ANNONAY","Annonay","0798",NA,"84","ok"
"21","Antony",5676,"IDF_DEP_92","COM","92002",11,"92","921",1,"ANTONY","Antony","9201",NA,"11","ok"
"22","Arcueil",4367,"IDF_DEP_94","COM","94003",11,"94","943",1,"ARCUEIL","Arcueil","9402",NA,"11","ok"
"23","Argentan",3133,"reg28","COM","61006",28,"61","612",1,"ARGENTAN","Argentan","6198",NA,"28","ok"
"24","Argenteuil",14168,"IDF_DEP_95","COM","95018",11,"95","951",1,"ARGENTEUIL","Argenteuil","9598",NA,"11","ok"
"25","Arles",5734,"reg93","COM","13004",93,"13","132",1,"ARLES","Arles","1304",NA,"93","ok"
"26","Armentières",2996,"reg32","COM","59017",32,"59","595",1,"ARMENTIERES","Armentières","5904",NA,"32","ok"
"27","Asnières-sur-Seine",8905,"IDF_DEP_92","COM","92004",11,"92","922",1,"ASNIERES SUR SEINE","Asnières-sur-Seine","9295",NA,"11","ok"
