"dpt","commune","personnel","emprunt","equipement","etat","pop"
"17","Angoulins",1.72569844,0,2.02714262,0.23505246,4217
"17","Annepont",0.03128495,0,0.12802443,0.0463705,398
"17","Annezay",0.04613764,0,0.01780701,0.03476212,163
"17","Antezant-la-Chapelle",0.11811733,0.00089,0.15017568,0.08267143,361
"17","Arces",0.19302426,0.000581,0.54160874,0.102971,740
"17","Archiac",0.38577021,0,0.04335474,0.17702968,783
"17","Archingeay",0.17601373,0,0.31585068,0.13585332,738
"17","Ardillières",0.35966645,0,0.01619285,0.11297245,878
"17","Ars-en-Ré",1.21971662,0.7024,1.21366059,0.240228,1325
"17","Arthenac",0.10383907,0,0.0656564,0.05607283,352
"17","Arvert",1.17060004,0.3,1.51329767,0.97614457,3846
"17","Asnières-la-Giraud",0.29165069,0.107025,0.20561294,0.24843574,1001
"17","Aujac",0.16135052,0.03,0.13807921,0.06007707,379
"17","Aulnay",0.5062435,0.30048,1.13160425,0.27357158,1332
"17","Aumagne",0.25984324,0.19371217,0.50987265,0.11643636,729
"17","Authon-Ébéon",0.19390634,0,0.04415252,0.08412358,397
"17","Avy",0.17274528,0.001087,0.07645117,0.09341722,478
"17","Aytré",4.81685609,0.006,3.21706255,1.53765281,9722
"17","Bagnizeau",0.05247571,0,0.00955316,0.04065849,192
"17","Balanzac",0.17322402,0,0.03478551,0.14677533,598
"17","Ballans",0.05739434,0,0.01106879,0.03326319,203
"17","Ballon",0.17085698,0,0.04114663,0.14130259,838
"17","Barzan",0.13234563,0,0.0604701,0.072968,467
"17","Bazauges",0.03263592,0,0.00963675,0.03230864,110
"17","Beaugeay",0.16150532,0,0.11777766,0.12070565,798
"17","Beauvais-sur-Matha",0.28220636,0,0.12846414,0.108344,662
"17","Bedenac",0.297165,0.002352,0.51158208,0.28218683,696
"17","Belluire",0.01897426,0,0.04911082,0.05557913,216
"17","Benon",0.74746702,0,0.1288653,0.359121,1781
"17","Bercloux",0.11055233,0,0.05809464,0.07783569,455
"17","Bernay-Saint-Martin",0.26388152,0,0.4228404,0.15369994,766
"17","Berneuil",0.37618389,0.0002155,0.0801203,0.218277,1185
"17","Beurlay",0.32900095,0,0.07247918,0.18854637,1023
"17","Bignay",0.08605488,0,0.0007189,0.07009692,375
"17","Biron",0.07509082,0,0.05343103,0.05409766,239
"17","Blanzac-lès-Matha",0.13144783,0,0.01084321,0.05179156,323
"17","Blanzay-sur-Boutonne",0.0098806,0,0.001682,0.02524968,82
"17","Bois",0.25353626,0.00128,0.47188407,0.17611967,663
"17","Boisredon",0.21825468,0,0.26065589,0.19642384,711
"17","Bords",0.61971512,0.00051,0.26192752,0.36957389,1345
"17","Boresse-et-Martron",0.05282961,0,0.13819308,0.07422969,210
"17","Boscamnant",0.09786481,0.001386,0.09310543,0.11007316,346
"17","Bougneau",0.20619529,0,0.31659274,0.14758294,622
"17","Bouhet",0.23928782,0,0.03513043,0.16770447,930
"17","Bourcefranc-le-Chapus",1.56224054,0,0.92641694,1.11296029,3672
"17","Bourgneuf",0.41575169,1.7594045,2.4289336,0.14971198,1442
"17","Boutenac-Touvent",0.06311004,0,0,0.035753,231
"17","Bran",0.02377642,0.09,0.19692434,0.04352039,142
"17","Bresdon",0.06014894,0,0.03692123,0.04632838,225
"17","Breuil-la-Réorte",0.21730172,0.5,0.34247,0.063452,477
"17","Breuil-Magné",0.63070008,0.251033,0.6532665,0.21733586,1917
"17","Breuillet",1.1976679,0,0.80224658,0.43914357,3125
"17","Brie-sous-Archiac",0.0604483,0,0.16199549,0.08897393,231
"17","Brie-sous-Matha",0.10328304,0.0011,0,0.019827,176
"17","Brie-sous-Mortagne",0.08707152,0.00025,0.05831922,0.023526,243
"17","Brives-sur-Charente",0.07976713,0,0.0700322,0.04143748,230
"17","Brizambourg",0.44103041,0.0005153,0.03886879,0.181427,975
"17","Burie",0.40569165,0.00084,0.32114217,0.219592,1361
"17","Bussac-Forêt",0.63813398,0,1.04220147,0.59053981,1100
"17","Bussac-sur-Charente",0.24008771,0,0.14184084,0.15737698,1325
"17","Cabariot",0.44959182,0.002,0.57992474,0.19891865,1469
"17","Celles",0.11419498,0,0.05017808,0.07400661,331
"17","Cercoux",0.60893362,0,0.0608404,0.31658783,1300
"17","Chadenac",0.18105974,0.45188,0.06112512,0.08448062,524
"17","Chaillevette",0.5585507,0,0.29318224,0.21714192,1667
