"ville","impots","fraisPersonnel"
"Aubervilliers",1032.01225362568,1007.16156538406
"Aulnay-sous-Bois",1295.00228843531,1103.86316416634
"Bagnolet",1515.85349251766,1145.41869090725
"Bobigny",1508.12327662119,1299.45689623308
"Bondy",1013.09501743079,963.681958656039
"Clichy-sous-Bois",776.67419311548,1017.01683385895
"Coubron",953.186414724887,737.429154102213
"Drancy",1060.87088621734,931.146335190383
"Dugny",1353.87346059113,1307.51138282899
"Épinay-sur-Seine",761.647910956989,741.342873762515
"Gagny",852.440585732661,709.990760364104
"Gournay-sur-Marne",1229.58269585253,939.265224654378
"L'Île-Saint-Denis",916.980422664977,940.159570424968
"La Courneuve",926.957514009601,1038.91538285859
"Le Blanc-Mesnil",1288.98059798616,907.76275207206
"Le Bourget",1312.99361129792,921.221532616005
"Le Pré-Saint-Gervais",1054.78010997458,801.834850115296
"Le Raincy",1001.92036373291,459.023643302801
"Les Lilas",1239.53597015558,1013.82699817712
"Les Pavillons-sous-Bois",1067.4750700511,865.771794132191
"Livry-Gargan",1079.78245445497,917.900944653598
"Montfermeil",1068.96822064057,847.923995729537
"Montreuil",1368.87069188678,1055.03221625144
"Neuilly-Plaisance",1083.41039093695,863.801491781967
"Neuilly-sur-Marne",887.333085363586,972.606878237998
"Noisy-le-Grand",1387.05308446605,1003.75283013536
"Noisy-le-Sec",1080.3135261416,855.359788877112
"Pantin",1650.85101461638,1132.71136928099
"Pierrefitte-sur-Seine",847.30870289274,916.424907173256
"Romainville",1491.61746093633,864.160776474822
"Rosny-sous-Bois",1341.48594085963,955.946786532045
"Saint-Denis",1204.55887682738,1065.0024407137
"Saint-Ouen-sur-Seine",1599.65148162041,1239.76308102025
"Sevran",1032.60995154033,1008.54413695627
"Stains",805.247014316445,1011.13269886012
"Tremblay-en-France",2331.03857036088,1766.10913303438
"Vaujours",1178.30441118029,1091.31915882898
"Villemomble",828.002392344498,832.469685390313
"Villepinte",1398.76086396206,1021.31790427342
"Villetaneuse",978.585577948557,991.465507371393
