prénom,groupe.TD,présent (oui/non)
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe1,1,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe2,2,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe3,3,oui
groupe4,4,oui
groupe4,4,oui
groupe4,4,oui
groupe4,4,oui
groupe4,4,oui
