num.cours,Date gr 1 et 2,date gr 3,thème,outil,exercice.nb.pts
1,21.09.26,18.09.26,statistique univariée base,tableur,1
2,28.09.26,25.09.26,statistique univariée indicateurs,,2
3,05.10.26,02.10.26,bivariée : base + régression début,,2
4,12.10.26,09.10.26,régression fin + khi début (tableau de contingence),,2
5,19.10.26,16.10.26,Khi2 + devoir gr 1 et 2 en guise de cours 1,,2
,26.10.26,23.10.26,CONGES gr 1 et 2 / initiation R gr 3,R,
6,02.11.26,30.10.26,initiation R gr 1 et 2 / CONGES gr 3,,
7,09.11.26,06.11.26,initiation R / boite à moustaches,,1
8,16.11.26,13.11.26,initiation R / variance + sujet DM,,
9,23.11.26,20.11.26,multivariée : boucle R et mise en forme des données (part 1 – régression multiple),,
10,30.11.26,27.11.26,multivariée : régression multiple (part 2) et script analyse factorielle et classification,,
11,07.12.26,04.12.26,multivariée : analyse factorielle et classification (données centrées réduites),,
12,14.12.26,11.12.26,questions autour du devoir maison et confirmation groupe partiel,,
13,,18.12.26,révision gr3 (feuille révisions gr 1 et 2),,
14,à préciser,à préciser,partiel,,
