Bureau de vote,Nb d'électeurs inscrits,Nb de votants,Taux de participation (%),Nb votes nuls,Nb votes blancs,Suffrages exprimés,"Résultats liste 1 :
Liste de la gauche unie pour Bondy - 
Sylvine THOMASSIN
","Résultats liste 2 : 
Pour Bondy allons plus loin - 
Stephen HERVE","Résultats liste 3 : 
Bondy pour une gauche sociale insoumise et populaire - 
Jamal AMMOURI","Résultats liste 4 : 
Bondy autrement - Vincent DUGUET","Résultats liste 5 : 
Bondy c'est vous - Sylvie BADOUX"
BV1,715,296,"41,3986013986014",3,3,290,78,168,19,17,8
BV2,808,368,"45,5445544554456",6,3,359,84,221,14,26,14
BV3,961,302,"31,4255983350676",1,6,295,111,132,17,27,8
BV4,848,270,"31,8396226415094",4,3,263,110,120,14,8,11
BV5,812,280,"34,4827586206897",1,11,268,148,104,8,2,6
BV6,876,321,"36,6438356164384",3,3,315,181,118,7,2,7
BV7,849,266,"31,3309776207303",5,0,261,150,89,10,5,7
BV8,937,355,"37,8868729989328",6,2,347,114,157,12,35,29
BV9,804,270,"33,5820895522388",2,5,263,91,123,7,19,23
BV10,828,346,"41,7874396135266",3,8,335,120,161,20,27,7
BV11,749,272,"36,3150867823765",8,8,256,69,155,10,15,7
BV12,620,212,"34,1935483870968",2,3,207,47,118,18,16,8
BV13,612,275,"44,9346405228758",0,3,272,88,140,17,18,9
BV14,707,221,"31,2588401697313",4,2,215,89,100,7,9,10
BV15,980,403,"41,1224489795918",3,9,391,119,218,16,15,23
BV16,807,336,"41,635687732342",2,3,331,125,177,11,9,9
BV17,904,309,"34,1814159292035",2,2,305,97,176,13,18,1
BV18,749,297,"39,652870493992",0,5,292,77,168,15,17,15
BV19,653,310,"47,4732006125574",3,2,305,94,175,16,15,5
BV20,771,266,"34,5006485084306",2,3,261,125,104,4,14,14
BV21,888,308,"34,6846846846847",3,6,299,118,145,15,11,10
BV22,619,200,"32,3101777059774",2,4,194,84,86,5,1,18
BV23,825,290,"35,1515151515151",4,6,280,85,152,12,13,18
BV24,789,291,"36,8821292775665",2,6,283,138,115,9,14,7
BV25,860,269,"31,2790697674419",2,7,260,101,124,6,19,10
BV26,889,296,"33,2958380202475",5,3,288,141,113,11,14,9
BV27,943,326,"34,5705196182397",5,1,320,119,147,7,19,28
BV28,791,345,"43,6156763590392",4,5,336,96,199,10,22,9
BV29,612,208,"33,9869281045752",2,1,205,73,113,4,10,5
BV30,517,253,"48,936170212766",4,3,246,56,166,8,14,2
BV31,863,347,"40,2085747392816",3,3,341,120,165,17,26,13
BV32,805,321,"39,8757763975155",0,2,319,132,142,11,23,11
TOTAL,25391,9429,,96,131,9202,3380,4591,370,500,361
Total en %,,,,"1,01813553929367","1,38933078799449",,"36,7311454031732","49,89132797218","4,02086502934145","5,43360139100196","3,92306020430341"
