Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Sélection : Île-de-France; ; ; ; ; 
Code;Libellé;Nombre d'autres hébergements collectifs de tourisme 2025;Médiane du niveau de vie 2021;Unités légales dans construction (en nombre) 2023;Nb de pers. non scolarisées de 15 ans ou + 2022
77150;Cuisy;0;26400;9;329
77151;Dagny;0;25270;4;215
77152;Dammarie-les-Lys;0;20310;166;15954
77153;Dammartin-en-Goële;0;25560;72;7742
77154;Dammartin-sur-Tigeaux;0;27550;15;851
77155;Dampmart;0;26590;39;2573
77156;Darvault;0;24720;13;686
77157;Dhuisy;0;25080;3;236
77158;Diant;0;23540;1;158
77159;Donnemarie-Dontilly;0;23170;31;2060
77161;Dormelles;0;26610;10;621
77162;Doue;0;25380;18;802
77163;Douy-la-Ramée;0;26010;4;251
77164;Échouboulains;0;25160;10;406
77165;Les Écrennes;0;28120;5;448
77167;Égligny;0;24590;6;226
77168;Égreville;0;22690;30;1608
77169;Émerainville;0;26240;84;5278
77171;Esbly;0;27620;54;4458
77172;Esmans;0;24000;12;681
77173;Étrépilly;0;25840;9;574
77174;Everly;0;24140;5;441
77175;Évry-Grégy-sur-Yerre;0;29590;44;2219
77176;Faremoutiers;0;24820;38;2072
77177;Favières;0;28690;7;949
77178;Faÿ-lès-Nemours;0;26090;7;363
77179;Féricy;0;29840;6;438
77180;Férolles-Attilly;0;34290;9;937
77181;Ferrières-en-Brie;0;29080;54;2728
77182;La Ferté-Gaucher;0;19200;33;3517
77183;La Ferté-sous-Jouarre;0;21220;81;7146
77184;Flagy;0;25780;4;444
77185;Fleury-en-Bière;0;32710;5;504
77186;Fontainebleau;0;27340;79;11454
77187;Fontaine-Fourches;0;21280;12;442
77188;Fontaine-le-Port;0;31180;8;765
77190;Fontains;0;25990;3;194
77191;Fontenailles;0;27010;12;784
77192;Fontenay-Trésigny;0;24880;57;4218
77193;Forfry;0;28170;3;165
77194;Forges;0;23650;2;307
77195;Fouju;0;28330;7;442
77196;Fresnes-sur-Marne;0;29260;5;614
77197;Frétoy;0;25140;2;116
77198;Fromont;0;25670;2;179
77199;Fublaines;0;25230;15;933
77200;Garentreville;0;28720;2;81
77201;Gastins;0;25850;5;510
77202;La Genevraye;0;26640;14;584
77203;Germigny-l'Évêque;0;29410;16;1014
77204;Germigny-sous-Coulombs;0;22900;1;152
77205;Gesvres-le-Chapitre;0;32080;3;103
77206;Giremoutiers;0;27540;4;128
77207;Gironville;0;26120;5;120
77208;Gouaix;0;22600;14;997
77209;Gouvernes;0;33280;12;877
77210;La Grande-Paroisse;0;23940;20;2120
77211;Grandpuits-Bailly-Carrois;0;24730;10;748
77212;Gravon;0;26980;2;126
77214;Gressy;0;34290;1;607
77215;Gretz-Armainvilliers;1;24260;105;6037
77216;Grez-sur-Loing;0;26740;15;1089
77217;Grisy-Suisnes;0;29270;56;2066
77218;Grisy-sur-Seine;0;25060;4;89
77219;Guérard;0;27850;27;1915
77220;Guercheville;0;26550;2;207
77221;Guermantes;0;32090;13;837
77222;Guignes;0;24510;30;3003
77223;Gurcy-le-Châtel;0;26700;3;405
77224;Hautefeuille;0;28070;2;207
77225;La Haute-Maison;0;26480;6;240
77226;Héricy;0;29650;24;1913
77227;Hermé;0;23360;15;474
77228;Hondevilliers;0;22030;2;201
77229;La Houssaye-en-Brie;0;28440;46;1210
77230;Ichy;0;25220;3;125
77231;Isles-les-Meldeuses;0;23960;9;540
77232;Isles-lès-Villenoy;0;28620;10;783
77233;Iverny;0;25240;6;407
77234;Jablines;0;30560;7;461
77235;Jaignes;0;25350;1;239
77236;Jaulnes;0;25940;5;258
77237;Jossigny;0;27560;14;458
77238;Jouarre;0;23900;37;3110
77239;Jouy-le-Châtel;0;25040;23;1119
77240;Jouy-sur-Morin;0;23150;29;1632
77241;Juilly;0;26540;15;1401
77242;Jutigny;0;22030;7;403
77243;Lagny-sur-Marne;0;25220;189;15708
77244;Larchant;0;26670;12;556
77245;Laval-en-Brie;0;24700;6;319
77246;Léchelle;0;22800;8;407
77247;Lescherolles;0;24710;5;337
77248;Lesches;0;30970;9;549
77249;Lésigny;0;31100;44;4958
77250;Leudon-en-Brie;0;26530;1;114
77251;Lieusaint;2;24290;148;8744
77252;Limoges-Fourches;0;28520;18;401
77253;Lissy;0;29310;2;212
77254;Liverdy-en-Brie;0;29460;14;984
77255;Livry-sur-Seine;0;27370;17;1676
77256;Lizines;0;23680;1;123
77257;Lizy-sur-Ourcq;0;19220;37;2516
77258;Lognes;0;22290;78;9931
77259;Longperrier;0;25180;19;2039
77260;Longueville;1;20250;7;1299
77261;Lorrez-le-Bocage-Préaux;0;23490;7;931
77262;Louan-Villegruis-Fontaine;0;23160;5;375
77263;Luisetaines;0;24560;3;160
77264;Lumigny-Nesles-Ormeaux;0;28250;26;1092
77265;Luzancy;0;24780;8;767
77266;Machault;0;27190;7;550
77267;La Madeleine-sur-Loing;0;25440;9;280
77268;Magny-le-Hongre;0;29460;30;5912
77269;Maincy;0;27900;21;1367
77270;Maisoncelles-en-Brie;0;28010;15;729
