LIBCOM,nb,zone,Code
Abancourt,34,reg32,60001
Abbaretz,40,reg52,44001
Abbecourt,8,reg32,60002
Abitain,1,reg75,64004
Ableiges,10,IDF_DEP_95,95002
Ablis,92,IDF_DEP_78,78003
Ablon,3,reg28,14001
Ablon-sur-Seine,328,IDF_DEP_94,94001
Abondance,50,reg84,74001
Abos,8,reg75,64005
Abrest,63,reg84,03001
Abscon,598,reg32,59002
Abzac,129,reg75,33001
Accons,5,reg84,07001
Accous,6,reg75,64006
Achères,4074,IDF_DEP_78,78005
Achy,5,reg32,60004
Acigné,447,reg53,35001
Acon,1,reg28,27002
Acquigny,66,reg28,27003
Acy,14,reg32,02003
Acy-en-Multien,6,reg32,60005
Adon,4,reg24,45001
Affieux,2,reg75,19001
Affoux,4,reg84,69001
Agen,4475,reg75,47001
Agneaux,313,reg28,50002
Agnetz,120,reg32,60007
Agon-Coutainville,124,reg28,50003
Agonac,29,reg75,24002
Agonges,10,reg84,03002
Agris,8,reg75,16003
Aguessac,4,reg76,12002
Ahetze,34,reg75,64009
Ahuillé,31,reg52,53001
Ahun,76,reg75,23001
Ahuy,85,reg27,21003
Aiffres,374,reg75,79003
Aiglun,72,reg93,06001
Aiglun,72,reg93,04001
Aignan,45,reg76,32001
Aignay-le-Duc,5,reg27,21004
Aigné,10,reg52,72001
Aigre,19,reg75,16005
Aigrefeuille-d'Aunis,37,reg75,17003
Aigrefeuille-sur-Maine,58,reg52,44002
Aigremont,8,IDF_DEP_78,78007
Aiguebelette-le-Lac,5,reg84,73001
Aiguefonde,6,reg76,81002
Aigueperse,154,reg84,69002
Aigueperse,154,reg84,63001
Aiguillon,81,reg75,47004
Aillant-sur-Milleron,10,reg24,45002
Aillas,17,reg75,33002
Ailleville,20,reg44,10002
Aillon-le-Jeune,27,reg84,73004
Aime-la-Plagne,211,reg84,73006
Ainay-le-Château,35,reg84,03003
Ainay-le-Vieil,8,reg24,18002
Aincille,4,reg75,64011
Aincourt,31,IDF_DEP_95,95008
Aire-sur-l'Adour,357,reg75,40001
Airel,21,reg28,50004
Airion,1,reg32,60008
Airvault,155,reg75,79005
Aiserey,8,reg27,21005
Aisonville-et-Bernoville,1,reg32,02006
Aiton,93,reg84,73007
Aix,4,reg75,19002
Aix-en-Provence,12459,reg93,13001
Aix-les-Bains,2623,reg84,73008
Aix-Villemaur-Pâlis,365,reg44,10003
Aizenay,321,reg52,85003
Ajaccio,4389,reg94,2A004
Ajain,24,reg75,23002
Alairac,50,reg76,11005
Alba-la-Romaine,21,reg84,07005
Alban,4,reg76,81003
Albefeuille-Lagarde,2,reg76,82001
Albertacce,13,reg94,2B007
Albertville,2756,reg84,73011
Albi,4083,reg76,81004
Albias,136,reg76,82002
Albigny-sur-Saône,249,reg84,69003
Albine,20,reg76,81005
Albon,69,reg84,26002
Albon-d'Ardèche,4,reg84,07006
Alboussière,36,reg84,07007
Albussac,3,reg75,19004
Alby-sur-Chéran,237,reg84,74002
Aldudes,9,reg75,64016
Alençon,5332,reg28,61001
Aléria,78,reg94,2B009
Alet-les-Bains,8,reg76,11008
Alfortville,8363,IDF_DEP_94,94002
Alissas,44,reg84,07008
Alix,13,reg84,69004
Alixan,19,reg84,26004
Alizay,208,reg28,27008
Allaire,100,reg53,56001
Allan,37,reg84,26005
Allanche,26,reg84,15001
Allassac,76,reg75,19005
Allauch,516,reg93,13002
Alleins,125,reg93,13003
Allemagne-en-Provence,19,reg93,04004
Allennes-les-Marais,128,reg32,59005
Allèves,17,reg84,74004
Allex,21,reg84,26006
Allibaudières,4,reg44,10004
Allinges,52,reg84,74005
Allogny,24,reg24,18004
Alloinay,3,reg75,79136
Allondaz,4,reg84,73014
Allonne,51,reg32,60009
Allonnes,5,reg24,28004
Allonnes,2426,reg52,49002
Allonnes,2426,reg52,72003
Allonzier-la-Caille,98,reg84,74006
Allos,48,reg93,04006
Alloue,6,reg75,16007
Allouis,9,reg24,18005
Allouville-Bellefosse,66,reg28,76001
Alluyes,21,reg24,28005
Ally,7,reg84,43006
Almenêches,35,reg28,61002
Alrance,6,reg76,12006
Althen-des-Paluds,59,reg93,84001
Altillac,7,reg75,19007
Alvimare,3,reg28,76002
Alzen,6,reg76,09009
Alzonne,88,reg76,11009
Amagne,4,reg44,08008
Amailloux,16,reg75,79008
Amance,4,reg44,10005
Amance,4,reg44,54012
Amancy,40,reg84,74007
Amayé-sur-Orne,9,reg28,14006
Ambarès-et-Lagrave,1236,reg75,33003
