"","COMPLGEO","NUMAPPT","NBPIECE","CONSTRUCT"
"3781","RESIDENCE LE POTAGER","42",3,1971
"3783","RESIDENCE LE POTAGER","51",4,1971
"3785","RESIDENCE LE POTAGER","52",3,1971
"3787","RESIDENCE LE POTAGER","61",4,1971
"3789","RESIDENCE LE POTAGER","62",3,1971
"3791","RESIDENCE LE POTAGER","71",4,1971
"3793","RESIDENCE LE POTAGER","72",3,1971
"3795","RESIDENCE LE POTAGER","81",4,1971
"3797","RESIDENCE LE POTAGER","82",3,1971
"3799","RESIDENCE LE POTAGER","91",4,1971
"3801","RESIDENCE LE POTAGER","92",3,1971
"3803","RESIDENCE LE POTAGER","01",2,1971
"3805","RESIDENCE LE POTAGER","11",4,1971
"3807","RESIDENCE LE POTAGER","12",3,1971
"3809","RESIDENCE LE POTAGER","21",4,1971
"3811","RESIDENCE LE POTAGER","22",3,1971
"3813","RESIDENCE LE POTAGER","31",4,1971
"3815","RESIDENCE LE POTAGER","32",3,1971
"3817","RESIDENCE LE POTAGER","41",4,1971
"3819","RESIDENCE LE POTAGER","42",3,1971
"3821","RESIDENCE LE POTAGER","51",4,1971
"3823","RESIDENCE LE POTAGER","52",3,1971
"3825","RESIDENCE LE POTAGER","61",4,1971
"3827","RESIDENCE LE POTAGER","62",3,1971
"3829","RESIDENCE LE POTAGER","71",4,1971
"3831","RESIDENCE LE POTAGER","72",3,1971
"3833","RESIDENCE LE POTAGER","81",4,1971
"3835","RESIDENCE LE POTAGER","82",3,1971
"3837","RESIDENCE LE POTAGER","91",4,1971
"3839","RESIDENCE LE POTAGER","92",3,1971
"3841","RESIDENCE LE POTAGER","01",3,1971
"3843","RESIDENCE LE POTAGER","11",4,1971
"3845","RESIDENCE LE POTAGER","12",5,1971
"3847","RESIDENCE LE POTAGER","21",4,1971
"3849","RESIDENCE LE POTAGER","22",5,1971
"3851","RESIDENCE LE POTAGER","31",4,1971
"3853","RESIDENCE LE POTAGER","32",5,1971
"3855","RESIDENCE LE POTAGER","41",4,1971
"3857","RESIDENCE LE POTAGER","42",5,1971
"3859","RESIDENCE LE POTAGER","51",4,1971
"3861","RESIDENCE LE POTAGER","52",5,1971
"3863","RESIDENCE LE POTAGER","61",4,1971
"3865","RESIDENCE LE POTAGER","62",5,1971
"3867","RESIDENCE LE POTAGER","71",4,1971
"3869","RESIDENCE LE POTAGER","72",5,1971
"3871","RESIDENCE LE POTAGER","81",4,1971
"3873","RESIDENCE LE POTAGER","82",5,1971
"3875","RESIDENCE LE POTAGER","91",4,1971
"3877","RESIDENCE LE POTAGER","92",5,1971
"3879","RESIDENCE LE POTAGER","01",2,1971
"3881","RESIDENCE LE POTAGER","11",2,1971
"3883","RESIDENCE LE POTAGER","12",3,1971
"3885","RESIDENCE LE POTAGER","21",2,1971
"3887","RESIDENCE LE POTAGER","22",3,1971
"3889","RESIDENCE LE POTAGER","31",2,1971
"3891","RESIDENCE LE POTAGER","32",3,1971
"3893","RESIDENCE LE POTAGER","41",2,1971
"3895","RESIDENCE LE POTAGER","42",3,1971
"3897","RESIDENCE LE POTAGER","51",2,1971
"3899","RESIDENCE LE POTAGER","52",3,1971
"3901","RESIDENCE LE POTAGER","61",2,1971
"3903","RESIDENCE LE POTAGER","62",3,1971
"3905","RESIDENCE LE POTAGER","71",2,1971
"3907","RESIDENCE LE POTAGER","72",3,1971
"3909","RESIDENCE LE POTAGER","81",2,1971
"3911","RESIDENCE LE POTAGER","82",3,1971
"3913","RESIDENCE LE POTAGER","91",2,1971
"3915","RESIDENCE LE POTAGER","92",3,1971
"3917","RESIDENCE LE POTAGER","01",2,1971
"3919","RESIDENCE LE POTAGER","11",2,1971
"3921","RESIDENCE LE POTAGER","12",5,1971
"3923","RESIDENCE LE POTAGER","21",2,1971
"3925","RESIDENCE LE POTAGER","22",5,1971
"3927","RESIDENCE LE POTAGER","31",2,1971
"3929","RESIDENCE LE POTAGER","32",5,1971
"3931","RESIDENCE LE POTAGER","41",2,1971
"3933","RESIDENCE LE POTAGER","42",5,1971
"3935","RESIDENCE LE POTAGER","51",2,1971
"3937","RESIDENCE LE POTAGER","52",5,1971
"3939","RESIDENCE LE POTAGER","61",2,1971
"3941","RESIDENCE LE POTAGER","62",5,1971
"3943","RESIDENCE LE POTAGER","71",2,1971
"3945","RESIDENCE LE POTAGER","72",5,1971
"3947","RESIDENCE LE POTAGER","81",2,1971
"3949","RESIDENCE LE POTAGER","82",5,1971
"3951","RESIDENCE LE POTAGER","91",2,1971
"3953","RESIDENCE LE POTAGER","92",5,1971
