Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Libellé Budget;Agrégat;Montant BP;Montant BA;Montant flux BP-BA;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
14;Non;24;Centre-Val de Loire;45;Loiret;200066280;Communauté de communes du Pithiverais;1;Oui;Non;Non;1;Non;45012;Audeville;Commune;214500126;45012;AUDEVILLE;Epargne nette;11967.25;0.0;0.0;11967.25;0.01196725;183;65.39480874316939;1;;;;;;;;;2;;2024;183
15;Non;24;Centre-Val de Loire;45;Loiret;200071850;Communauté de communes du Pithiverais-Gâtinais;2;Oui;Non;Non;3;Non;45013;Augerville-la-Rivière;Commune;214500134;45013;AUGERVILLE-LA-RIVIERE;Epargne nette;-31025.86;0.0;0.0;-31025.86;-0.03102586;228;-136.07833333333335;1;;;;;;;;;2;;2024;228
16;Non;24;Centre-Val de Loire;45;Loiret;200071850;Communauté de communes du Pithiverais-Gâtinais;3;Oui;Non;Non;2;Non;45014;Aulnay-la-Rivière;Commune;214500142;45014;AULNAY-LA-RIVIERE;Epargne nette;16866.96;63005.39;0.0;79872.35;0.07987235000000001;509;156.92013752455796;1;;;;;;;;;2;;2024;509
17;Non;24;Centre-Val de Loire;45;Loiret;200066280;Communauté de communes du Pithiverais;3;Oui;Non;Non;2;Non;45015;Autruy-sur-Juine;Commune;214500159;45015;AUTRUY-SUR-JUINE;Epargne nette;-179151.5;0.0;0.0;-179151.5;-0.1791515;728;-246.08722527472528;1;;;;;;;;;2;;2024;728
18;Non;24;Centre-Val de Loire;45;Loiret;200068278;Communauté de communes Berry Loire Puisaye;3;Oui;Non;Non;2;Non;45016;Autry-le-Châtel;Commune;214500167;45016;AUTRY-LE-CHATEL;Epargne nette;244184.84;54131.2;0.0;298316.04;0.29831604;915;326.0284590163934;1;;;;;;;;;2;;2024;915
19;Non;24;Centre-Val de Loire;45;Loiret;200067676;Communauté de communes Canaux et Forêts en Gâtinais;2;Oui;Non;Non;2;Non;45017;Auvilliers-en-Gâtinais;Commune;214500175;45017;AUVILLIERS-EN-GATINAIS;Epargne nette;23202.38;7043.79;0.0;30246.17;0.03024617;339;89.22174041297934;1;;;;;;;;;2;;2024;339
20;Non;24;Centre-Val de Loire;45;Loiret;200071850;Communauté de communes du Pithiverais-Gâtinais;3;Oui;Non;Non;1;Non;45018;Auxy;Commune;214500183;45018;AUXY;Epargne nette;67696.44;148675.11;0.0;216371.55;0.21637155;972;222.60447530864195;1;;;;;;;;;2;;2024;972
21;Non;24;Centre-Val de Loire;45;Loiret;200070183;Communauté de communes des Terres du Val de Loire;3;Oui;Non;Non;2;Non;45019;Baccon;Commune;214500191;45019;BACCON;Epargne nette;47496.48;31117.97;0.0;78614.45;0.07861445;678;115.95051622418879;1;;;;;;;;;2;;2024;678
22;Non;24;Centre-Val de Loire;45;Loiret;200070183;Communauté de communes des Terres du Val de Loire;3;Oui;Non;Non;2;Non;45020;Le Bardon;Commune;214500209;45020;BARDON LE;Epargne nette;-54535.1899999999;-11525.53;0.0;-66060.7199999999;-0.0660607199999999;994;-66.4594768611669;1;;;;;;;;;2;;2024;994
23;Non;24;Centre-Val de Loire;45;Loiret;200071850;Communauté de communes du Pithiverais-Gâtinais;2;Oui;Non;Non;1;Non;45021;Barville-en-Gâtinais;Commune;214500217;45021;BARVILLE-EN-GATINAIS;Epargne nette;32109.89;43182.62;0.0;75292.51;0.07529250999999999;308;244.45620129870127;1;;;;;;;;;2;;2024;308
24;Non;24;Centre-Val de Loire;45;Loiret;200071850;Communauté de communes du Pithiverais-Gâtinais;2;Oui;Non;Non;1;Non;45022;Batilly-en-Gâtinais;Commune;214500225;45022;BATILLY-EN-GATINAIS;Epargne nette;-56259.9;107396.92;0.0;51137.02;0.05113702;448;114.14513392857143;1;;;;;;;;;2;;2024;448
25;Non;24;Centre-Val de Loire;45;Loiret;200068278;Communauté de communes Berry Loire Puisaye;1;Oui;Non;Non;1;Non;45023;Batilly-en-Puisaye;Commune;214500233;45023;BATILLY-EN-PUISAYE;Epargne nette;39981.38;0.0;0.0;39981.38;0.03998138;109;366.80165137614676;1;;;;;;;;;2;;2024;109
26;Non;24;Centre-Val de Loire;45;Loiret;200070183;Communauté de communes des Terres du Val de Loire;4;Non;Non;Non;2;Non;45024;Baule;Commune;214500241;45024;BAULE;Epargne nette;-48988.5;-81917.48;0.0;-130905.98;-0.13090598;2074;-63.117637415621985;1;;;;;;;;;2;;2024;2074
27;Non;24;Centre-Val de Loire;45;Loiret;244500542;Communauté de communes de la Plaine du Nord Loiret;3;Oui;Non;Non;1;Non;45025;Bazoches-les-Gallerandes;Commune;214500258;45025;BAZOCHES-LES-GALLERANDES;Epargne nette;35164.1099999999;0.0;0.0;35164.1099999999;0.0351641099999999;1525;23.05843278688518;1;;;;;;;;;2;;2024;1525
28;Non;24;Centre-Val de Loire;45;Loiret;200067668;Communauté de communes de la Cléry,du Betz et de l'Ouanne;3;Oui;Non;Non;2;Non;45026;Bazoches-sur-le-Betz;Commune;214500266;45026;BAZOCHES-SUR-LE-BETZ;Epargne nette;21930.4899999999;-8418.51;0.0;13511.9799999999;0.0135119799999999;986;13.703833671399492;1;;;;;;;;;2;;2024;986
29;Non;24;Centre-Val de Loire;45;Loiret;200067676;Communauté de communes Canaux et Forêts en Gâtinais;2;Oui;Non;Non;2;Non;45027;Beauchamps-sur-Huillard;Commune;214500274;45027;BEAUCHAMPS-SUR-HUILLARD;Epargne nette;32086.07;9314.11;0.0;41400.18;0.04140018;394;105.07659898477158;1;;;;;;;;;2;;2024;394
30;Non;24;Centre-Val de Loire;45;Loiret;200070183;Communauté de communes des Terres du Val de Loire;6;Non;Non;Non;2;Non;45028;Beaugency;Commune;214500282;45028;BEAUGENCY;Epargne nette;1042612.05;54588.71;0.0;1097200.76;1.09720076;7796;140.73893791688045;1;;;;;;;;;2;;2024;7796
31;Non;24;Centre-Val de Loire;45;Loiret;200068278;Communauté de communes Berry Loire Puisaye;3;Oui;Non;Non;1;Non;45029;Beaulieu-sur-Loire;Commune;214500290;45029;BEAULIEU-SUR-LOIRE;Epargne nette;50253.7200000002;120718.22;0.0;170971.94;0.17097194;1789;95.56844046953606;1;;;;;;;;;2;;2024;1789
32;Non;24;Centre-Val de Loire;45;Loiret;200071850;Communauté de communes du Pithiverais-Gâtinais;4;Oui;Non;Non;1;Non;45030;Beaune-la-Rolande;Commune;214500308;45030;BEAUNE-LA-ROLANDE;Epargne nette;232659.91;260229.7;0.0;492889.61;0.49288961;2120;232.49509905660378;1;;;;;;;;;2;;2024;2120
33;Non;24;Centre-Val de Loire;45;Loiret;200067676;Communauté de communes Canaux et Forêts en Gâtinais;3;Non;Non;Non;1;Non;45031;Bellegarde;Commune;214500316;45031;BELLEGARDE;Epargne nette;194298.01;0.0;0.0;194298.01;0.19429801000000002;1523;127.57584372948129;1;;;;;;;;;2;;2024;1523
34;Non;24;Centre-Val de Loire;45;Loiret;244500419;Communauté de communes des Quatre Vallées;2;Oui;Non;Non;2;Non;45032;Le Bignon-Mirabeau;Commune;214500324;45032;BIGNON MIRABEAU LE;Epargne nette;37240.32;-10616.91;0.0;26623.41;0.02662341;312;85.33144230769231;1;;;;;;;;;2;;2024;312
35;Non;24;Centre-Val de Loire;45;Loiret;200071850;Communauté de communes du Pithiverais-Gâtinais;2;Oui;Non;Non;2;Non;45033;Boësses;Commune;214500332;45033;BOESSES;Epargne nette;34268.53;37157.14;0.0;71425.67;0.07142567;377;189.45801061007958;1;;;;;;;;;2;;2024;377
