Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Libellé Budget;Agrégat;Montant BP;Montant BA;Montant flux BP-BA;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200057867;Plaine Commune;9;Non;Non;Non;0;Oui;93001;Aubervilliers;Commune;219300019;93001;AUBERVILLIERS;Achats et charges externes;16057342.53;1170415.65;0.0;17227758.18;17.22775818;80834;213.12514758641166;1;;;;;3;;;;;;2017;90259
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058097;Paris Terres d'Envol;9;Non;Non;Non;1;Oui;93005;Aulnay-sous-Bois;Commune;219300050;93005;AULNAY-SOUS-BOIS;Achats et charges externes;36719145.22;0.0;0.0;36719145.22;36.71914522;82935;442.74606884909866;1;;;;;3;;;;;;2017;86522
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200057875;Est Ensemble;8;Non;Non;Non;1;Oui;93006;Bagnolet;Commune;219300068;93006;BAGNOLET;Achats et charges externes;13072458.02;0.0;0.0;13072458.02;13.07245802;36237;360.7489036068107;1;;;;;3;;;;;;2017;39493
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058097;Paris Terres d'Envol;9;Non;Non;Non;1;Oui;93007;Le Blanc-Mesnil;Commune;219300076;93007;BLANC-MESNIL (LE );Achats et charges externes;18111217.89;275068.99;15729.88;18370557.0;18.370557;54606;336.42011866827823;1;;;;;3;;;;;;2017;58396
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200057875;Est Ensemble;9;Non;Non;Non;0;Oui;93008;Bobigny;Commune;219300084;93008;BOBIGNY;Achats et charges externes;17152706.69;122822.31;122822.31;17152706.69;17.152706690000002;50806;337.611831082943;1;;;;;3;;;;;;2017;55191
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200057875;Est Ensemble;9;Non;Non;Non;1;Oui;93010;Bondy;Commune;219300100;93010;BONDY;Achats et charges externes;18129220.59;0.0;0.0;18129220.59;18.12922059;53381;339.61935126730486;1;;;;;3;;;;;;2017;53067
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058097;Paris Terres d'Envol;7;Non;Non;Non;1;Oui;93013;Le Bourget;Commune;219300134;93013;LE BOURGET;Achats et charges externes;6967613.24;0.0;0.0;6967613.24;6.96761324;16105;432.63664948773675;1;;;;;3;;;;;;2017;14870
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058790;Grand Paris - Grand Est;8;Non;Non;Non;0;Oui;93014;Clichy-sous-Bois;Commune;219300142;93014;CLICHY-SOUS-BOIS;Achats et charges externes;14322941.02;86748.98;0.0;14409690.0;14.40969;30101;478.71133849373774;1;;;;;3;;;;;;2017;29806
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058790;Grand Paris - Grand Est;6;Non;Non;Non;2;Non;93015;Coubron;Commune;219300159;93015;COUBRON;Achats et charges externes;1440615.3;0.0;0.0;1440615.3;1.4406153000000002;4790;300.75475991649273;1;;;;;3;;;;;;2017;5107
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200057867;Plaine Commune;8;Non;Non;Non;0;Oui;93027;La Courneuve;Commune;219300274;93027;COURNEUVE (LA );Achats et charges externes;14125952.3;0.0;0.0;14125952.3;14.125952300000002;41115;343.57174510519275;1;;;;;3;;;;;;2017;47289
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058097;Paris Terres d'Envol;9;Non;Non;Non;1;Oui;93029;Drancy;Commune;219300290;93029;DRANCY;Achats et charges externes;21966216.41;0.0;0.0;21966216.41;21.96621641;69600;315.6065576149425;1;;;;;3;;;;;;2017;71619
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058097;Paris Terres d'Envol;7;Non;Non;Non;0;Oui;93030;Dugny;Commune;219300308;93030;DUGNY;Achats et charges externes;4756286.26;0.0;0.0;4756286.26;4.7562862599999995;10455;454.9293409851745;1;;;;;3;;;;;;2017;11368
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200057867;Plaine Commune;9;Non;Non;Non;1;Oui;93031;Épinay-sur-Seine;Commune;219300316;93031;EPINAY-SUR-SEINE;Achats et charges externes;10586449.36;0.0;0.0;10586449.36;10.58644936;55349;191.26722000397476;1;;;;;3;;;;;;2017;53637
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058790;Grand Paris - Grand Est;8;Non;Non;Non;2;Oui;93032;Gagny;Commune;219300324;93032;GAGNY;Achats et charges externes;9728840.82;5517.44;0.0;9734358.26;9.73435826;39455;246.72052363452033;1;;;;;3;;;;;;2017;40428
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058790;Grand Paris - Grand Est;6;Non;Non;Non;4;Non;93033;Gournay-sur-Marne;Commune;219300332;93033;GOURNAY-SUR-MARNE;Achats et charges externes;2216354.52;0.0;0.0;2216354.52;2.21635452;6878;322.2382262285548;1;;;;;3;;;;;;2017;6944
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200057867;Plaine Commune;6;Non;Non;Non;1;Oui;93039;L'Île-Saint-Denis;Commune;219300399;93039;ILE-SAINT-DENIS (L' );Achats et charges externes;1887071.11;0.0;0.0;1887071.11;1.8870711100000002;7328;257.5151623908297;1;;;;;3;;;;;;2017;8683
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200057875;Est Ensemble;8;Non;Non;Non;3;Non;93045;Les Lilas;Commune;219300456;93045;LILAS (LES);Achats et charges externes;6781457.69;38042.9;0.0;6819500.59;6.81950059;22928;297.4311143579902;1;;;;;3;;;;;;2017;23589
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058790;Grand Paris - Grand Est;8;Non;Non;Non;1;Non;93046;Livry-Gargan;Commune;219300464;93046;LIVRY-GARGAN;Achats et charges externes;9610847.31;269237.57;0.0;9880084.88;9.88008488;44052;224.28232270952512;1;;;;;3;;;;;;2017;46218
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058790;Grand Paris - Grand Est;8;Non;Non;Non;1;Oui;93047;Montfermeil;Commune;219300472;93047;MONTFERMEIL;Achats et charges externes;8479828.44;0.0;0.0;8479828.44;8.47982844;25920;327.15387499999997;1;;;;;3;;;;;;2017;28100
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200057875;Est Ensemble;10;Non;Non;Non;2;Oui;93048;Montreuil;Commune;219300480;93048;MONTREUIL;Achats et charges externes;32827412.9;0.0;0.0;32827412.9;32.8274129;105608;310.84210381789256;1;;;;;3;;;;;;2017;112027
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058790;Grand Paris - Grand Est;8;Non;Non;Non;2;Non;93049;Neuilly-Plaisance;Commune;219300498;93049;NEUILLY-PLAISANCE;Achats et charges externes;5215463.31;0.0;0.0;5215463.31;5.21546331;21176;246.29124055534567;1;;;;;3;;;;;;2017;21538
2017;Non;11;Île-de-France;93;Seine-Saint-Denis;200058790;Grand Paris - Grand Est;8;Non;Non;Non;1;Oui;93050;Neuilly-sur-Marne;Commune;219300506;93050;NEUILLY-SUR-MARNE;Achats et charges externes;10017078.94;250629.57;0.0;10267708.51;10.26770851;35190;291.7791562944018;1;;;;;3;;;;;;2017;37639
