Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2025); ; 
Sélection : Île-de-France; ; 
Code;Libellé;Nombre de logements vacants 2022
77240;Jouy-sur-Morin;106
77241;Juilly;21
77242;Jutigny;24
77243;Lagny-sur-Marne;879
77244;Larchant;47
77245;Laval-en-Brie;10
77246;Léchelle;16
77247;Lescherolles;22
77248;Lesches;9
77249;Lésigny;122
77250;Leudon-en-Brie;4
77251;Lieusaint;182
77252;Limoges-Fourches;11
77253;Lissy;12
77254;Liverdy-en-Brie;32
77255;Livry-sur-Seine;108
77256;Lizines;7
77257;Lizy-sur-Ourcq;137
77258;Lognes;286
77259;Longperrier;105
77260;Longueville;72
77261;Lorrez-le-Bocage-Préaux;83
77262;Louan-Villegruis-Fontaine;24
77263;Luisetaines;9
77264;Lumigny-Nesles-Ormeaux;23
77265;Luzancy;47
77266;Machault;26
77267;La Madeleine-sur-Loing;9
77268;Magny-le-Hongre;536
77269;Maincy;58
77270;Maisoncelles-en-Brie;18
77271;Maisoncelles-en-Gâtinais;8
77272;Maison-Rouge;32
77273;Marchémoret;10
77274;Marcilly;18
77275;Les Marêts;5
77276;Mareuil-lès-Meaux;60
77277;Marles-en-Brie;47
77278;Marolles-en-Brie;7
77279;Marolles-sur-Seine;46
77280;Mary-sur-Marne;25
77281;Mauperthuis;22
77282;Mauregard;11
77283;May-en-Multien;24
77284;Meaux;1830
77285;Le Mée-sur-Seine;517
77286;Meigneux;6
77287;Meilleray;14
77288;Melun;2089
77289;Melz-sur-Seine;11
77290;Méry-sur-Marne;45
77291;Le Mesnil-Amelot;45
77292;Messy;47
77293;Misy-sur-Yonne;34
77294;Mitry-Mory;452
77295;Moisenay;30
77296;Moissy-Cramayel;257
77297;Mondreville;23
77298;Mons-en-Montois;13
77300;Montceaux-lès-Meaux;17
77301;Montceaux-lès-Provins;15
77302;Moncourt-Fromonville;49
77303;Montdauphin;10
77304;Montenils;4
77305;Montereau-Fault-Yonne;590
77306;Montereau-sur-le-Jard;9
77307;Montévrain;339
77308;Montgé-en-Goële;30
77309;Monthyon;30
77310;Montigny-le-Guesdier;12
77311;Montigny-Lencoup;55
77312;Montigny-sur-Loing;232
77313;Montmachoux;8
77314;Montolivet;6
77315;Montry;130
77316;Moret-Loing-et-Orvanne;454
77317;Mormant;116
77318;Mortcerf;52
77319;Mortery;4
77320;Mouroux;189
77321;Mousseaux-lès-Bray;30
77322;Moussy-le-Neuf;55
77323;Moussy-le-Vieux;56
77325;Mouy-sur-Seine;14
77326;Nandy;68
77327;Nangis;375
77328;Nanteau-sur-Essonne;17
77329;Nanteau-sur-Lunain;29
77330;Nanteuil-lès-Meaux;269
77331;Nanteuil-sur-Marne;24
77332;Nantouillet;10
77333;Nemours;741
77335;Chauconin-Neufmontiers;48
77336;Neufmoutiers-en-Brie;35
77337;Noisiel;153
77338;Noisy-Rudignon;18
77339;Noisy-sur-École;79
77340;Nonville;25
77341;Noyen-sur-Seine;17
77342;Obsonville;11
77343;Ocquerre;14
77344;Oissery;33
77345;Orly-sur-Morin;31
77347;Les Ormes-sur-Voulzie;27
77348;Ormesson;4
77349;Othis;63
77350;Ozoir-la-Ferrière;510
77352;Ozouer-le-Voulgis;46
77353;Paley;21
77354;Pamfou;12
77355;Paroy;4
77356;Passy-sur-Seine;1
77357;Pécy;18
77358;Penchard;14
77359;Perthes;47
77360;Pézarches;8
77361;Pierre-Levée;15
77363;Le Pin;43
77364;Le Plessis-aux-Bois;5
77365;Le Plessis-Feu-Aussoux;11
77366;Le Plessis-l'Évêque;3
77367;Le Plessis-Placy;7
77368;Poigny;9
77369;Poincy;10
77370;Poligny;46
77371;Pommeuse;111
77372;Pomponne;124
77373;Pontault-Combault;663
77374;Pontcarré;68
77376;Précy-sur-Marne;25
77377;Presles-en-Brie;37
77378;Pringy;60
77379;Provins;718
77380;Puisieux;7
77381;Quiers;5
77382;Quincy-Voisins;139
77383;Rampillon;17
77384;Réau;111
77385;Rebais;114
77386;Recloses;48
77387;Remauville;16
77388;Reuil-en-Brie;16
77389;La Rochette;109
77390;Roissy-en-Brie;241
77391;Rouilly;16
77392;Rouvres;36
77393;Rozay-en-Brie;88
77394;Rubelles;68
77395;Rumont;1
77396;Rupéreux;6
77397;Saâcy-sur-Marne;122
77398;Sablonnières;29
77400;Saint-Augustin;45
77401;Sainte-Aulde;34
77402;Saint-Barthélemy;9
77403;Saint-Brice;31
77404;Sainte-Colombe;60
77405;Saint-Cyr-sur-Morin;82
77406;Saint-Denis-lès-Rebais;20
77407;Saint-Fargeau-Ponthierry;518
77408;Saint-Fiacre;10
77409;Saint-Germain-Laval;37
77410;Saint-Germain-Laxis;9
77411;Saint-Germain-sous-Doue;12
77412;Saint-Germain-sur-École;15
77413;Saint-Germain-sur-Morin;69
77414;Saint-Hilliers;24
77415;Saint-Jean-les-Deux-Jumeaux;46
77416;Saint-Just-en-Brie;1
77417;Saint-Léger;8
77418;Saint-Loup-de-Naud;28
77419;Saint-Mammès;154
77420;Saint-Mard;80
77421;Saint-Mars-Vieux-Maisons;14
77423;Saint-Martin-des-Champs;29
77424;Saint-Martin-du-Boschet;11
77425;Saint-Martin-en-Bière;40
77426;Saint-Méry;26
77427;Saint-Mesmes;4
77428;Saint-Ouen-en-Brie;6
77429;Saint-Ouen-sur-Morin;17
77430;Saint-Pathus;90
77431;Saint-Pierre-lès-Nemours;196
77432;Saint-Rémy-de-la-Vanne;29
77433;Beautheil-Saints;64
77434;Saint-Sauveur-lès-Bray;12
77435;Saint-Sauveur-sur-École;22
77436;Saint-Siméon;24
77437;Saint-Soupplets;88
77438;Saint-Thibault-des-Vignes;123
77439;Salins;22
77440;Sammeron;40
77441;Samois-sur-Seine;70
77442;Samoreau;46
77443;Sancy;1
77444;Sancy-lès-Provins;11
77445;Savigny-le-Temple;430
77446;Savins;30
