Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Siret Budget;Libellé Budget;Type de budget;Nomenclature;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;code_type_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;4;Oui;Non;Non;2;Non;01130;Bresse Vallons;Commune;200086965;01130;20008696500015;BRESSE VALLONS;Budget principal;M57;Epargne nette;778373.29;0.77837329;2418;321.90789495450787;1;1;;;;;;;;;2;;2024;2418
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;4;Non;Non;Non;1;Non;01138;Culoz-Béon;Commune;200099406;01138;20009940600015;CULOZ-BEON;Budget principal;M57;Epargne nette;876387.949999999;0.876387949999999;3495;250.7547782546492;1;1;;;;;;;;;2;;2024;3495
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200069193;Communauté de communes de la Dombes;3;Oui;Non;Non;2;Non;01001;L'Abergement-Clémenciat;Commune;210100012;01001;21010001200017;ABERGEMENT CLEMENCIAT;Budget principal;M57A;Epargne nette;18390.4299999999;0.0183904299999999;848;21.68682783018856;1;1;;;;;;;;;2;;2024;848
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100883;Communauté de communes de la Plaine de l'Ain;2;Oui;Oui;Non;2;Non;01002;L'Abergement-de-Varey;Commune;210100020;01002;21010002000010;ABERGEMENT-DE-VAREY;Budget principal;M57A;Epargne nette;-169908.08;-0.16990808;273;-622.3739194139193;1;1;;;;;;;;;2;;2024;273
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100883;Communauté de communes de la Plaine de l'Ain;7;Non;Non;Non;2;Oui;01004;Ambérieu-en-Bugey;Commune;210100046;01004;21010004600015;AMBERIEU-EN-BUGEY;Budget principal;M57;Epargne nette;2122271.33;2.1222713300000002;15240;139.25664895013125;1;1;;;;;;;;;2;;2024;15240
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042497;Communauté de communes Dombes Saône Vallée;3;Oui;Non;Non;2;Non;01005;Ambérieux-en-Dombes;Commune;210100053;01005;21010005300011;AMBERIEUX-EN-DOMBES;Budget principal;M57A;Epargne nette;366685.95;0.36668595000000004;1921;190.8828474752733;1;1;;;;;;;;;2;;2024;1921
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;1;Oui;Oui;Non;2;Non;01006;Ambléon;Commune;210100061;01006;21010006100014;AMBLEON;Budget principal;M57A;Epargne nette;64525.05;0.06452505;113;571.0181415929204;1;1;;;;;;;;;2;;2024;113
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100883;Communauté de communes de la Plaine de l'Ain;4;Oui;Non;Non;2;Non;01007;Ambronay;Commune;210100079;01007;21010007900016;AMBRONAY;Budget principal;M57;Epargne nette;529710.05;0.52971005;2951;179.50188071840057;1;1;;;;;;;;;2;;2024;2951
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100883;Communauté de communes de la Plaine de l'Ain;3;Non;Non;Non;2;Non;01008;Ambutrix;Commune;210100087;01008;21010008700019;AMBUTRIX;Budget principal;M57A;Epargne nette;76827.0499999999;0.0768270499999999;781;98.37010243277837;1;1;;;;;;;;;2;;2024;781
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;2;Oui;Non;Non;4;Non;01009;Andert-et-Condon;Commune;210100095;01009;21010009500012;ANDERT-ET-CONDON;Budget principal;M57A;Epargne nette;-120684.16;-0.12068416;330;-365.70957575757575;1;1;;;;;;;;;2;;2024;330
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200070852;Communauté de communes Usses et Rhône;3;Oui;Oui;Non;2;Non;01010;Anglefort;Commune;210100103;01010;21010010300014;ANGLEFORT;Budget principal;M57A;Epargne nette;509519.87;0.50951987;1149;443.44636205395994;1;1;;;;;;;;;2;;2024;1149
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042935;Communauté d'agglomération Haut - Bugey Agglomération;2;Oui;Oui;Non;2;Non;01011;Apremont;Commune;210100111;01011;21010011100017;APREMONT;Budget principal;M57A;Epargne nette;-122501.56;-0.12250156;393;-311.7088040712468;1;1;;;;;;;;;2;;2024;393
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042935;Communauté d'agglomération Haut - Bugey Agglomération;2;Oui;Oui;Non;1;Non;01012;Aranc;Commune;210100129;01012;21010012900019;ARANC;Budget principal;M57A;Epargne nette;6035.25999999995;0.00603525999999995;340;17.750764705882208;1;1;;;;;;;;;2;;2024;340
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100883;Communauté de communes de la Plaine de l'Ain;1;Oui;Oui;Non;1;Non;01013;Arandas;Commune;210100137;01013;21010013700012;ARANDAS;Budget principal;M57A;Epargne nette;108317.46;0.10831746;144;752.2045833333334;1;1;;;;;;;;;2;;2024;144
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042935;Communauté d'agglomération Haut - Bugey Agglomération;4;Non;Oui;Non;2;Non;01014;Arbent;Commune;210100145;01014;21010014500015;ARBENT;Budget principal;M57;Epargne nette;778480.85;0.77848085;3487;223.25232291367936;1;1;;;;;;;;;2;;2024;3487
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071371;Communauté de communes Bresse et Saône;2;Oui;Non;Non;2;Non;01016;Arbigny;Commune;210100160;01016;21010016000014;ARBIGNY;Budget principal;M57A;Epargne nette;55921.04;0.05592104;468;119.4894017094017;1;1;;;;;;;;;2;;2024;468
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100883;Communauté de communes de la Plaine de l'Ain;2;Oui;Oui;Non;1;Non;01017;Argis;Commune;210100178;01017;21010017800016;ARGIS;Budget principal;M57A;Epargne nette;67248.1;0.0672481;443;151.8015801354402;1;1;;;;;;;;;2;;2024;443
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;0;Oui;Oui;Non;0;Non;01019;Armix;Commune;210100194;01019;21010019400013;ARMIX;Budget principal;M57A;Epargne nette;5005.11;0.005005109999999999;30;166.837;1;1;;;;;;;;;2;;2024;30
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042497;Communauté de communes Dombes Saône Vallée;3;Oui;Non;Non;2;Non;01021;Ars-sur-Formans;Commune;210100210;01021;21010021000017;ARS-SUR-FORMANS;Budget principal;M57A;Epargne nette;164325.57;0.16432557;1526;107.68385976408912;1;1;;;;;;;;;2;;2024;1526
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;3;Oui;Non;Non;2;Non;01022;Artemare;Commune;210100228;01022;21010022800019;ARTEMARE;Budget principal;M57A;Epargne nette;54191.3599999999;0.0541913599999999;1193;45.42444258172665;1;1;;;;;;;;;2;;2024;1193
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071371;Communauté de communes Bresse et Saône;0;Oui;Non;Non;1;Non;01023;Asnières-sur-Saône;Commune;210100236;01023;21010023600012;ASNIERES-SUR-SAONE;Budget principal;M57A;Epargne nette;40272.4;0.0402724;77;523.0181818181818;1;1;;;;;;;;;2;;2024;77
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;4;Non;Non;Non;2;Non;01024;Attignat;Commune;210100244;01024;21010024400016;ATTIGNAT;Budget principal;M57;Epargne nette;710636.24;0.71063624;3403;208.82640023508668;1;1;;;;;;;;;2;;2024;3403
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071371;Communauté de communes Bresse et Saône;3;Non;Non;Non;1;Non;01026;Bâgé-le-Châtel;Commune;210100269;01026;21010026900013;BAGE-LE-CHATEL;Budget principal;M57A;Epargne nette;54246.46;0.054246459999999996;1046;51.86086042065009;1;1;;;;;;;;;2;;2024;1046
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100610;Communauté de communes de la Côtière à Montluel;4;Non;Non;Non;1;Non;01027;Balan;Commune;210100277;01027;21010027700016;BALAN;Budget principal;M57A;Epargne nette;269916.07;0.26991607;2744;98.36591472303208;1;1;;;;;;;;;2;;2024;2744
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200069193;Communauté de communes de la Dombes;3;Oui;Non;Non;2;Non;01028;Baneins;Commune;210100285;01028;21010028500019;BANEINS;Budget principal;M57A;Epargne nette;37576.27;0.037576269999999995;638;58.89697492163009;1;1;;;;;;;;;2;;2024;638
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;3;Oui;Non;Non;1;Non;01029;Beaupont;Commune;210100293;01029;21010029300013;BEAUPONT;Budget principal;M57A;Epargne nette;51455.99;0.05145599;712;72.26964887640449;1;1;;;;;;;;;2;;2024;712
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042497;Communauté de communes Dombes Saône Vallée;3;Non;Non;Non;4;Non;01030;Beauregard;Commune;210100301;01030;21010030100014;BEAUREGARD;Budget principal;M57A;Epargne nette;80110.27;0.08011027;845;94.80505325443788;1;1;;;;;;;;;2;;2024;845
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042935;Communauté d'agglomération Haut - Bugey Agglomération;5;Non;Oui;Non;1;Oui;01031;Bellignat;Commune;210100319;01031;21010031900016;BELLIGNAT;Budget principal;M57;Epargne nette;594259.11;0.59425911;3861;153.9132634032634;1;1;;;;;;;;;2;;2024;3861
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100610;Communauté de communes de la Côtière à Montluel;4;Non;Non;Non;2;Non;01032;Béligneux;Commune;210100327;01032;21010032700019;BELIGNEUX;Budget principal;M57;Epargne nette;138702.0;0.138702;3463;40.052555587640775;1;1;;;;;;;;;2;;2024;3463
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;6;Non;Non;Non;1;Oui;01034;Belley;Commune;210100343;01034;21010034300016;BELLEY;Budget principal;M57;Epargne nette;482991.4;0.4829914;9570;50.46932079414838;1;1;;;;;;;;;2;;2024;9570
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042935;Communauté d'agglomération Haut - Bugey Agglomération;2;Oui;Oui;Non;2;Non;01035;Belleydoux;Commune;210100350;01035;21010035000011;BELLEYDOUX;Budget principal;M57A;Epargne nette;206044.81;0.20604481;314;656.1936624203821;1;1;;;;;;;;;2;;2024;314
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100883;Communauté de communes de la Plaine de l'Ain;2;Oui;Oui;Non;1;Non;01037;Bénonces;Commune;210100376;01037;21010037600016;BENONCES;Budget principal;M57A;Epargne nette;155132.5;0.1551325;313;495.6309904153355;1;1;;;;;;;;;2;;2024;313
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;3;Oui;Non;Non;2;Non;01038;Bény;Commune;210100384;01038;21010038400010;BENY;Budget principal;M57A;Epargne nette;79779.3999999999;0.0797793999999999;782;102.01969309462903;1;1;;;;;;;;;2;;2024;782
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;2;Oui;Non;Non;1;Non;01040;Béréziat;Commune;210100400;01040;21010040000014;BEREZIAT;Budget principal;M57A;Epargne nette;52348.49;0.05234849;492;106.39936991869918;1;1;;;;;;;;;2;;2024;492
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100883;Communauté de communes de la Plaine de l'Ain;3;Oui;Non;Non;2;Non;01041;Bettant;Commune;210100418;01041;21010041800016;BETTANT;Budget principal;M57A;Epargne nette;-8987.82000000001;-0.008987820000000011;769;-11.68767230169052;1;1;;;;;;;;;2;;2024;769
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200070555;Communauté de communes de la Veyle;2;Oui;Non;Non;2;Non;01042;Bey;Commune;210100426;01042;21010042600019;BEY;Budget principal;M57A;Epargne nette;22267.76;0.022267759999999998;297;74.97562289562289;1;1;;;;;;;;;2;;2024;297
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100800;Communauté de communes de Miribel et du Plateau;5;Non;Non;Non;3;Non;01043;Beynost;Commune;210100434;01043;21010043400013;BEYNOST;Budget principal;M57;Epargne nette;870793.39;0.87079339;4991;174.47272891204167;1;1;;;;;;;;;2;;2024;4991
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100891;Communauté de communes du Pays Bellegardien (CCPB);3;Oui;Oui;Non;3;Non;01044;Billiat;Commune;210100442;01044;21010044200016;BILLIAT;Budget principal;M57A;Epargne nette;1064282.28;1.06428228;642;1657.7605607476637;1;1;;;;;;;;;2;;2024;642
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200069193;Communauté de communes de la Dombes;2;Oui;Non;Non;2;Non;01045;Birieux;Commune;210100459;01045;21010045900010;BIRIEUX;Budget principal;M57A;Epargne nette;74244.04;0.07424404;287;258.6900348432056;1;1;;;;;;;;;2;;2024;287
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200070555;Communauté de communes de la Veyle;3;Oui;Non;Non;2;Non;01046;Biziat;Commune;210100467;01046;21010046700013;BIZIAT;Budget principal;M57A;Epargne nette;35670.7300000001;0.035670730000000095;917;38.8993784078518;1;1;;;;;;;;;2;;2024;917
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100883;Communauté de communes de la Plaine de l'Ain;3;Oui;Non;Non;2;Non;01047;Blyes;Commune;210100475;01047;21010047500016;BLYES;Budget principal;M57A;Epargne nette;275891.03;0.27589103000000004;1327;207.9058251695554;1;1;;;;;;;;;2;;2024;1327
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100610;Communauté de communes de la Côtière à Montluel;4;Non;Non;Non;2;Non;01049;La Boisse;Commune;210100491;01049;21010049100013;LA BOISSE;Budget principal;M57;Epargne nette;421895.88;0.42189588;3438;122.71549738219895;1;1;;;;;;;;;2;;2024;3438
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071371;Communauté de communes Bresse et Saône;2;Oui;Non;Non;1;Non;01050;Boissey;Commune;210100509;01050;21010050900012;BOISSEY;Budget principal;M57A;Epargne nette;14089.08;0.01408908;390;36.125846153846155;1;1;;;;;;;;;2;;2024;390
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042935;Communauté d'agglomération Haut - Bugey Agglomération;0;Oui;Oui;Non;2;Non;01051;Bolozon;Commune;210100517;01051;21010051700015;BOLOZON;Budget principal;M57A;Epargne nette;96834.37;0.09683436999999999;95;1019.3091578947368;1;1;;;;;;;;;2;;2024;95
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200069193;Communauté de communes de la Dombes;2;Oui;Non;Non;4;Non;01052;Bouligneux;Commune;210100525;01052;21010052500018;BOULIGNEUX;Budget principal;M57A;Epargne nette;47410.19;0.047410190000000005;333;142.37294294294296;1;1;;;;;;;;;2;;2024;333
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;8;Non;Non;Non;1;Oui;01053;Bourg-en-Bresse;Commune;210100533;01053;21010053300012;BOURG EN BRESSE;Budget principal;M57;Epargne nette;5458880.36000001;5.45888036000001;43210;126.333727377922;1;1;;;;;;;;;2;;2024;43210
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100883;Communauté de communes de la Plaine de l'Ain;3;Non;Non;Non;2;Non;01054;Bourg-Saint-Christophe;Commune;210100541;01054;21010054100015;BOURG-SAINT-CHRISTOPHE;Budget principal;M57A;Epargne nette;214774.07;0.21477407;1553;138.29624597553124;1;1;;;;;;;;;2;;2024;1553
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200029999;Communauté de communes Rives de l'Ain - Pays du Cerdon;2;Oui;Oui;Non;1;Non;01056;Boyeux-Saint-Jérôme;Commune;210100566;01056;21010056600012;BOYEUX-SAINT-JEROME;Budget principal;M57A;Epargne nette;-13624.13;-0.01362413;364;-37.42892857142857;1;1;;;;;;;;;2;;2024;364
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071371;Communauté de communes Bresse et Saône;3;Oui;Non;Non;1;Non;01057;Boz;Commune;210100574;01057;21010057400016;BOZ;Budget principal;M57A;Epargne nette;85628.65;0.08562865;526;162.79211026615968;1;1;;;;;;;;;2;;2024;526
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;3;Oui;Non;Non;2;Non;01058;Brégnier-Cordon;Commune;210100582;01058;21010058200019;BREGNIER-CORDON;Budget principal;M57A;Epargne nette;-31681.8300000001;-0.0316818300000001;837;-37.85164874551983;1;1;;;;;;;;;2;;2024;837
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042935;Communauté d'agglomération Haut - Bugey Agglomération;3;Oui;Oui;Non;2;Non;01060;Brénod;Commune;210100608;01060;21010060800012;BRENOD;Budget principal;M57A;Epargne nette;26025.5100000001;0.0260255100000001;529;49.197561436673155;1;1;;;;;;;;;2;;2024;529
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;3;Non;Non;Non;2;Non;01061;Brens;Commune;210100616;01061;21010061600015;BRENS;Budget principal;M57A;Epargne nette;-8532.59999999998;-0.00853259999999998;1163;-7.3367153912295615;1;1;;;;;;;;;2;;2024;1163
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100610;Communauté de communes de la Côtière à Montluel;3;Oui;Non;Non;3;Non;01062;Bressolles;Commune;210100624;01062;21010062400019;BRESSOLLES;Budget principal;M57A;Epargne nette;162156.28;0.16215627999999999;1001;161.99428571428572;1;1;;;;;;;;;2;;2024;1001
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042935;Communauté d'agglomération Haut - Bugey Agglomération;3;Non;Oui;Non;3;Non;01063;Brion;Commune;210100632;01063;21010063200012;BRION;Budget principal;M57A;Epargne nette;245466.76;0.24546676;592;414.6397972972973;1;1;;;;;;;;;2;;2024;592
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100883;Communauté de communes de la Plaine de l'Ain;3;Oui;Non;Non;2;Non;01064;Briord;Commune;210100640;01064;21010064000015;BRIORD;Budget principal;M57A;Epargne nette;463144.26;0.46314426000000003;1118;414.2614132379249;1;1;;;;;;;;;2;;2024;1118
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;3;Non;Non;Non;2;Non;01065;Buellas;Commune;210100657;01065;21010065700019;BUELLAS;Budget principal;M57A;Epargne nette;301425.78;0.30142578000000003;1916;157.32034446764092;1;1;;;;;;;;;2;;2024;1916
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200040350;Communauté de communes Bugey Sud;0;Oui;Oui;Non;1;Non;01066;La Burbanche;Commune;210100665;01066;21010066500012;LA BURBANCHE;Budget principal;M57A;Epargne nette;25632.49;0.02563249;96;267.0051041666667;1;1;;;;;;;;;2;;2024;96
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200042935;Communauté d'agglomération Haut - Bugey Agglomération;2;Oui;Oui;Non;2;Non;01067;Ceignes;Commune;210100673;01067;21010067300016;CEIGNES;Budget principal;M57A;Epargne nette;8052.70000000001;0.00805270000000001;273;29.497069597069633;1;1;;;;;;;;;2;;2024;273
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200029999;Communauté de communes Rives de l'Ain - Pays du Cerdon;3;Oui;Oui;Non;1;Non;01068;Cerdon;Commune;210100681;01068;21010068100019;CERDON;Budget principal;M57A;Epargne nette;67924.08;0.06792408;777;87.41837837837838;1;1;;;;;;;;;2;;2024;777
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;3;Non;Non;Non;3;Non;01069;Certines;Commune;210100699;01069;21010069900011;CERTINES;Budget principal;M57A;Epargne nette;216545.3;0.2165453;1544;140.24954663212435;1;1;;;;;;;;;2;;2024;1544
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;240100750;Communauté d'agglomération du Pays de Gex;6;Non;Non;Non;4;Non;01071;Cessy;Commune;210100715;01071;21010071500015;CESSY;Budget principal;M57;Epargne nette;1132707.3;1.1327073;5413;209.25684463329023;1;1;;;;;;;;;2;;2024;5413
2024;Non;84;Auvergne-Rhône-Alpes;01;Ain;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;4;Non;Non;Non;2;Non;01072;Ceyzériat;Commune;210100723;01072;21010072300019;CEYZERIAT;Budget principal;M57;Epargne nette;678080.75;0.67808075;3349;202.4726037623171;1;1;;;;;;;;;2;;2024;3349
