"","Section","Valeur.fonciere"
"5042","M",2.25
"5043","B",2.635
"5044","B",2.635
"5059","J",1.79
"5060","J",1.79
"5061","J",1.79
"5245","M",1.97
"5246","M",1.97
"5247","M",1.97
"5259","G",2.63
"5260","G",2.63
"5278","B",1.9605
"5279","B",1.9605
"5286","G",3.2
"5287","G",3.2
"5292","AJ",1.775
"5302","B",4.176
"5303","B",4.176
"5319","AJ",0.13
"5320","AJ",0.13
"5321","AJ",0.13
"5325","A",1.45
"5326","A",1.45
"5327","A",1.45
"5352","B",1.53
"5353","B",1.53
"5354","B",1.53
"5469","G",2.1
"5470","G",2.1
"5471","G",2.1
"5477","G",3.0799
"5478","G",3.0799
"5479","G",3.0799
"5518","B",3.165
"5519","B",3.165
"5522","A",1.25
"5523","A",1.25
"5527","B",1.485
"5528","B",1.485
"5529","AT",10
"5530","AT",10
"5531","AT",10
"5532","AT",10
"5533","AT",10
"5534","AT",10
"5535","AT",10
"5536","AT",10
"5537","AT",10
"5538","AT",10
"5539","AT",10
"5540","AT",10
"5541","AT",10
"5542","AT",10
"5543","AT",10
"5544","AT",10
"5545","AT",10
"5546","AT",10
"5547","AT",10
"5548","AT",10
"5549","AT",10
"5550","AT",10
"5551","AT",10
"5552","AT",10
"5553","AT",10
"5554","AT",10
"5555","AT",10
"5556","AT",10
"5557","AT",10
"5558","AT",10
"5559","G",3.12
"5560","G",3.12
"5561","G",3.12
"5588","AJ",3.54
"5589","AJ",3.54
"5628","G",3.53
"5629","G",3.53
"5667","J",1.383
"5668","J",1.383
"5698","J",1.5
"5699","J",1.5
"5808","B",1.87
"5809","B",1.87
"5816","B",2.13
"5833","AJ",0.12
"5893","G",4.104
"5903","AT",1.902
"5904","AT",1.902
"5905","AT",1.902
"5970","J",1.5
"5971","J",1.5
"6019","B",1.94
"6020","B",1.94
"6026","AT",1.13
"6027","AT",1.13
"6042","AJ",1.2
"6043","AJ",1.2
"6058","B",2.23
"6059","B",2.23
"6060","AJ",0.58
"6179","AJ",1.65
"6180","AJ",1.65
"6181","AJ",1.65
"6250","AT",2.37
"6251","AT",2.37
"6252","AT",2.37
"6322","G",2.69
"6323","G",2.69
"6336","M",2.35
"6337","M",2.35
"6338","M",2.35
"6342","M",2.28
"6343","M",2.28
"6344","M",2.28
"6364","A",1.35
"6365","A",1.35
"6366","A",1.35
"6404","M",1.71
"6405","M",1.71
"6406","M",1.71
"6446","B",2.445
"6447","B",2.445
"6451","M",1.68
"6452","M",1.68
"6453","M",1.68
"6484","B",2.86
"6485","B",2.86
"6486","B",2.86
"6515","A",1.25
"6516","A",1.25
"6517","A",1.25
"6563","A",2.33
"6564","A",2.33
"6663","A",3.5
"6755","B",2.62
"6756","B",2.62
"6810","AJ",0.99
"6829","AJ",1.04
"6876","G",4.55
"6886","G",6.5
"6887","G",6.5
"6888","G",6.5
"6889","G",6.5
"6890","G",6.5
"6891","G",6.5
"6892","G",6.5
"6893","G",6.5
"6894","G",6.5
"6896","G",0.85
"6951","J",1.49
"6969","B",2.21
"6970","B",2.21
"7319","AJ",1.9
"7604","J",1.05
"7660","B",2.685
"7661","B",2.685
"7685","J",12.3
"7686","J",12.3
"7687","J",12.3
"7688","J",12.3
"7689","J",12.3
"7690","J",12.3
"7691","J",12.3
"7692","J",12.3
"7693","J",12.3
"7694","J",12.3
"7695","J",12.3
"7696","J",12.3
"7697","J",12.3
"7698","J",12.3
"7699","J",12.3
"7700","J",12.3
"7701","J",12.3
"7702","J",12.3
"7703","J",12.3
"7704","J",12.3
"7705","J",12.3
"7706","J",12.3
"7707","J",12.3
"7708","J",12.3
