"","NUMAPPT","NBPIECE"
"3002","6356",3
"3003","6357",2
"3004","6358",3
"3005","6359",2
"3006","6360",3
"3007","6361",2
"3008","6362",3
"3009","6363",2
"3010","6364",4
"3011","6365",4
"3012","6366",4
"3013","6367",4
"3014","6368",4
"3015","6369",4
"3016","6370",4
"3017","6371",4
"3018","6372",4
"3019","6373",4
"3020","6374",3
"3021","6375",2
"3022","6376",3
"3023","6377",2
"3024","6378",3
"3025","6379",2
"3026","6380",3
"3027","6381",2
"3028","6382",3
"3029","6383",2
"3030","6384",3
"3031","6385",1
"3032","6386",3
"3033","6387",2
"3034","6388",3
"3035","6389",2
"3036","6390",3
"3037","6391",2
"3038","6392",3
"3039","6393",2
"3040","6394",2
"3041","6395",3
"3042","6396",2
"3043","6397",3
"3044","6398",2
"3045","6399",3
"3046","6400",2
"3047","6401",2
"3048","6402",2
"3049","6403",3
"3050","6404",3
"3051","6405",3
"3052","6406",3
"3053","6407",4
"3054","6408",2
"3055","6409",4
"3056","6410",3
"3057","6411",4
"3058","6412",3
"3059","6413",4
"3060","6414",4
"3061","6415",5
"3062","6416",4
"3063","6417",5
"3064","6418",4
"3065","6419",5
"3066","6420",4
"3067","6421",5
"3068","6422",4
"3069","6423",5
"3070","6424",3
"3071","6425",4
"3072","6426",3
"3073","6427",4
"3074","6428",3
"3075","6429",4
"3076","6430",3
"3077","6431",4
"3078","6432",3
"3079","6433",4
"3080","6434",4
"3081","6435",3
"3082","6436",4
"3083","6437",3
"3084","6438",4
"3085","6439",3
"3086","6440",4
"3087","6441",3
"3088","6442",4
"3089","6443",3
"3090","6444",3
"3091","6445",2
"3092","6446",3
"3093","6447",2
"3094","6448",3
"3095","6449",2
"3096","6450",3
"3097","6451",2
"3098","6452",3
"3099","6453",2
"3100","6454",3
"3101","6455",2
"3102","6456",3
"3103","6457",2
"3104","6458",3
"3105","6459",2
"3106","6460",3
"3107","6461",2
"3108","6462",3
"3109","6463",2
"3110","6464",3
"3111","6465",2
"3112","6466",3
"3113","6467",2
"3114","6468",3
"3115","6469",2
"3116","6470",2
"3117","6471",2
"3118","6472",3
"3119","6473",2
"3120","6474",4
"3121","6475",3
"3122","6476",2
"3123","6477",4
"3124","6478",3
"3125","6479",4
"3126","6480",3
"3127","6481",4
"3128","6482",3
"3129","6483",4
"3130","6484",3
"3131","6485",4
"3132","6486",3
"3133","6487",3
"3134","6488",4
"3135","6489",3
"3136","6490",3
"3137","6491",4
"3138","6492",3
"3139","6493",3
"3140","6494",4
"3141","6495",3
"3142","6496",4
"3143","6497",3
"3144","6498",4
"3145","6499",4
"3146","6500",3
"3147","6501",4
"3148","6502",3
"3149","6503",4
"3150","6504",3
"3151","6505",3
"3152","6506",2
"3153","6507",3
"3154","6508",2
"3155","6509",3
"3156","6510",2
"3157","6511",4
"3158","6513",4
"3159","6514",3
"3160","6515",4
"3161","6516",3
"3162","6517",2
"3163","6518",3
"3164","6519",2
"3165","6520",3
"3166","6521",2
"3167","6522",3
"3168","6523",3
"3169","6524",2
"3170","6525",3
"3171","6526",2
"3172","6527",3
"3173","6528",2
"3174","6529",3
"3175","6530",2
"3176","6531",2
"3177","6532",2
"3178","6533",3
"3179","6534",3
"3180","6535",3
"3181","6536",3
"3182","6537",3
"3183","6538",3
"3184","6539",3
"3185","6540",3
"3186","6541",3
"3187","6542",3
"3188","6543",2
"3189","6544",3
"3190","6545",2
"3191","6546",3
"3192","6547",2
"3193","6548",2
"3194","6549",2
"3195","6550",3
"3196","6551",2
"3197","6552",3
"3198","6553",2
"3199","6554",3
"3200","6555",2
"3201","6556",3
"3202","6557",2
"3203","6558",3
"3204","6559",2
