donnée,origine,taille
logement vacant,"Observatoire des territoires (ANCT, Etablissement Public)",39 communes du 93
Inflation 2024,Eurostat (site officiel des stats pour l’Europe),40 pays européens + totaux divers
demandes de valeurs foncières (dvf),"Ministère de l'Économie, des Finances et de l'Industrie  (disponible sur data.gouv)",268 556 transactions immobilières sur le 93
