"","equiv","NOM_IRIS"
"636","très pauvres","Merisiers /14 juillet"
"652","très pauvres","Merisiers /14 juillet"
"653","très pauvres","Merisiers /14 juillet"
"657","très pauvres","Merisiers /14 juillet"
"664","très pauvres","Merisiers /14 juillet"
"665","très pauvres","Merisiers /14 juillet"
"669","très pauvres","Merisiers /14 juillet"
"679","très pauvres","Merisiers /14 juillet"
"681","très pauvres","Merisiers /14 juillet"
"723","très pauvres","Merisiers /14 juillet"
"725","très pauvres","Merisiers /14 juillet"
"727","très pauvres","Merisiers /14 juillet"
"728","très pauvres","Merisiers /14 juillet"
"741","très pauvres","Merisiers /14 juillet"
"751","très pauvres","Merisiers /14 juillet"
"755","très pauvres","Merisiers /14 juillet"
"756","très pauvres","Merisiers /14 juillet"
"760","très pauvres","Merisiers /14 juillet"
"775","très pauvres","Merisiers /14 juillet"
"776","très pauvres","Merisiers /14 juillet"
"777","très pauvres","Merisiers /14 juillet"
"778","très pauvres","Merisiers /14 juillet"
"779","très pauvres","Merisiers /14 juillet"
"789","très pauvres","Merisiers /14 juillet"
"793","très pauvres","Merisiers /14 juillet"
"794","très pauvres","Merisiers /14 juillet"
"800","très pauvres","Merisiers /14 juillet"
"808","très pauvres","Merisiers /14 juillet"
"822","très pauvres","Merisiers /14 juillet"
"840","très pauvres","Merisiers /14 juillet"
"842","très pauvres","Merisiers /14 juillet"
"844","très pauvres","Merisiers /14 juillet"
"845","très pauvres","Merisiers /14 juillet"
"850","très pauvres","Merisiers /14 juillet"
"852","très pauvres","Merisiers /14 juillet"
"855","très pauvres","Merisiers /14 juillet"
"869","très pauvres","Merisiers /14 juillet"
"871","très pauvres","Merisiers /14 juillet"
"873","très pauvres","Merisiers /14 juillet"
"878","très pauvres","Merisiers /14 juillet"
"899","très pauvres","Merisiers /14 juillet"
"919","très pauvres","Merisiers /14 juillet"
"978","très pauvres","Merisiers /14 juillet"
"980","très pauvres","Merisiers /14 juillet"
"981","très pauvres","Merisiers /14 juillet"
"982","très pauvres","Merisiers /14 juillet"
"985","très pauvres","Merisiers /14 juillet"
"987","très pauvres","Merisiers /14 juillet"
"988","très pauvres","Merisiers /14 juillet"
"995","très pauvres","Merisiers /14 juillet"
