"","Code.du.b.vote","Abstentions"
"1",1,190
"2",2,198
"3",3,285
"4",4,291
"5",5,285
"6",6,262
"7",7,295
"8",12,178
"9",18,200
"10",19,161
"11",20,257
"12",21,306
"13",22,196
"14",24,267
"15",25,277
"16",29,160
"17",8,322
"18",9,273
"19",10,263
"20",11,219
"21",13,153
"22",14,267
"23",15,247
"24",16,181
"25",17,254
"26",23,208
"27",26,299
"28",27,264
"29",28,231
"30",30,104
"31",31,243
"32",32,213
