"","Code","LIBCOM","nb","zone","Libellé","Unités.légales..en.nombre..2021","Résidences.principales.2019","Part.des.non.diplômés.chez.les.20.24.ans.sortis.des.études..2018","Implantations.France.Services..IFS...en.nombre..2021"
"152","76157","Canteleu",4027,"reg28","Canteleu",593,6398,29.7,0
"153","76217","Dieppe",5674,"reg28","Dieppe",1932,14848,22.8,0
"154","76231","Elbeuf",3500,"reg28","Elbeuf",1066,7818,24,0
"155","76259","Fécamp",2700,"reg28","Fécamp",940,9145,18.7,0
"156","76305","Gonfreville-l'Orcher",2119,"reg28","Gonfreville-l'Orcher",370,3826,25.5,1
"157","76322","Le Grand-Quevilly",8833,"reg28","Le Grand-Quevilly",935,12917,16,0
"158","76351","Le Havre",30303,"reg28","Le Havre",9063,81162,21.9,3
"159","76410","Maromme",2942,"reg28","Maromme",514,5317,22.5,0
"160","76451","Mont-Saint-Aignan",4021,"reg28","Mont-Saint-Aignan",1509,9720,12.4,0
"161","76484","Oissel",2017,"reg28","Oissel",466,4854,15.4,1
"162","76498","Le Petit-Quevilly",4268,"reg28","Le Petit-Quevilly",1335,10030,20.3,0
"163","76540","Rouen",15660,"reg28","Rouen",11856,64092,15.3,2
"164","76575","Saint-Étienne-du-Rouvray",5603,"reg28","Saint-Étienne-du-Rouvray",1339,11908,22.9,0
"165","76681","Sotteville-lès-Rouen",4514,"reg28","Sotteville-lès-Rouen",1628,13582,20.3,1
"166","77083","Champs-sur-Marne",3815,"IDF_DEP_77","Champs-sur-Marne",1914,10499,16.5,0
"167","77108","Chelles",4888,"IDF_DEP_77","Chelles",4150,22316,14.3,1
"168","77131","Coulommiers",2273,"IDF_DEP_77","Coulommiers",1183,6851,16.2,1
"169","77152","Dammarie-les-Lys",3403,"IDF_DEP_77","Dammarie-les-Lys",1291,9078,19.7,0
"170","77284","Meaux",9213,"IDF_DEP_77","Meaux",4346,22980,20.7,2
"171","77285","Le Mée-sur-Seine",3654,"IDF_DEP_77","Le Mée-sur-Seine",1031,7812,24.7,0
"172","77288","Melun",6869,"IDF_DEP_77","Melun",3546,17461,22.7,1
"173","77305","Montereau-Fault-Yonne",3693,"IDF_DEP_77","Montereau-Fault-Yonne",1370,7893,25,0
"174","77333","Nemours",2095,"IDF_DEP_77","Nemours",974,5664,20.2,1
"175","77337","Noisiel",2811,"IDF_DEP_77","Noisiel",1090,6165,18.7,0
