Code,Libcom,fammilles monoparentales,residences principales surroccupées,IFS,taille menages
1281,Ornex,147,4.6,0,2.37
1282,Outriaz,10,0,0,2.35
1283,Oyonnax,1009,6.5,0,2.31
1284,Ozan,25,3.6,0,2.47
1285,Parcieux,51,0,0,2.65
1286,Parves et Nattages,15,1.2,0,2.33
1288,Péron,96,1.9,0,2.36
1289,Péronnas,243,2.2,0,2.14
1290,Pérouges,32,0.9,0,2.26
1291,Perrex,25,0,0,2.41
1293,Peyriat,0,0,0,2.42
1294,Peyrieu,41,0,0,2.32
1295,Peyzieux-sur-Saône,26,2.2,0,2.98
1296,Pirajoux,11,3.2,0,2.46
1297,Pizay,50,0,0,2.7
1298,Plagne,0,0,0,2.59
1299,Le Plantay,10,0,0,2.6
1301,Polliat,77,0.9,0,2.32
1302,Pollieu,5,0,0,2.17
1303,Poncin,76,1.3,0,2.19
1304,Pont-d'Ain,136,2.9,1,2.31
1305,Pont-de-Vaux,90,1.9,0,1.82
1306,Pont-de-Veyle,126,3.4,1,1.96
1307,Port,30,1.4,0,2.25
1308,Pougny,30,0,0,2.38
1309,Pouillat,10,0,0,2.2
1310,Prémeyzel,0,0,0,2.55
1311,Prémillieu,0,0,0,2.1
1313,Prévessin-Moëns,394,3.4,0,2.38
1314,Priay,20,0.6,0,2.38
1317,Ramasse,10,3.7,0,2.43
1318,Rancé,20,0,0,2.88
1319,Relevant,10,0,0,2.5
1320,Replonges,109,0.9,0,2.39
1321,Revonnas,10,1.4,0,2.57
1322,Reyrieux,172,1.9,0,2.59
1323,Reyssouze,26,1.2,0,2.35
1325,Rignieux-le-Franc,17,1.4,0,2.53
1328,Romans,16,0,0,2.5
1329,Rossillon,0,0,0,1.87
1330,Ruffieu,0,0,0,2.17
1331,Saint-Alban,10,0,0,2.31
1332,Saint-André-de-Bâgé,21,0,0,2.53
1333,Saint-André-de-Corcy,112,2.5,0,2.34
1334,Saint-André-d'Huiriat,5,0,0,2.74
1335,Saint-André-le-Bouchoux,15,0,0,2.93
1336,Saint-André-sur-Vieux-Jonc,45,1,0,2.39
1337,Saint-Bénigne,57,2,0,2.47
1338,Groslée-Saint-Benoit,46,3.1,0,2.41
1339,Saint-Bernard,41,1.8,0,2.48
1342,Sainte-Croix,10,4.9,0,2.73
1343,Saint-Cyr-sur-Menthon,61,0.7,0,2.51
1344,Saint-Denis-lès-Bourg,220,1,0,2.23
1345,Saint-Denis-en-Bugey,111,3.1,0,2.27
1346,Saint-Didier-d'Aussiat,15,0,0,2.41
1347,Saint-Didier-de-Formans,69,0.6,0,2.55
1348,Saint-Didier-sur-Chalaronne,91,0.8,0,2.36
1349,Saint-Éloi,16,0,0,2.5
1350,Saint-Étienne-du-Bois,84,1.8,0,2.27
1351,Saint-Étienne-sur-Chalaronne,56,2.5,0,2.65
1352,Saint-Étienne-sur-Reyssouze,0,0,0,2.51
1353,Sainte-Euphémie,51,0.8,0,2.68
1354,Saint-Genis-Pouilly,505,6,0,2.42
1355,Saint-Genis-sur-Menthon,10,0,0,2.34
1356,Saint-Georges-sur-Renon,0,0,0,2.58
1357,Saint-Germain-de-Joux,30,6.8,0,2.32
1358,Saint-Germain-les-Paroisses,15,0,0,2.26
1359,Saint-Germain-sur-Renon,5,0,0,2.55
1360,Saint-Jean-de-Gonville,58,0.7,0,2.43
1361,Saint-Jean-de-Niost,45,0,0,2.56
1362,Saint-Jean-de-Thurigneux,26,0,0,2.7
1363,Saint-Jean-le-Vieux,55,0.7,0,2.23
1364,Saint-Jean-sur-Reyssouze,15,0,0,2.26
1365,Saint-Jean-sur-Veyle,31,4.5,0,2.53
1366,Sainte-Julie,16,0,0,2.73
1367,Saint-Julien-sur-Reyssouze,16,0,0,2.32
1368,Saint-Julien-sur-Veyle,36,3.2,0,2.6
1369,Saint-Just,10,0,0,2.39
1370,Saint-Laurent-sur-Saône,149,1.7,0,1.66
1371,Saint-Marcel,40,0.9,0,2.52
1372,Saint-Martin-de-Bavel,10,0,0,2.46
1373,Saint-Martin-du-Frêne,41,0,0,2.27
1374,Saint-Martin-du-Mont,71,0,0,2.32
1375,Saint-Martin-le-Châtel,25,0,0,2.46
1376,Saint-Maurice-de-Beynost,161,3.5,0,2.44
1378,Saint-Maurice-de-Gourdans,61,1.5,0,2.55
1379,Saint-Maurice-de-Rémens,40,1.6,0,2.49
1380,Saint-Nizier-le-Bouchoux,21,3.6,0,2.02
1381,Saint-Nizier-le-Désert,31,0,0,2.69
1382,Sainte-Olive,10,4.5,0,2.54
1383,Saint-Paul-de-Varax,70,0.8,0,2.51
1384,Saint-Rambert-en-Bugey,100,2.1,1,2.13
1385,Saint-Rémy,25,0,0,2.42
1386,Saint-Sorlin-en-Bugey,70,0,0,2.28
1387,Saint-Sulpice,5,0,0,2.64
1388,Saint-Trivier-de-Courtes,50,2.1,1,2.02
1389,Saint-Trivier-sur-Moignans,78,2.2,0,2.38
1390,Saint-Vulbas,30,0,0,2.38
1391,Salavre,5,0,0,1.99
1392,Samognat,20,2,0,2.55
1393,Sandrans,5,0,0,2.68
1396,Sault-Brénaz,31,3.5,0,2.14
1397,Sauverny,40,2.5,0,2.38
1398,Savigneux,48,3,0,2.65
1399,Ségny,31,1.2,0,2.41
1400,Seillonnaz,0,0,0,2.08
1401,Sergy,64,0.6,0,2.51
1402,Sermoyer,15,1.6,0,2.18
1403,Serrières-de-Briord,59,0.9,0,2.19
1404,Serrières-sur-Ain,5,0,0,1.89
1405,Servas,40,1,0,2.46
1406,Servignat,5,0,0,2.17
1407,Seyssel,60,2.2,0,2.1
1408,Simandre-sur-Suran,50,5.1,0,2.34
1410,Sonthonnax-la-Montagne,5,0,0,2.34
1411,Souclin,10,0,0,2.23
1412,Sulignat,15,2.2,0,2.61
1415,Talissieu,5,0,0,2.05
1416,Tenay,44,3.4,0,2.11
1418,Thil,25,0,0,2.77
1419,Thoiry,243,1.6,0,2.36
1420,Thoissey,158,3.2,0,1.84
1421,Torcieu,20,0,0,2.27
1422,Tossiat,15,0.9,0,2.34
1423,Toussieux,36,1.2,0,2.76
1424,Tramoyes,78,2.2,0,2.6
1425,La Tranclière,15,3.9,0,2.31
1426,Val-Revermont,111,1.9,0,2.3
1427,Trévoux,375,4.3,0,2.29
1428,Valeins,0,0,0,2.74
1429,Vandeins,31,0,0,2.51
1430,Varambon,29,1.8,0,2.32
1431,Vaux-en-Bugey,40,0.9,0,2.25
1432,Verjon,10,0,0,2.21
1433,Vernoux,5,0,0,2.6
1434,Versailleux,15,2.9,0,2.71
1435,Versonnex,75,1.2,0,2.55
1436,Vesancy,5,0,0,2.12
1437,Vescours,0,0,0,2.48
1439,Vésines,5,0,0,2.36
1441,Vieu-d'Izenave,15,0,0,2.6
1443,Villars-les-Dombes,217,1.4,0,2.18
1444,Villebois,60,0,0,2.31
1445,Villemotier,10,0,0,2.5
1446,Villeneuve,46,0,0,2.64
1447,Villereversure,31,1,0,2.4
1448,Villes,0,0,0,2.41
1449,Villette-sur-Ain,5,0,0,2.61
1450,Villieu-Loyes-Mollon,115,0.7,0,2.56
1451,Viriat,196,0.6,0,2.37
1452,Virieu-le-Grand,65,5.9,0,2.17
1453,Arvière-en-Valromey,25,1.6,0,2.07
1454,Virignin,55,1.2,0,2.47
1456,Vongnes,0,0,0,1.97
1457,Vonnas,141,1.3,0,2.34
2001,Abbécourt,5,2.5,0,2.6
2002,Achery,15,0,0,2.51
2003,Acy,57,0,0,2.45
2004,Agnicourt-et-Séchelles,10,0,0,2.31
2005,Aguilcourt,5,0,0,2.5
2006,Aisonville-et-Bernoville,5,0,0,2.22
2007,Aizelles,0,0,0,2.36
2008,Aizy-Jouy,5,0,0,2.69
2009,Alaincourt,15,4.7,0,2.6
2010,Allemant,20,0,0,2.6
2011,Ambleny,25,0,0,2.36
2012,Ambrief,0,0,0,2.54
2013,Amifontaine,5,0,0,2.56
2014,Amigny-Rouy,25,0,0,2.4
2015,Ancienville,0,0,0,2.62
2016,Andelain,10,0,0,2.54
2017,Anguilcourt-le-Sart,0,4.4,0,2.73
2018,Anizy-le-Grand,146,4.2,0,2.34
2019,Annois,0,0,0,2.35
2020,Any-Martin-Rieux,5,0,0,2.37
2021,Archon,0,12.5,0,2.22
2022,Arcy-Sainte-Restitue,15,3,0,2.42
2023,Armentières-sur-Ourcq,0,0,0,2.27
2024,Arrancy,5,0,0,2.3
2025,Artemps,5,0,0,2.68
2027,Assis-sur-Serre,10,0,0,2.16
2028,Athies-sous-Laon,100,1.4,0,2.37
2029,Attilly,5,3.4,0,2.49
2030,Aubencheul-aux-Bois,5,0,0,2.26
2031,Aubenton,25,1.8,0,2.27
2032,Aubigny-aux-Kaisnes,5,0,0,2.64
2033,Aubigny-en-Laonnois,0,0,0,2.14
2034,Audignicourt,5,0,0,2.62
2035,Audigny,10,4.8,0,2.69
2036,Augy,5,16.7,0,2.18
2037,Aulnois-sous-Laon,85,0.9,0,2.51
2038,Les Autels,5,0,0,2.15
2039,Autremencourt,5,0,0,2.65
2040,Autreppes,0,0,0,2.54
2041,Autreville,15,2.9,0,2.36
2042,Azy-sur-Marne,5,3,0,2.32
2043,Bagneux,15,0,0,2.5
2044,Bancigny,0,0,0,2.4
2046,Barenton-Bugny,25,0,0,2.32
2047,Barenton-Cel,0,0,0,2.34
2048,Barenton-sur-Serre,0,0,0,2.32
2049,Barisis-aux-Bois,45,3.3,0,2.39
2050,Barzy-en-Thiérache,10,3.8,0,2.46
2051,Barzy-sur-Marne,5,3,0,2.29
2052,Bassoles-Aulers,10,0,0,2.23
2053,Vallées en Champagne,25,0,0,2.34
2054,Bazoches-et-Saint-Thibaut,5,2.3,0,2.57
2055,Beaumé,0,0,0,2.22
2056,Beaumont-en-Beine,5,6.7,0,2.53
2057,Beaurevoir,70,2.6,0,2.43
2058,Beaurieux,41,3.2,0,2.62
2059,Beautor,131,2.1,0,2.26
2060,Beauvois-en-Vermandois,15,0,0,2.38
2061,Becquigny,5,0,0,2.84
2062,Belleau,10,0,0,2.67
2063,Bellenglise,5,3.3,0,2.52
2064,Belleu,161,1.5,0,2.14
2065,Bellicourt,35,0,1,2.46
2066,Benay,0,0,0,2.28
2067,Bergues-sur-Sambre,10,0,0,2.35
2068,Berlancourt,10,0,0,2.38
2069,Berlise,0,0,0,2.38
2070,Bernot,10,2.8,0,2.37
2071,Berny-Rivière,20,1.9,0,2.54
2072,Berrieux,0,0,0,2.32
2073,Berry-au-Bac,11,0,0,2.43
2074,Bertaucourt-Epourdon,15,2.2,0,2.55
2075,Berthenicourt,0,0,0,2.51
2076,Bertricourt,5,0,0,2.74
2077,Berzy-le-Sec,5,2.9,0,2.34
2078,Besmé,0,0,0,2.69
2079,Besmont,0,0,0,2.27
2080,Besny-et-Loizy,20,3.6,0,2.33
2081,Béthancourt-en-Vaux,15,0,0,2.57
2082,Beugneux,0,0,0,2.41
2083,Beuvardes,25,0,0,2.43
2084,Bézu-le-Guéry,10,4.8,0,2.44
2085,Bézu-Saint-Germain,30,2.8,0,2.9
2086,Bichancourt,50,1.2,0,2.41
2087,Bieuxy,0,0,0,2.27
2088,Bièvres,0,0,0,2.63
2089,Billy-sur-Aisne,60,0,0,2.3
2090,Billy-sur-Ourcq,5,0,0,2.63
2091,Blanzy-lès-Fismes,5,0,0,2.38
2093,Blérancourt,40,4.7,0,2.4
2094,Blesmes,5,2.9,0,2.54
2095,Bohain-en-Vermandois,350,2.6,0,2.31
2096,Bois-lès-Pargny,10,0,0,2.45
2097,Boncourt,5,0,0,2.45
2098,Bonneil,5,0,0,2.55
2099,Bonnesvalyn,0,0,0,2.46
2100,Bony,5,0,0,2.65
2101,Bosmont-sur-Serre,15,0,0,2.48
2102,Bouconville-Vauclair,10,0,0,2.61
2103,Boué,61,2.7,0,2.28
2104,Bouffignereux,5,0,0,2.36
2105,Bouresches,5,0,0,2.44
2106,Bourg-et-Comin,5,1.7,0,2.5
2107,Bourguignon-sous-Coucy,20,0,0,2.5
2108,Bourguignon-sous-Montbavin,0,0,0,2.47
2109,La Bouteille,5,0,0,2.35
2110,Braine,101,0.5,0,2.21
2111,Brancourt-en-Laonnois,25,1.9,0,2.54
2112,Brancourt-le-Grand,19,0,0,2.33
2114,Brasles,57,2.4,0,2.21
2115,Braye-en-Laonnois,5,0,0,2.24
2116,Braye-en-Thiérache,5,0,0,2.46
2117,Bray-Saint-Christophe,0,0,0,2.54
2118,Braye,0,10,0,2.55
2119,Brécy,25,3.7,0,2.4
2120,Brenelle,10,0,0,2.55
2121,Breny,5,0,0,2.57
2122,Brie,15,0,0,2.04
2123,Brissay-Choigny,15,0,0,2.3
2124,Brissy-Hamégicourt,20,1.8,0,2.29
2125,Brumetz,11,0,0,2.51
2126,Brunehamel,5,0,0,2.18
2127,Bruyères-sur-Fère,5,0,0,2.31
2128,Bruyères-et-Montbérault,87,3,0,2.13
2129,Bruys,0,0,0,1.9
2130,Bucilly,0,6.3,0,2.38
2131,Bucy-le-Long,40,0,0,2.42
2132,Bucy-lès-Cerny,20,0,0,2.49
2133,Bucy-lès-Pierrepont,5,2.8,0,2.26
2134,Buire,10,0,0,2.36
2135,Buironfosse,26,1.1,0,2.31
2136,Burelles,0,0,0,2.42
2137,Bussiares,5,9.1,0,2.87
2138,Buzancy,5,0,0,2.57
2139,Caillouël-Crépigny,5,0,0,2.47
2140,Camelin,10,2.9,0,2.67
2141,La Capelle,94,1.2,0,2.06
2142,Castres,0,0,0,2.77
2143,Le Catelet,10,0,0,2.29
2144,Caulaincourt,5,9.1,0,2.67
2145,Caumont,25,2.2,0,2.5
2146,Celles-lès-Condé,5,0,0,2.41
2148,Celles-sur-Aisne,0,0,0,2.48
2149,Cerizy,0,0,0,2.73
2150,Cerny-en-Laonnois,0,0,0,2.38
2151,Cerny-lès-Bucy,5,0,0,2.13
2152,Cerseuil,10,14.3,0,2.28
2153,Cessières-Suzy,10,0,0,2.39
2154,Chacrise,5,0,0,2.55
2155,Chaillevois,5,0,0,2.12
2156,Chalandry,10,5.3,0,2.58
2157,Chambry,50,1.4,0,2.27
2158,Chamouille,5,0,0,2.48
2159,Champs,0,0,0,2.48
2160,Chaourse,15,0,0,2.42
2162,La Chapelle-sur-Chézy,20,4.5,0,2.81
2163,Charly-sur-Marne,154,3.2,0,2.29
2164,Le Charmel,20,0,0,2.46
2165,Charmes,70,2.1,0,2.28
2166,Chartèves,10,6.5,0,2.3
2167,Chassemy,60,1.4,0,2.58
2168,Château-Thierry,950,4.9,0,2.11
2169,Châtillon-lès-Sons,0,0,0,2.52
2170,Châtillon-sur-Oise,5,0,0,2.18
2171,Chaudardes,5,0,0,2.59
2172,Chaudun,0,0,0,2.78
2173,Chauny,705,2.6,0,2.08
2174,Chavignon,50,3.1,0,2.63
2175,Chavigny,15,0,0,2.47
2176,Chavonne,5,6.2,0,2.71
2177,Chérêt,0,0,0,2.48
2178,Chermizy-Ailles,0,0,0,2.47
2179,Chéry-Chartreuve,15,6.3,0,2.35
2180,Chéry-lès-Pouilly,45,0,0,2.53
2181,Chéry-lès-Rozoy,0,0,0,2.13
2182,Chevennes,0,0,0,2.27
2183,Chevregny,5,12.5,0,2.4
2184,Chevresis-Monceau,10,0,0,2.24
2185,Chézy-en-Orxois,15,0,0,2.53
2186,Chézy-sur-Marne,25,3.5,0,2.2
2187,Chierry,31,2.1,0,2.27
2188,Chigny,10,0,0,2.24
2189,Chivres-en-Laonnois,10,3.1,0,2.36
2190,Chivres-Val,20,0,0,2.36
2191,Chivy-lès-Étouvelles,21,2.3,0,2.42
2192,Chouy,10,0,0,2.63
2193,Cierges,0,0,0,2.29
2194,Cilly,10,0,0,2.24
2195,Ciry-Salsogne,30,1.4,0,2.57
2196,Clacy-et-Thierret,15,0,0,2.32
2197,Clairfontaine,20,0,0,2.49
2198,Clamecy,0,5.6,0,2.51
2199,Clastres,25,0,0,2.53
2200,Clermont-les-Fermes,0,0,0,2.59
2201,Cœuvres-et-Valsery,10,0,0,2.53
2203,Coincy,50,3.8,0,2.44
2204,Coingt,0,0,0,1.78
2205,Colligis-Crandelain,10,0,0,2.61
2206,Colonfay,0,0,0,2.69
2207,Commenchon,10,0,0,2.55
2208,Concevreux,0,0,0,2.4
2209,Condé-en-Brie,10,3.8,0,2.45
2210,Condé-sur-Aisne,15,0,0,2.49
2211,Condé-sur-Suippe,10,0,0,2.35
2212,Condren,10,1.7,0,2.38
2213,Connigis,0,0,0,2.59
2214,Contescourt,5,0,0,2.9
2215,Corbeny,25,0,0,2.43
2216,Corcy,5,0,0,2.35
2217,Coucy-le-Château-Auffrique,50,1.2,0,2.26
2218,Coucy-lès-Eppes,10,0,0,2.48
2219,Coucy-la-Ville,5,0,0,2.51
2220,Coulonges-Cohan,15,2.6,0,2.37
2221,Coupru,5,0,0,2.61
2222,Courbes,0,0,0,2.5
2223,Courboin,5,0,0,2.37
2224,Courcelles-sur-Vesle,20,3.6,0,2.56
2225,Courchamps,9,0,0,2.43
2226,Courmelles,41,1.3,0,2.41
2227,Courmont,5,0,0,2.4
2228,Courtemont-Varennes,5,0,0,2.55
2229,Courtrizy-et-Fussigny,10,0,0,2.47
2230,Couvrelles,15,13.3,0,2.24
2231,Couvron-et-Aumencourt,45,0,0,2.55
2232,Coyolles,5,0,0,2.28
2233,Cramaille,5,0,0,2.47
2234,Craonne,0,0,0,2.4
2235,Craonnelle,5,0,0,2.37
2236,Crécy-au-Mont,15,0,0,2.62
2237,Crécy-sur-Serre,70,3.3,1,2.34
2238,Crépy,95,1.9,0,2.43
2239,Crézancy,55,4.3,0,2.51
2240,Croix-Fonsomme,6,0,0,2.3
