"","abst","ARTHAUD","ROUSSEL","MACRON","LASSALLE","LE PEN","ZEMMOUR","MÉLENCHON","HIDALGO","JADOT","PÉCRESSE","POUTOU","DUPONT-AIGNAN"
"1",26.03,0.5,2.25,13.89,0.63,10.89,3.75,33.17,0.63,3,2.13,0.38,1.38
"2",33.12,0.39,0.64,11.34,0.39,4.51,1.68,43.17,0.77,0.9,1.16,0.26,0.13
"3",33.58,0.13,0.5,7.92,0.88,4.78,1.26,46.79,0.75,0.13,0.38,0.5,0.88
"4",34.73,0.34,0.23,8.4,0.11,6.24,1.7,43.47,0.57,0.11,0.91,0.68,0.45
"5",32.56,0.17,0.66,11.13,0.33,8.8,4.49,35.05,0.33,1.16,2.49,0.17,0.66
"6",24.47,0.3,1.67,16.72,1.52,7.75,5.17,31.16,1.52,2.13,4.41,0.46,1.37
"7",28.3,0.16,2.23,13.51,0.95,7,3.18,34.66,0.95,2.07,3.18,0.64,1.11
"8",32.44,0.82,0.47,12.3,0.82,5.74,1.52,41.33,0.23,1.05,0.82,0.47,0.59
"9",28.6,0.34,1.01,13.51,1.35,7.88,3.38,36.82,0.79,2.93,2.03,0.23,0.45
"10",20.8,0.4,2.2,22.6,2.2,14.2,3.6,24.4,1.4,2.4,3.6,0,0.8
"11",25.76,0.31,0.94,14.7,1.36,13.66,4.38,29.3,0.52,1.98,3.55,1.25,1.04
"12",26.74,0.27,1.6,12.97,1.47,9.36,4.01,33.42,1.07,2.41,3.21,0.4,1.34
"13",22.07,0.24,1.46,19.63,1.1,7.2,3.54,35.49,0.98,1.59,2.93,0.24,0.98
"14",25.93,0.34,1.02,16.44,1.19,10.34,2.88,33.9,0.85,1.69,3.22,0.68,1.19
"15",34.99,0.12,0.95,11.15,1.07,6.05,2.49,37.6,1.19,0.24,1.42,0.59,0.47
"16",25.82,0.54,1.09,13.04,0.95,10.19,4.62,31.66,0.95,2.72,5.03,0.27,1.36
"17",33.08,0.22,0.33,10.29,0.22,4.42,1.55,44.69,0.77,0.44,1.22,0.33,0.55
"18",26.8,1.01,0.84,19.1,1.68,13.4,3.69,25.96,1.01,2.01,1.84,0.5,0.67
"19",34.85,0.22,1.62,9.09,1.84,10.82,2.49,34.2,0.43,0.65,1.41,0.32,0.54
"20",30.25,0.23,1.04,12.7,0.46,4.16,3.46,42.26,0.58,0.46,1.5,0.35,1.27
"21",37.61,0.56,1.13,10.99,0.7,7.61,1.97,33.8,0.28,0.7,1.83,0.42,0.85
"22",29.72,0.54,0.54,13.7,1.09,9.5,2.71,32.7,0,1.9,2.44,0.27,1.76
"23",34.97,0.12,0.12,8.96,0.25,2.33,0.61,50.31,0.49,0,0.61,0.37,0.37
"24",28.84,0.37,1.25,15.23,1.25,6.12,1.87,36.45,0.75,1.62,3.75,0.12,0.75
"25",29.38,0,1.03,10.93,0.93,6.19,2.58,41.03,1.13,1.44,2.47,0.41,1.13
"26",27.93,0.23,1.38,15.63,0.8,9.08,2.87,34.48,0.57,2.07,2.76,0.69,0.57
"27",28.18,0.11,2.77,11.74,1.81,10.25,3.84,33.62,0.43,2.13,2.24,0.53,0.75
"28",33.96,0.12,0.35,9.8,0.7,8.17,2.1,39.09,0.35,1.05,1.4,0.12,0.7
"29",24.21,0.24,2.44,19.32,2.08,10.02,3.79,26.65,0.37,3.79,3.55,0.86,0.73
"30",27.13,0.25,0.76,15.03,0.76,7.64,2.29,37.83,0.51,2.42,2.04,0.64,1.4
"31",32.35,0.37,0.37,10.7,0.98,8.98,1.6,39.98,0.86,1.11,0.74,0.74,0.49
"32",34.17,0.5,0.5,11.76,0.75,7.26,1.63,39.42,0.38,0.5,1.38,0.13,0.38
