X,Y,Compter - Colonne A
"662056,1","6868393,2",12
"662057,5","6866644,8",8
"662059,4","6866652,1",8
"662060,6","6868240,4",22
"662061,81","6866806,42",10
"662063,4","6866556,3",8
"662064,6","6866672,1",8
"662065,4","6867127,9",2
"662065,9","6866564,9",8
"662066,2","6866678,5",8
"662066,55","6866695,12",8
"662068,37","6866830,82",12
662069,"6867147,6",2
"662070,2","6866583,6",8
"662071,7","6866589,9",7
"662072,2","6866705,5",8
"662074,4","6868725,01",22
"662076,1","6868230,3",11
"662076,31","6866855,39",12
"662077,86","6866875,16",10
"662078,2","6867010,5",7
"662078,44","6867115,81",2
"662079,2","6868388,4",12
"662079,45","6867113,24",2
"662080,69","6867242,02",9
"662081,24","6867252,71",34
"662083,71","6867270,73",13
"662084,37","6867264,74",30
"662085,5","6868207,8",22
"662085,8",6867147,2
"662086,04","6867328,2",2
"662088,46","6867287,65",43
"662088,8","6868226,8",24
"662089,24","6867195,77",10
"662091,55","6867310,38",42
"662095,87","6867375,94",10
"662096,68","6867342,5",42
"662099,13","6867355,81",43
"662103,18","6868727,62",12
"662106,3","6868218,9",24
"662107,94","6867397,03",10
"662111,29","6867411,42",10
"662111,4","6868382,9",12
"662111,43","6868712,5",6
"662116,04","6868676,04",6
"662120,52","6866820,19",21
"662121,15","6868578,1",12
"662132,72","6866818,34",21
"662132,87","6868714,86",6
"662137,61","6868570,15",11
"662145,68","6868718,94",6
"662146,96","6868674,24",6
"662150,01","6866810,95",21
"662153,9","6868581,73",6
"662156,01","6868602,89",4
"662157,97","6867391,06",10
"662159,57","6868678,86",12
"662159,64","6868616,59",6
"662159,84",6866812,21
662162,"6867306,87",10
"662163,68","6867323,33",10
"662164,42","6868698,43",12
"662165,34","6867337,44",10
"662167,67","6868714,09",11
"662168,22","6867356,63",10
"662169,54","6867377,4",10
"662173,09","6868683,7",5
"662174,79","6867437,21",6
"662175,2","6866686,6",12
"662175,74","6868704,1",22
"662176,13","6866806,6",21
"662178,1","6866509,6",1
"662181,7","6867394,9",10
"662184,93","6867424,6",6
"662185,36","6866804,78",21
"662189,94","6867396,24",54
"662198,6","6867408,3",10
"662200,27","6866800,56",21
"662201,68","6868204,69",23
"662204,12","6867313,66",10
"662209,45","6866798,93",21
"662209,5","6866255,9",1
"662210,9","6866677,5",12
"662211,6","6866261,3",1
"662213,8","6866266,9",1
"662217,15","6866522,78",21
"662217,58","6866232,28",1
"662218,1","6866277,8",1
"662218,15","6867420,51",10
"662221,4","6866231,7",1
"662221,59","6866540,59",21
"662222,3","6866288,7",1
"662222,9","6866245,5",1
"662224,56","6867311,96",10
"662226,3",6866221,1
"662226,99","6866553,7",21
"662228,28","6866792,54",21
"662229,8","6868772,1",22
"662230,22","6866567,01",21
"662231,1",6867199,8
"662232,52","6866230,22",1
"662233,05","6868190,93",24
"662234,66","6866584,63",21
"662236,69","6866593,24",21
"662239,92","6866225,35",1
"662240,32","6866607,34",21
"662240,7","6866214,2",1
"662240,75","6866790,3",21
"662242,1","6866238,9",1
"662243,46","6867315,75",10
"662243,93","6866618,1",20
"662245,1","6867392,11",10
"662246,6","6866246,6",1
"662246,7","6867183,8",11
662250,6866250,1
"662250,05","6866273,6",1
"662251,04","6866278,84",1
"662251,5","6866217,4",1
"662252,5","6867184,4",10
"662254,53","6866276,25",1
"662254,94","6866262,26",1
"662255,23","6867377,92",10
"662256,52","6866222,88",1
"662260,11","6866272,58",1
"662261,12","6866242,13",1
"662261,2","6866255,27",1
"662265,4","6867197,4",10
"662266,72","6867363,68",10
"662267,86","6866236,01",1
"662268,8","6866243,45",1
"662273,18","6866272,25",1
"662280,25","6866269,71",1
"662281,3",6867214,10
"662281,94","6867346,33",10
"662282,5","6867220,7",10
"662284,69","6866225,33",1
"662289,01","6866263,57",1
"662289,93","6866219,26",1
