exemple,amplitude,médiane,valeur aberrante
bon,l’étendue des données pour le 92 est beaucoup plus importante que celle du 93. on peut donc dire que le 92 est plus inégalitaire que le 93 concernant les dettes de ses habitants. l'amplitude importante signifie qu'il y a un écart important entre la plus grande dette et la plus faible contrairement au 93 ou elles sont plus rapprochées.,la médiane girondine est plus haute que la médiane landaise,"dans le 92, il y a une valeur très fortement aberrante, il n’y a pas d’équivalent dans le 93"
mauvais,L'amplitude des distributions peut s'évaluer par les limites des premier et neuvième déciles.,La médiane de distribution ce situe au centre de nos données 50% au dessus 50 % en dessous,Les valeurs hors des boîtes sont des valeurs aberrantes
