Code,LIBCOM,nbEntreprises,RP,nonDiplomes,MFS
25583,Valonne,7,104,0,0
25584,Valoreille,10,49,0,0
25586,Vandoncourt,32,359,0,0
25588,Vaucluse,3,44,40,0
25589,Vauclusotte,2,38,0,0
25590,Vaudrivillers,4,38,0,0
25591,Vaufrey,6,75,33.3,0
25592,Vaux-et-Chantegrue,35,272,15,0
25594,Velesmes-Essarts,25,156,0,0
25595,Vellerot-lès-Belvoir,5,46,50,0
25596,Vellerot-lès-Vercel,5,31,0,0
25597,Vellevans,5,94,0,0
25598,Venise,20,198,22.2,0
25599,Vennans,12,90,0,0
25600,Vennes,7,74,0,0
25601,Vercel-Villedieu-le-Camp,113,671,16.4,0
25602,Vergranne,4,47,0,0
25604,Verne,7,56,0,0
25605,Vernierfontaine,16,188,4.5,0
25607,Vernois-lès-Belvoir,1,29,N/A,0
25608,Le Vernoy,2,68,16.7,0
25609,Verrières-de-Joux,8,188,10,0
25611,La Vèze,30,214,16.7,0
25612,Vieilley,27,298,10.9,0
25613,Viéthorey,5,43,0,0
25614,Vieux-Charmont,125,1281,16.7,0
25615,Villars-lès-Blamont,14,201,5.9,0
25616,Villars-Saint-Georges,17,109,20,0
25617,Villars-sous-Dampjoux,18,163,0,0
25618,Villars-sous-Écot,11,159,7.7,0
25619,Les Villedieu,12,84,0,0
25620,Ville-du-Pont,21,147,13.3,0
25621,Villeneuve-d'Amont,9,85,7.1,0
25622,Villers-Buzon,11,116,0,0
25623,Villers-Chief,7,52,28.6,0
25624,Villers-Grélot,5,67,50,0
25625,Villers-la-Combe,1,27,33.3,0
25626,Villers-Saint-Martin,12,89,0,0
25627,Villers-sous-Chalamont,12,121,0,0
25629,Voillans,15,92,28.6,0
25630,Voires,2,36,0,0
25631,Vorges-les-Pins,37,239,5.7,0
25632,Voujeaucourt,166,1461,17.1,0
25633,Vuillafans,41,304,7.7,0
25634,Vuillecin,53,280,12.2,0
25635,Vyt-lès-Belvoir,13,78,0,0
26001,Solaure en Diois,56,204,8.3,0
26002,Albon,144,801,10.6,0
26003,Aleyrac,3,22,0,0
26004,Alixan,379,1027,36.7,0
26005,Allan,151,712,7.7,0
26006,Allex,219,1015,16.9,0
26007,Ambonil,12,43,0,0
26008,Ancône,54,599,8.6,0
26009,Andancette,108,597,12.2,0
26010,Anneyron,275,1804,11.2,0
26011,Aouste-sur-Sye,236,1120,21.4,0
26012,Arnayon,7,12,0,0
26013,Arpavon,15,35,50,0
26014,Arthémonay,29,231,10.5,0
26015,Aubenasson,6,30,N/A,0
26016,Aubres,37,192,0,0
26017,Aucelon,0,10,0,0
26018,Aulan,2,5,N/A,0
26019,Aurel,24,117,0,0
26020,La Répara-Auriples,26,102,0,0
26021,Autichamp,7,55,33.3,0
