Exercice;Outre-mer;Code Insee 2024 Région;Nom 2024 Région;Code Insee 2024 Département;Nom 2024 Département;Code Siren 2024 EPCI;Nom 2024 EPCI;Strate population 2024;Commune rurale;Commune de montagne;Commune touristique;Tranche revenu par habitant;Présence QPV;Code Insee 2024 Commune;Nom 2024 Commune;Catégorie;Code Siren Collectivité;Code Insee Collectivité;Siret Budget;Libellé Budget;Type de budget;Nomenclature;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2024 Disponible;code_type_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;Population totale du dernier exercice
2024;Non;28;Normandie;27;Eure;200089456;Communauté d'agglomération Seine-Eure;7;Non;Non;Non;1;Oui;27375;Louviers;Commune;212703755;27375;21270375500018;LOUVIERS;Budget principal;M14;Dépenses d'intervention;2839314.33;2.83931433;18724;151.64037224951934;1;1;;;;;4;;;;;;2024;18724
2024;Non;94;Corse;2A;Corse-du-Sud;242010056;Communauté d'agglomération du Pays Ajaccien;5;Non;Oui;Non;3;Non;2A006;Alata;Commune;212000061;2A006;21200006100011;ALATA;Budget principal;M14;Dépenses d'intervention;161709.77;0.16170977;3659;44.195072424159605;1;1;;;;;4;;;;;;2024;3659
2024;Non;94;Corse;2A;Corse-du-Sud;200067049;Communauté de communes Spelunca-Liamone;0;Oui;Oui;Non;1;Non;2A027;Azzana;Commune;212000277;2A027;21200027700013;AZZANA;Budget principal;M14A;Dépenses d'intervention;8168.31;0.00816831;52;157.08288461538461;1;1;;;;;4;;;;;;2024;52
2024;Non;94;Corse;2A;Corse-du-Sud;200067049;Communauté de communes Spelunca-Liamone;1;Oui;Oui;Non;1;Non;2A144;Lopigna;Commune;212001440;2A144;21200144000016;LOPIGNA;Budget principal;M14A;Dépenses d'intervention;8006.61;0.008006609999999999;109;73.45513761467889;1;1;;;;;4;;;;;;2024;109
2024;Non;94;Corse;2A;Corse-du-Sud;200067049;Communauté de communes Spelunca-Liamone;0;Oui;Oui;Non;0;Non;2A259;Rezza;Commune;212002596;2A259;21200259600014;REZZA;Budget principal;M14A;Dépenses d'intervention;4916.76;0.00491676;68;72.30529411764707;1;1;;;;;4;;;;;;2024;68
2024;Non;94;Corse;2A;Corse-du-Sud;200067049;Communauté de communes Spelunca-Liamone;0;Oui;Oui;Non;1;Non;2A262;Rosazia;Commune;212002620;2A262;21200262000012;ROSAZIA;Budget principal;M14A;Dépenses d'intervention;0.0;0.0;51;0.0;1;1;;;;;4;;;;;;2024;51
2024;Non;94;Corse;2A;Corse-du-Sud;200067049;Communauté de communes Spelunca-Liamone;0;Oui;Oui;Non;0;Non;2A266;Salice;Commune;212002661;2A266;21200266100016;SALICE;Budget principal;M14A;Dépenses d'intervention;186837.44;0.18683744;92;2030.841739130435;1;1;;;;;4;;;;;;2024;92
2024;Non;94;Corse;2A;Corse-du-Sud;200067049;Communauté de communes Spelunca-Liamone;1;Oui;Oui;Non;1;Non;2A279;Serriera;Commune;212002794;2A279;21200279400015;SERRIERA;Budget principal;M14A;Dépenses d'intervention;4053.76;0.00405376;118;34.35389830508475;1;1;;;;;4;;;;;;2024;118
2024;Non;94;Corse;2B;Haute-Corse;200073138;Communauté de communes Pasquale Paoli;1;Oui;Oui;Non;2;Non;2B289;Soveria;Commune;212002893;2B289;21200289300015;SOVERIA;Budget principal;M14A;Dépenses d'intervention;4552.44;0.00455244;116;39.2451724137931;1;1;;;;;4;;;;;;2024;116
2024;Non;76;Occitanie;31;Haute-Garonne;200073146;Communauté de communes Cagire Garonne Salat;0;Oui;Oui;Non;1;Non;31447;Razecueillé;Commune;213104474;31447;21310447400019;RAZECUEILLE;Budget principal;M14;Dépenses d'intervention;3788.53;0.00378853;34;111.42735294117648;1;1;;;;;4;;;;;;2024;34
