"","commune","logements_sociaux","population"
"1","Bagnolet",5084,36166
"2","Bobigny",8238,54528
"3","Bondy",6534,54746
"4","Le PrC)-Saint-Gervais",2712,17423
"5","Les Lilas",2087,23575
"6","Montreuil",2254,111810
"7","Noisy-le-Sec",4007,44591
"8","Pantin",7031,60027
"9","Romainville",3841,30171
