"","taille","NOM_IRIS"
"1425","petit","Merisiers /14 juillet"
"1498","petit","Merisiers /14 juillet"
"1564","petit","Merisiers /14 juillet"
"1565","petit","Merisiers /14 juillet"
"1567","petit","Merisiers /14 juillet"
"1568","petit","Merisiers /14 juillet"
"1572","petit","Merisiers /14 juillet"
"1578","petit","Merisiers /14 juillet"
"1593","petit","Merisiers /14 juillet"
"1600","petit","Merisiers /14 juillet"
"1658","petit","Merisiers /14 juillet"
"1666","petit","Merisiers /14 juillet"
"1735","petit","Merisiers /14 juillet"
"1740","petit","Merisiers /14 juillet"
"1773","petit","Merisiers /14 juillet"
"1777","petit","Merisiers /14 juillet"
"1787","petit","Merisiers /14 juillet"
"1797","petit","Merisiers /14 juillet"
"1805","petit","Merisiers /14 juillet"
"1808","petit","Merisiers /14 juillet"
"1823","petit","Merisiers /14 juillet"
"1840","petit","Merisiers /14 juillet"
"1849","petit","Merisiers /14 juillet"
"1857","petit","Merisiers /14 juillet"
"1932","petit","Merisiers /14 juillet"
"1934","petit","Merisiers /14 juillet"
"1946","petit","Merisiers /14 juillet"
"1948","petit","Merisiers /14 juillet"
"1952","petit","Merisiers /14 juillet"
"1956","petit","Merisiers /14 juillet"
"1977","petit","Merisiers /14 juillet"
"2000","petit","Merisiers /14 juillet"
"2025","petit","Merisiers /14 juillet"
"2026","petit","Merisiers /14 juillet"
"2034","petit","Merisiers /14 juillet"
"2048","petit","Merisiers /14 juillet"
"2132","petit","Merisiers /14 juillet"
"2135","petit","Merisiers /14 juillet"
"2138","petit","Merisiers /14 juillet"
"2142","petit","Merisiers /14 juillet"
"2178","petit","Merisiers /14 juillet"
"2181","petit","Merisiers /14 juillet"
"2188","petit","Merisiers /14 juillet"
"2203","petit","Merisiers /14 juillet"
"2215","petit","Merisiers /14 juillet"
"2231","petit","Merisiers /14 juillet"
"2260","petit","Merisiers /14 juillet"
"2280","petit","Merisiers /14 juillet"
"2287","petit","Merisiers /14 juillet"
"2306","petit","Merisiers /14 juillet"
"2329","petit","Merisiers /14 juillet"
"2345","petit","Merisiers /14 juillet"
"2367","petit","Merisiers /14 juillet"
"2372","petit","Merisiers /14 juillet"
"2420","petit","Merisiers /14 juillet"
"2466","petit","Merisiers /14 juillet"
"2467","petit","Merisiers /14 juillet"
"2486","petit","Merisiers /14 juillet"
"2490","petit","Merisiers /14 juillet"
"2494","petit","Merisiers /14 juillet"
"2497","petit","Merisiers /14 juillet"
"2502","petit","Merisiers /14 juillet"
"2512","petit","Merisiers /14 juillet"
"2516","petit","Merisiers /14 juillet"
"2526","petit","Merisiers /14 juillet"
"2529","petit","Merisiers /14 juillet"
"2543","petit","Merisiers /14 juillet"
"2547","petit","Merisiers /14 juillet"
"2550","petit","Merisiers /14 juillet"
"2555","petit","Merisiers /14 juillet"
"2560","petit","Merisiers /14 juillet"
"2574","petit","Merisiers /14 juillet"
"2579","petit","Merisiers /14 juillet"
"2584","petit","Merisiers /14 juillet"
"2605","petit","Merisiers /14 juillet"
"2653","petit","Merisiers /14 juillet"
"2656","petit","Merisiers /14 juillet"
"2677","petit","Merisiers /14 juillet"
"2687","petit","Merisiers /14 juillet"
"2708","petit","Merisiers /14 juillet"
"2715","petit","Merisiers /14 juillet"
"2735","petit","Merisiers /14 juillet"
"2742","petit","Merisiers /14 juillet"
"2754","petit","Merisiers /14 juillet"
"3238","moyen","Merisiers /14 juillet"
"3240","moyen","Merisiers /14 juillet"
"3246","moyen","Merisiers /14 juillet"
"3248","moyen","Merisiers /14 juillet"
"3250","moyen","Merisiers /14 juillet"
"3252","moyen","Merisiers /14 juillet"
"3256","moyen","Merisiers /14 juillet"
"3260","moyen","Merisiers /14 juillet"
"3264","moyen","Merisiers /14 juillet"
"3265","moyen","Merisiers /14 juillet"
"3270","moyen","Merisiers /14 juillet"
"3271","moyen","Merisiers /14 juillet"
"3276","moyen","Merisiers /14 juillet"
"3290","moyen","Merisiers /14 juillet"
"3449","moyen","Merisiers /14 juillet"
"3567","moyen","Merisiers /14 juillet"
"3610","moyen","Merisiers /14 juillet"
"3614","moyen","Merisiers /14 juillet"
"3642","moyen","Merisiers /14 juillet"
"3662","moyen","Merisiers /14 juillet"
"3672","moyen","Merisiers /14 juillet"
"3690","moyen","Merisiers /14 juillet"
"3711","moyen","Merisiers /14 juillet"
"3749","moyen","Merisiers /14 juillet"
"3769","moyen","Merisiers /14 juillet"
"3779","moyen","Merisiers /14 juillet"
"3789","moyen","Merisiers /14 juillet"
"4088","moyen","Merisiers /14 juillet"
"4099","moyen","Merisiers /14 juillet"
"4105","moyen","Merisiers /14 juillet"
"4109","moyen","Merisiers /14 juillet"
"4148","moyen","Merisiers /14 juillet"
"4174","moyen","Merisiers /14 juillet"
"4182","moyen","Merisiers /14 juillet"
"4198","moyen","Merisiers /14 juillet"
"4284","moyen","Merisiers /14 juillet"
"4307","moyen","Merisiers /14 juillet"
"4319","moyen","Merisiers /14 juillet"
"4323","moyen","Merisiers /14 juillet"
"4327","moyen","Merisiers /14 juillet"
"4329","moyen","Merisiers /14 juillet"
"4332","moyen","Merisiers /14 juillet"
"4335","moyen","Merisiers /14 juillet"
"4336","moyen","Merisiers /14 juillet"
"4337","moyen","Merisiers /14 juillet"
"4341","moyen","Merisiers /14 juillet"
"4344","moyen","Merisiers /14 juillet"
"4345","moyen","Merisiers /14 juillet"
"4347","moyen","Merisiers /14 juillet"
"4349","moyen","Merisiers /14 juillet"
"4353","moyen","Merisiers /14 juillet"
"4355","moyen","Merisiers /14 juillet"
