"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"2397881";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";280000;2;"";"RUE";"8920";"VAN DYCK";51100;"REIMS";"51";454;NA;"AO";211;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;40;4;"S";"";296
"2397882";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";280000;2;"";"RUE";"8920";"VAN DYCK";51100;"REIMS";"51";454;NA;"AO";211;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";296
"2397899";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";118000;26;"";"RUE";"7190";"DE PONTGIVART";51100;"REIMS";"51";454;NA;"AY";412;"";"105";NA;"137";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"2397900";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";118000;9001;"";"RUE";"3270";"EMILE SENART";51100;"REIMS";"51";454;NA;"AY";412;"";"222";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397901";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";118000;26;"";"RUE";"7190";"DE PONTGIVART";51100;"REIMS";"51";454;NA;"AY";412;"";"105";NA;"137";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;70;3;"";"";NA
"2397902";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";196000;282;"B";"AV";"5300";"DE LAON";51100;"REIMS";"51";454;NA;"AX";693;"";"7";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;99;4;"";"";NA
"2397903";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";196000;6;"";"RUE";"0950";"BLAVIER";51100;"REIMS";"51";454;NA;"AX";693;"";"808";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397904";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";149500;NA;"";"CHS";"0980";"BOCQUAINE";51100;"REIMS";"51";454;NA;"HZ";226;"";"140";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397905";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";149500;NA;"";"CHS";"0980";"BOCQUAINE";51100;"REIMS";"51";454;NA;"HZ";226;"";"89";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;66;3;"";"";NA
"2397909";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";210200;7;"";"RUE";"3180";"EDOUARD MIGNOT";51100;"REIMS";"51";454;NA;"AT";415;"";"41";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;80;3;"";"";NA
"2397910";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";210200;7;"";"RUE";"3180";"EDOUARD MIGNOT";51100;"REIMS";"51";454;NA;"AT";415;"";"151";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397915";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";155000;6;"";"RUE";"7610";"DES ROMAINS";51100;"REIMS";"51";454;NA;"AT";72;"";"9";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397916";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";155000;6;"";"RUE";"7610";"DES ROMAINS";51100;"REIMS";"51";454;NA;"AT";72;"";"29";64,93;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;63;3;"";"";NA
"2397928";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";88100;45;"";"RUE";"1620";"CHABAUD";51100;"REIMS";"51";454;NA;"IK";714;"";"240";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397929";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";88100;47;"";"RUE";"1620";"CHABAUD";51100;"REIMS";"51";454;NA;"IK";714;"";"60";31,59;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;31;1;"";"";NA
"2397930";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";88100;47;"";"RUE";"1620";"CHABAUD";51100;"REIMS";"51";454;NA;"IK";714;"";"138";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397931";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";88100;47;"";"RUE";"1620";"CHABAUD";51100;"REIMS";"51";454;NA;"IK";714;"";"60";31,59;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397932";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";142000;155;"";"RUE";"9040";"DE VESLE";51100;"REIMS";"51";454;NA;"IK";817;"";"7";40,46;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;37;2;"";"";NA
"2397935";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";67400;71;"";"RUE";"1250";"DE BRIMONTEL";51100;"REIMS";"51";454;NA;"AL";419;"";"92";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397936";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";163500;9001;"";"RUE";"7442";"RENE COCHINARD";51100;"REIMS";"51";454;NA;"CT";390;"";"229";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397937";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";163500;17;"";"ESP";"5446";"LE ROUET";51100;"REIMS";"51";454;NA;"CT";390;"";"89";67,37;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;65;3;"";"";NA
"2397945";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";94000;56;"";"RUE";"8320";"DE SILLERY";51100;"REIMS";"51";454;NA;"CI";132;"";"145";NA;"90";28,68;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;28;1;"";"";NA
"2397946";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";94000;56;"";"RUE";"8320";"DE SILLERY";51100;"REIMS";"51";454;NA;"CI";132;"";"196";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397947";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";94000;56;"";"RUE";"8320";"DE SILLERY";51100;"REIMS";"51";454;NA;"CI";132;"";"145";NA;"90";28,68;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"2397948";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";165000;39;"";"RUE";"5825";"DE LA MAISON BLANCHE";51100;"REIMS";"51";454;NA;"DV";452;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";238
"2397949";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente en l'état futur d'achèvement";84639,6;NA;"";"";"";"";NA;"REIMS";"51";454;NA;"AW";619;"";"88";NA;"";NA;"";NA;NA;NA;NA;NA;1;NA;"";NA;NA;NA;"";"";NA
"2397967";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";159000;16;"";"RUE";"6210";"DES MOISSONS";51100;"REIMS";"51";454;NA;"CW";21;"";"75";49,32;"95";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;49;2;"";"";NA
"2397968";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";159000;16;"";"RUE";"6210";"DES MOISSONS";51100;"REIMS";"51";454;NA;"CW";21;"";"14";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"2397969";"'51454";NA;NA;NA;NA;NA;NA;NA;1;"13/01/2022";"Vente";84600;6;"";"ALL";"2003";"CLAUDE MONET";51100;"REIMS";"51";454;NA;"DK";198;"";"511";46,83;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
