"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"609256";"15012";NA;NA;NA;NA;NA;NA;NA;1;"20/01/2022";"Vente";50000;7099;"";"ALL";"0144";"DES DEUX MONTS";15130;"ARPAJON-SUR-CERE";"15";12;NA;"AT";95;"";"104";NA;"115";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"609257";"15012";NA;NA;NA;NA;NA;NA;NA;1;"20/01/2022";"Vente";50000;7099;"";"ALL";"0144";"DES DEUX MONTS";15130;"ARPAJON-SUR-CERE";"15";12;NA;"AT";95;"";"104";NA;"115";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"609258";"15012";NA;NA;NA;NA;NA;NA;NA;1;"20/01/2022";"Vente";50000;7099;"";"ALL";"0144";"DES DEUX MONTS";15130;"ARPAJON-SUR-CERE";"15";12;NA;"AT";95;"";"27";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;36;2;"";"";NA
"609382";"15012";NA;NA;NA;NA;NA;NA;NA;2;"12/01/2022";"Vente";371;NA;"";"";"B217";"LIMAGNE GRANDE";15130;"ARPAJON-SUR-CERE";"15";12;NA;"AB";145;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"PA";"";53
"609397";"15012";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";119000;2;"";"RUE";"0380";"DU MONT MOUCHET";15130;"ARPAJON-SUR-CERE";"15";12;NA;"AD";321;"";"10";111,91;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"609398";"15012";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";119000;18;"";"RUE";"0500";"DE LA SABLIERE";15130;"ARPAJON-SUR-CERE";"15";12;NA;"AD";321;"";"15";112;"16";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;110;3;"";"";NA
"609437";"15012";NA;NA;NA;NA;NA;NA;NA;1;"01/02/2022";"Vente";210300;6;"";"CITE";"A070";"SOPHIE BERTHELOT";15130;"ARPAJON-SUR-CERE";"15";12;NA;"AM";183;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;160;5;"S";"";727
"609438";"15012";NA;NA;NA;NA;NA;NA;NA;1;"01/02/2022";"Vente";210300;NA;"";"LOT";"A013";"BONAFE";15130;"ARPAJON-SUR-CERE";"15";12;NA;"AM";186;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"AB";"RUE";894
"609464";"15012";NA;NA;NA;NA;NA;NA;NA;1;"19/01/2022";"Vente";50000;30;"A";"AV";"0240";"DU GENERAL MILHAUD";15130;"ARPAJON-SUR-CERE";"15";12;NA;"AD";233;"";"64";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"609465";"15012";NA;NA;NA;NA;NA;NA;NA;1;"19/01/2022";"Vente";50000;28;"";"AV";"0240";"DU GENERAL MILHAUD";15130;"ARPAJON-SUR-CERE";"15";12;NA;"AD";233;"";"15";NA;"45";24,08;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
