"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"4308156";"'93063";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";340000;129;"";"RUE";"0040";"ALEXANDRE DUMAS";93230;"ROMAINVILLE";"93";63;NA;"AF";126;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;59;3;"S";"";186
"4308157";"'93031";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";163000;20;"";"RUE";"4432";"HENRI WALLON";93800;"EPINAY SUR SEINE";"93";31;NA;"AU";110;"";"621";59,64;"622";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;60;3;"";"";NA
"4308158";"'93031";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";163000;20;"";"RUE";"4432";"HENRI WALLON";93800;"EPINAY SUR SEINE";"93";31;NA;"AU";110;"";"621";59,64;"622";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"4308159";"'93031";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";163000;20;"";"RUE";"4432";"HENRI WALLON";93800;"EPINAY SUR SEINE";"93";31;NA;"AU";110;"";"1203";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"4308166";"'93070";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente en l'état futur d'achèvement";427000;19;"";"RUE";"9655";"VINCENT PALARIC";93400;"SAINT-OUEN-SUR-SEINE";"93";70;NA;"AQ";251;"";"29";NA;"";NA;"";NA;NA;NA;NA;NA;1;NA;"";NA;NA;NA;"";"";NA
"4308167";"'93070";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente en l'état futur d'achèvement";427000;19;"";"RUE";"9655";"VINCENT PALARIC";93400;"SAINT-OUEN-SUR-SEINE";"93";70;NA;"AQ";251;"";"60";NA;"";NA;"";NA;NA;NA;NA;NA;1;NA;"";NA;NA;NA;"";"";NA
"4308170";"'93031";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";319500;8;"";"IMP";"0660";"BLACK";93800;"EPINAY SUR SEINE";"93";31;NA;"AL";109;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;98;4;"S";"";242
"4308187";"'93070";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";311000;25;"";"RUE";"5125";"DU LANDY";93400;"SAINT-OUEN-SUR-SEINE";"93";70;NA;"D";91;"";"131";41,14;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;50;2;"";"";NA
"4308188";"'93070";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";311000;25;"";"RUE";"5125";"DU LANDY";93400;"SAINT-OUEN-SUR-SEINE";"93";70;NA;"D";91;"";"422";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"4308242";"'93031";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";219000;195;"";"AV";"2510";"DE LATTRE DE TASSIGNY";93800;"EPINAY SUR SEINE";"93";31;NA;"F";138;"";"175";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
