"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"3260705";"72181";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";8000;8;"";"RUE";"5365";"DES URSULINES";72000;"LE MANS";"72";181;NA;"CT";86;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;4;"Local industriel. commercial ou assimilé";NA;452;0;"S";"";1028
"3260706";"72181";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";8000;9001;"";"PL";"1429";"DES COMTES DU MAINE";72000;"LE MANS";"72";181;NA;"CT";91;"";"507";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3260707";"72181";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";8000;13;"";"PL";"1429";"DES COMTES DU MAINE";72000;"LE MANS";"72";181;NA;"CT";92;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";557
"3260708";"72181";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";80000;8;"";"BD";"0135";"MARIE ET ALEXANDRE OYON";72100;"LE MANS";"72";181;NA;"HW";298;"";"831";48,8;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;48;2;"";"";NA
"3260709";"72181";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";80000;8;"";"BD";"0135";"MARIE ET ALEXANDRE OYON";72100;"LE MANS";"72";181;NA;"HW";298;"";"831";48,8;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3260710";"72181";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";80000;6;"";"BD";"0135";"MARIE ET ALEXANDRE OYON";72100;"LE MANS";"72";181;NA;"HW";298;"";"1126";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3260714";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";74000;2;"";"RUE";"0112";"ALCIDE DE GASPERI";72100;"LE MANS";"72";181;NA;"EI";25;"";"255";NA;"46";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"3260715";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";74000;2;"";"RUE";"0112";"ALCIDE DE GASPERI";72100;"LE MANS";"72";181;NA;"EI";25;"";"255";NA;"46";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;83;4;"";"";NA
"3260716";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";74000;2;"";"RUE";"0112";"ALCIDE DE GASPERI";72100;"LE MANS";"72";181;NA;"EI";25;"";"255";NA;"46";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"3260722";"72181";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";298000;96;"";"RUE";"0470";"BARBIER";72000;"LE MANS";"72";181;NA;"MN";55;"";"5";37,66;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;39;2;"";"";NA
"3260723";"72181";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";298000;96;"";"RUE";"0470";"BARBIER";72000;"LE MANS";"72";181;NA;"MN";55;"";"6";34,76;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;35;2;"";"";NA
"3260724";"72181";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";298000;96;"";"RUE";"0470";"BARBIER";72000;"LE MANS";"72";181;NA;"MN";55;"";"1";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3260725";"72181";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";298000;96;"";"RUE";"0470";"BARBIER";72000;"LE MANS";"72";181;NA;"MN";55;"";"7";36,59;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;35;2;"";"";NA
"3260726";"72181";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";298000;96;"";"RUE";"0470";"BARBIER";72000;"LE MANS";"72";181;NA;"MN";55;"";"8";21,53;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;30;2;"";"";NA
"3260727";"72181";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";298000;96;"";"RUE";"0470";"BARBIER";72000;"LE MANS";"72";181;NA;"MN";55;"";"4";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3260728";"72181";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";298000;96;"";"RUE";"0470";"BARBIER";72000;"LE MANS";"72";181;NA;"MN";55;"";"3";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3260729";"72181";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";298000;96;"";"RUE";"0470";"BARBIER";72000;"LE MANS";"72";181;NA;"MN";55;"";"2";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3260742";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";137000;86;"";"RUE";"0142";"ALFRED DE VIGNY";72000;"LE MANS";"72";181;NA;"BP";396;"";"30";108,81;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;102;5;"";"";NA
"3260743";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";137000;86;"";"RUE";"0142";"ALFRED DE VIGNY";72000;"LE MANS";"72";181;NA;"BP";396;"";"30";108,81;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3260744";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";137000;86;"";"RUE";"0142";"ALFRED DE VIGNY";72000;"LE MANS";"72";181;NA;"BP";396;"";"30";108,81;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3260751";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";85000;1;"";"RUE";"2055";"DU FOLLERAY";72000;"LE MANS";"72";181;NA;"KZ";865;"";"105";NA;"151";68,27;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"3260752";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";85000;1;"";"RUE";"2055";"DU FOLLERAY";72000;"LE MANS";"72";181;NA;"KZ";865;"";"105";NA;"151";68,27;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"3260753";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";85000;1;"";"RUE";"2055";"DU FOLLERAY";72000;"LE MANS";"72";181;NA;"KZ";865;"";"202";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3260754";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";85000;1;"";"RUE";"2055";"DU FOLLERAY";72000;"LE MANS";"72";181;NA;"KZ";865;"";"105";NA;"151";68,27;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;65;4;"";"";NA
"3260779";"72181";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";66600;11;"";"RUE";"4753";"DES ROMARINS";72000;"LE MANS";"72";181;NA;"BK";439;"";"229";NA;"280";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"3260780";"72181";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";66600;11;"";"RUE";"4753";"DES ROMARINS";72000;"LE MANS";"72";181;NA;"BK";439;"";"503";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3260781";"72181";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";66600;11;"";"RUE";"4753";"DES ROMARINS";72000;"LE MANS";"72";181;NA;"BK";439;"";"229";NA;"280";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;31;1;"";"";NA
"3260782";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";332500;116;"";"RUE";"3455";"DE LA MARIETTE";72000;"LE MANS";"72";181;NA;"DX";79;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";143
"3260783";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";332500;116;"";"RUE";"3455";"DE LA MARIETTE";72000;"LE MANS";"72";181;NA;"DX";79;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";143
"3260784";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";332500;116;"";"RUE";"3455";"DE LA MARIETTE";72000;"LE MANS";"72";181;NA;"DX";79;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;206;10;"S";"";143
"3260785";"72181";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";332500;120;"";"RUE";"3455";"DE LA MARIETTE";72000;"LE MANS";"72";181;NA;"DX";153;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";23
"3260786";"72181";NA;NA;NA;NA;NA;NA;NA;1;"10/01/2022";"Vente";190000;NA;"";"IMP";"3555";"MESSAGER";72000;"LE MANS";"72";181;NA;"AC";308;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";1222
"3260787";"72181";NA;NA;NA;NA;NA;NA;NA;1;"10/01/2022";"Vente";190000;8;"";"IMP";"3555";"MESSAGER";72000;"LE MANS";"72";181;NA;"AC";313;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;66;4;"S";"";130
