"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"3304400";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";8000;31;"";"RUE";"0910";"GEORGES 1ER";73100;"AIX LES BAINS";"73";8;NA;"BZ";384;"";"12";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;28;1;"";"";NA
"3304401";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";227000;31;"";"RUE";"0910";"GEORGES 1ER";73100;"AIX LES BAINS";"73";8;NA;"BZ";384;"";"74";32,66;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3304402";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";227000;31;"";"RUE";"0910";"GEORGES 1ER";73100;"AIX LES BAINS";"73";8;NA;"BZ";384;"";"74";32,66;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;35;1;"";"";NA
"3304501";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";76500;59;"";"RUE";"2290";"VICTOR HUGO";73100;"AIX LES BAINS";"73";8;NA;"CH";42;"";"9";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;38;2;"";"";NA
"3304517";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";639000;55;"";"CHE";"0064";"DES ALLOBROGES";73100;"AIX LES BAINS";"73";8;NA;"AN";302;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"P";"";702
"3304518";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";639000;55;"";"CHE";"0064";"DES ALLOBROGES";73100;"AIX LES BAINS";"73";8;NA;"AN";302;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;120;5;"P";"";702
"3304519";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";639000;55;"";"CHE";"0064";"DES ALLOBROGES";73100;"AIX LES BAINS";"73";8;NA;"AN";302;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";500
"3304520";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";639000;55;"";"CHE";"0064";"DES ALLOBROGES";73100;"AIX LES BAINS";"73";8;NA;"AN";302;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;120;5;"S";"";500
"3304569";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";240220;19;"";"RUE";"0178";"DU BEAUPRE";73100;"AIX LES BAINS";"73";8;NA;"BT";565;"";"57";NA;"87";67,15;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"3304570";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";240220;19;"";"RUE";"0178";"DU BEAUPRE";73100;"AIX LES BAINS";"73";8;NA;"BT";565;"";"57";NA;"87";67,15;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;67;3;"";"";NA
"3304624";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";503500;2;"";"BD";"1920";"DE LA ROCHE DU ROI";73100;"AIX LES BAINS";"73";8;NA;"CE";44;"";"13";NA;"47";NA;"64";NA;NA;NA;NA;NA;3;3;"Dépendance";NA;0;0;"";"";NA
"3304625";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";503500;2;"";"BD";"1920";"DE LA ROCHE DU ROI";73100;"AIX LES BAINS";"73";8;NA;"CE";44;"";"13";NA;"47";NA;"64";NA;NA;NA;NA;NA;3;3;"Dépendance";NA;0;0;"";"";NA
"3304626";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";503500;2;"";"BD";"1920";"DE LA ROCHE DU ROI";73100;"AIX LES BAINS";"73";8;NA;"CE";44;"";"13";NA;"47";NA;"64";NA;NA;NA;NA;NA;3;2;"Appartement";NA;72;3;"";"";NA
"3304634";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";175000;4;"";"RUE";"1790";"DU PRINTEMPS";73100;"AIX LES BAINS";"73";8;NA;"AZ";676;"";"3";57,81;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;57;2;"";"";NA
"3304640";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente en l'état futur d'achèvement";141000;17;"";"RUE";"1100";"ISALINE";73100;"AIX LES BAINS";"73";8;NA;"CE";712;"";"133";NA;"";NA;"";NA;NA;NA;NA;NA;1;NA;"";NA;NA;NA;"";"";NA
"3304641";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"10/01/2022";"Vente";486100;40;"";"RUE";"1147";"PROFESSEUR JEAN BERNARD";73100;"AIX LES BAINS";"73";8;NA;"AP";316;"";"1";NA;"3";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"3304642";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"10/01/2022";"Vente";486100;40;"";"RUE";"1147";"PROFESSEUR JEAN BERNARD";73100;"AIX LES BAINS";"73";8;NA;"AP";316;"";"1";NA;"3";NA;"";NA;NA;NA;NA;NA;2;1;"Maison";NA;90;4;"";"";NA
"3304643";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";198763;3;"B";"RUE";"0710";"ELVIRE";73100;"AIX LES BAINS";"73";8;NA;"BC";21;"";"1";NA;"10";NA;"2";NA;NA;NA;NA;NA;3;3;"Dépendance";NA;0;0;"";"";NA
"3304644";"'73008";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";198763;3;"B";"RUE";"0710";"ELVIRE";73100;"AIX LES BAINS";"73";8;NA;"BC";21;"";"1";NA;"10";NA;"2";NA;NA;NA;NA;NA;3;2;"Appartement";NA;40;3;"";"";NA
