"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"932367";"'24322";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";250000;8;"";"CHE";"X030";"RURAL DE L ERMITAGE";24000;"PERIGUEUX";"24";322;NA;"AT";216;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"L";"";677
"932368";"'24322";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";250000;8;"";"CHE";"X030";"RURAL DE L ERMITAGE";24000;"PERIGUEUX";"24";322;NA;"AT";216;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;177;6;"L";"";677
"932369";"'24322";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";250000;8;"";"CHE";"X030";"RURAL DE L ERMITAGE";24000;"PERIGUEUX";"24";322;NA;"AT";216;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";1209
"932370";"'24322";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";250000;8;"";"CHE";"X030";"RURAL DE L ERMITAGE";24000;"PERIGUEUX";"24";322;NA;"AT";216;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;177;6;"S";"";1209
"932371";"'24322";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";250000;8;"";"CHE";"X030";"RURAL DE L ERMITAGE";24000;"PERIGUEUX";"24";322;NA;"AT";216;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";1209
"932372";"'24322";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";250000;8;"";"CHE";"X030";"RURAL DE L ERMITAGE";24000;"PERIGUEUX";"24";322;NA;"AT";216;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"L";"";677
"932373";"'24322";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";250000;NA;"";"";"B026";"L ERMITAGE";24000;"PERIGUEUX";"24";322;NA;"AT";217;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"L";"";93
"932374";"'24322";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";250000;NA;"";"RUE";"1180";"COMBE DES DAMES";24000;"PERIGUEUX";"24";322;NA;"AT";239;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";2
"932375";"'24322";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";149000;50;"";"BD";"0160";"AMPERE";24000;"PERIGUEUX";"24";322;NA;"AS";541;"";"3";83,91;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"932376";"'24322";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";149000;50;"";"BD";"0160";"AMPERE";24000;"PERIGUEUX";"24";322;NA;"AS";541;"";"3";83,91;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;86;4;"";"";NA
