"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"550233";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";15000;4;"";"AV";"4710";"MADAME DE SEGUR";14000;"CAEN";"14";118;NA;"IY";80;"";"488";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"550234";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";190400;9;"";"RUE";"5430";"DE L ORATOIRE";14000;"CAEN";"14";118;NA;"KV";12;"";"4";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;50;3;"";"";NA
"550236";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";162000;54;"";"RUE";"2890";"DE FALAISE";14000;"CAEN";"14";118;NA;"LN";65;"";"7";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;17;1;"";"";NA
"550237";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";162000;54;"";"RUE";"2890";"DE FALAISE";14000;"CAEN";"14";118;NA;"LN";65;"";"8";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;21;1;"";"";NA
"550238";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";162000;54;"";"RUE";"2890";"DE FALAISE";14000;"CAEN";"14";118;NA;"LN";65;"";"2";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"550239";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";162000;54;"";"RUE";"2890";"DE FALAISE";14000;"CAEN";"14";118;NA;"LN";65;"";"2";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;18;1;"";"";NA
"550240";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";104000;37;"";"RUE";"5210";"MONSEIGNEUR ADAM";14000;"CAEN";"14";118;NA;"IW";14;"";"203";NA;"204";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"550241";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";104000;37;"";"RUE";"5210";"MONSEIGNEUR ADAM";14000;"CAEN";"14";118;NA;"IW";14;"";"203";NA;"204";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;51;3;"";"";NA
"550242";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";71000;56;"";"RUE";"2880";"EUSTACHE RESTOUT";14000;"CAEN";"14";118;NA;"MX";32;"";"13";NA;"46";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;25;1;"";"";NA
"550243";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";71000;56;"";"RUE";"2880";"EUSTACHE RESTOUT";14000;"CAEN";"14";118;NA;"MX";32;"";"13";NA;"46";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"550246";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";220000;51;"";"RUE";"0790";"DE BERNIERES";14000;"CAEN";"14";118;NA;"KS";1;"";"18";NA;"32";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;72;3;"";"";NA
"550247";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";220000;51;"";"RUE";"0790";"DE BERNIERES";14000;"CAEN";"14";118;NA;"KS";1;"";"18";NA;"32";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"550249";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";1;NA;"";"RUE";"4205";"JOSEPH PHILIPPON";14000;"CAEN";"14";118;NA;"NO";67;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";311
"550250";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";51000;106;"";"RUE";"3490";"DE GEOLE";14000;"CAEN";"14";118;NA;"HC";13;"";"160";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"550254";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";130800;58;"";"BD";"3580";"GEORGES POMPIDOU";14000;"CAEN";"14";118;NA;"IZ";437;"";"155";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"550255";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";130800;58;"";"BD";"3580";"GEORGES POMPIDOU";14000;"CAEN";"14";118;NA;"IZ";437;"";"108";NA;"139";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"550256";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";130800;58;"";"BD";"3580";"GEORGES POMPIDOU";14000;"CAEN";"14";118;NA;"IZ";437;"";"108";NA;"139";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"550257";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";130800;58;"";"BD";"3580";"GEORGES POMPIDOU";14000;"CAEN";"14";118;NA;"IZ";437;"";"108";NA;"139";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;43;2;"";"";NA
"550258";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";485000;16;"";"RUE";"1810";"DU CLOS DES ROSES";14000;"CAEN";"14";118;NA;"IM";295;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;180;8;"S";"";433
"550259";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";485000;16;"";"RUE";"1810";"DU CLOS DES ROSES";14000;"CAEN";"14";118;NA;"IM";367;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";327
"550260";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";485000;16;"";"RUE";"1810";"DU CLOS DES ROSES";14000;"CAEN";"14";118;NA;"IM";368;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";54
"550262";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";70000;36;"";"RUE";"1702";"DE CHEUX";14000;"CAEN";"14";118;NA;"IY";142;"";"54";NA;"55";NA;"67";NA;68;NA;75;NA;5;3;"Dépendance";NA;0;0;"";"";NA
"550263";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";70000;36;"";"RUE";"1702";"DE CHEUX";14000;"CAEN";"14";118;NA;"IY";142;"";"54";NA;"55";NA;"67";NA;68;NA;75;NA;5;3;"Dépendance";NA;0;0;"";"";NA
"550264";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";70000;36;"";"RUE";"1702";"DE CHEUX";14000;"CAEN";"14";118;NA;"IY";142;"";"54";NA;"55";NA;"67";NA;68;NA;75;NA;5;2;"Appartement";NA;30;1;"";"";NA
"550265";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";163000;77;"";"RUE";"0610";"DE BAYEUX";14000;"CAEN";"14";118;NA;"OA";17;"";"20";NA;"36";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"550266";"'14118";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";163000;77;"";"RUE";"0610";"DE BAYEUX";14000;"CAEN";"14";118;NA;"OA";17;"";"20";NA;"36";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;58;3;"";"";NA
