"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"4169866";"'91272";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";450000;93;"";"ALL";"2120";"DE LA POINTE GENETE";91190;"GIF SUR YVETTE";"91";272;NA;"AD";133;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;69;4;"S";"";542
"4169905";"'91021";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";212800;30;"B";"AV";"1480";"DE VERDUN";91290;"ARPAJON";"91";21;NA;"AK";464;"";"275";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"4169906";"'91021";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";212800;3;"";"RUE";"0995";"MARCELLE GOURMELON";91290;"ARPAJON";"91";21;NA;"AK";464;"";"121";59;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;59;3;"";"";NA
"4169969";"'91377";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";273820;19;"";"RUE";"3465";"NORMANDIE NIEMEN";91300;"MASSY";"91";377;NA;"BL";4;"";"5";84,73;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;85;4;"";"";NA
"4169970";"'91377";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";273820;23;"B";"RUE";"3465";"NORMANDIE NIEMEN";91300;"MASSY";"91";377;NA;"BL";4;"";"34";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"4170038";"'91272";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";504423;12;"";"RTE";"0930";"DE DAMIETTE";91190;"GIF SUR YVETTE";"91";272;NA;"BC";116;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;113;4;"S";"";646
"4170039";"'91272";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";504423;12;"";"RTE";"0930";"DE DAMIETTE";91190;"GIF SUR YVETTE";"91";272;NA;"BC";116;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";646
"4170040";"'91272";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";332000;7;"";"PL";"1793";"DU MARCHE NEUF";91190;"GIF SUR YVETTE";"91";272;NA;"AH";47;"";"442";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"4170041";"'91272";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";332000;9;"";"PL";"1793";"DU MARCHE NEUF";91190;"GIF SUR YVETTE";"91";272;NA;"AH";47;"";"281";88,85;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;86;4;"";"";NA
"4170042";"'91272";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";332000;9;"";"PL";"1793";"DU MARCHE NEUF";91190;"GIF SUR YVETTE";"91";272;NA;"AH";47;"";"281";88,85;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
