"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"2184164";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"03/06/2022";"Vente";213000;44;"";"CHE";"0506";"DE L EPI BLOND";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"ZM";259;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;80;4;"S";"";414
"2184165";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"17/06/2022";"Vente";283000;26;"";"";"B111";"LE MARIAU";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AS";136;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;140;5;"S";"";1009
"2184166";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"17/06/2022";"Vente";283000;26;"";"";"B111";"LE MARIAU";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AS";136;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;140;5;"AG";"";570
"2184579";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"20/06/2022";"Vente";167000;9;"";"RUE";"0120";"DE BLOIS";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AK";35;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;57;2;"S";"";189
"2184606";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"17/06/2022";"Vente en l'état futur d'achèvement";176460;NA;"";"";"B074";"LA FOLIE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"ZM";398;"";"77";NA;"";NA;"";NA;NA;NA;NA;NA;1;NA;"";NA;NA;NA;"";"";NA
"2185109";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"23/06/2022";"Vente";350000;47;"";"RTE";"1322";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AX";155;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";300
"2185110";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"23/06/2022";"Vente";350000;47;"";"RTE";"1322";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AX";155;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;162;6;"J";"POTAG";946
"2185111";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"23/06/2022";"Vente";350000;47;"";"RTE";"1322";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AX";155;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"J";"POTAG";946
"2185112";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"23/06/2022";"Vente";350000;47;"";"RTE";"1322";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AX";155;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"J";"POTAG";946
"2185113";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"23/06/2022";"Vente";350000;47;"";"RTE";"1322";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AX";155;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";300
"2185114";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"23/06/2022";"Vente";350000;47;"";"RTE";"1322";"DE LA NIVELLE";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AX";155;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;162;6;"S";"";300
"2186861";"'45203";NA;NA;NA;NA;NA;NA;NA;1;"20/06/2022";"Vente";45000;NA;"";"RUE";"0040";"ARISTIDE BRIAND";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AB";321;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"AB";"";303
"2186878";"'45203";NA;NA;NA;NA;NA;NA;NA;2;"29/06/2022";"Vente";72000;NA;"";"RUE";"0120";"DE BLOIS";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AC";61;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";597
"2186879";"'45203";NA;NA;NA;NA;NA;NA;NA;2;"29/06/2022";"Vente";72000;NA;"";"RUE";"0120";"DE BLOIS";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AC";359;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"AB";"";559
"2186880";"'45203";NA;NA;NA;NA;NA;NA;NA;2;"29/06/2022";"Vente";72000;NA;"";"";"B065";"LES COUTURES";45130;"MEUNG-SUR-LOIRE";"45";203;NA;"AC";362;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"AB";"";66
