"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"4424441";"95127";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";48956;NA;"";"";"B075";"LES PATIS";95000;"CERGY";"95";127;NA;"ZH";290;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"T";"";21681
"4424442";"95127";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";48956;NA;"";"";"B080";"LE PORT D ERAGNY";95000;"CERGY";"95";127;NA;"ZH";293;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"T";"";3297
"4424468";"95582";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";150000;38;"";"BD";"0490";"CHARLES DE GAULLE";95110;"SANNOIS";"95";582;NA;"AH";410;"";"100";NA;"192";NA;"193";39,73;NA;NA;NA;NA;3;2;"Appartement";NA;38;1;"";"";NA
"4424469";"95582";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";150000;38;"";"BD";"0490";"CHARLES DE GAULLE";95110;"SANNOIS";"95";582;NA;"AH";410;"";"100";NA;"192";NA;"193";39,73;NA;NA;NA;NA;3;3;"Dépendance";NA;0;0;"";"";NA
"4424470";"95582";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";205000;10;"";"VLA";"A274";"GIRAUD";95110;"SANNOIS";"95";582;NA;"AO";458;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";300
"4424496";"95127";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente en l'état futur d'achèvement";257045;20;"";"RUE";"0035";"DE L AVEN";95800;"CERGY";"95";127;NA;"DT";143;"";"1184";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"4424497";"95127";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente en l'état futur d'achèvement";257045;20;"";"RUE";"0035";"DE L AVEN";95800;"CERGY";"95";127;NA;"DT";143;"";"1044";77,4;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;64;4;"";"";NA
"4424562";"95127";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";217000;7;"";"SQ";"0344";"DU DIAPASON";95000;"CERGY";"95";127;NA;"AX";55;"";"1006";84,49;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;85;4;"";"";NA
"4424563";"95127";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";217000;9001;"";"SQ";"0344";"DU DIAPASON";95000;"CERGY";"95";127;NA;"AX";55;"";"1093";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"4424564";"95127";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";217000;7;"";"SQ";"0344";"DU DIAPASON";95000;"CERGY";"95";127;NA;"AX";55;"";"1006";84,49;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"4424565";"95127";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";491000;39;"";"AV";"0386";"DE L ENCLOS";95800;"CERGY";"95";127;NA;"EC";51;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;128;6;"S";"";518
"4424605";"95582";NA;NA;NA;NA;NA;NA;NA;1;"08/01/2022";"Vente en l'état futur d'achèvement";386000;8;"";"BD";"0890";"GABRIEL PERI";95110;"SANNOIS";"95";582;NA;"AM";307;"";"315";NA;"";NA;"";NA;NA;NA;NA;NA;1;NA;"";NA;NA;NA;"";"";NA
"4424606";"95582";NA;NA;NA;NA;NA;NA;NA;1;"08/01/2022";"Vente en l'état futur d'achèvement";386000;8;"";"BD";"0890";"GABRIEL PERI";95110;"SANNOIS";"95";582;NA;"AM";307;"";"109";NA;"";NA;"";NA;NA;NA;NA;NA;1;NA;"";NA;NA;NA;"";"";NA
"4424649";"95127";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente en l'état futur d'achèvement";263000;NA;"";"";"";"";NA;"CERGY";"95";127;NA;"AW";177;"";"1113";NA;"";NA;"";NA;NA;NA;NA;NA;1;NA;"";NA;NA;NA;"";"";NA
"4424650";"95127";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente en l'état futur d'achèvement";263000;24;"";"RUE";"1030";"DES MARJOBERTS";95000;"CERGY";"95";127;NA;"AW";227;"";"20";50;"";NA;"";NA;NA;NA;NA;NA;1;NA;"";NA;NA;NA;"";"";NA
