"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"3082216";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";1218000;15;"";"RUE";"0045";"ANDRE DUFRENE";69300;"CALUIRE ET CUIRE";"69";34;NA;"AS";431;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";815
"3082223";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"10/01/2022";"Vente";238900;97;"";"RUE";"1470";"PASTEUR";69300;"CALUIRE ET CUIRE";"69";34;NA;"AN";155;"";"141";59,09;"201";NA;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;59;3;"";"";NA
"3082224";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"10/01/2022";"Vente";238900;97;"";"RUE";"1470";"PASTEUR";69300;"CALUIRE ET CUIRE";"69";34;NA;"AN";155;"";"141";59,09;"201";NA;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"3082231";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";524750;2;"";"RUE";"0990";"JAMEN GRAND";69300;"CALUIRE ET CUIRE";"69";34;NA;"AN";220;"";"20";NA;"22";NA;"4";91,78;NA;NA;NA;NA;3;3;"Dépendance";NA;0;0;"";"";NA
"3082232";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";524750;2;"";"RUE";"0990";"JAMEN GRAND";69300;"CALUIRE ET CUIRE";"69";34;NA;"AN";220;"";"32";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3082233";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";524750;2;"";"RUE";"0990";"JAMEN GRAND";69300;"CALUIRE ET CUIRE";"69";34;NA;"AN";220;"";"31";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3082234";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";524750;2;"";"RUE";"0990";"JAMEN GRAND";69300;"CALUIRE ET CUIRE";"69";34;NA;"AN";220;"";"20";NA;"22";NA;"4";91,78;NA;NA;NA;NA;3;2;"Appartement";NA;90;4;"";"";NA
"3082237";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";398000;85;"";"RUE";"1630";"PIERRE BRUNIER";69300;"CALUIRE ET CUIRE";"69";34;NA;"BI";422;"";"205";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"3082238";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";398000;85;"";"RUE";"1630";"PIERRE BRUNIER";69300;"CALUIRE ET CUIRE";"69";34;NA;"BI";422;"";"101";NA;"114";64,21;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"3082239";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";398000;85;"";"RUE";"1630";"PIERRE BRUNIER";69300;"CALUIRE ET CUIRE";"69";34;NA;"BI";422;"";"101";NA;"114";64,21;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;63;2;"";"";NA
"3082248";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";345000;4;"";"RUE";"1275";"MARTIN BASSE";69300;"CALUIRE ET CUIRE";"69";34;NA;"AH";247;"";"56";76,66;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;77;4;"";"";NA
"3082263";"'69034";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";730000;188;"";"CHE";"1450";"DU PANORAMA";69300;"CALUIRE ET CUIRE";"69";34;NA;"AT";119;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";213
