"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"441757";"13005";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";185000;9001;"";"RES";"A368";"LES FRENES";13400;"AUBAGNE";"13";5;NA;"AI";203;"";"86";93,3;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"441758";"13005";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";185000;9001;"";"RES";"A368";"LES FRENES";13400;"AUBAGNE";"13";5;NA;"AI";203;"";"86";93,3;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;88;4;"";"";NA
"441759";"13005";NA;NA;NA;NA;NA;NA;NA;1;"03/01/2022";"Vente";185000;9001;"";"RES";"A368";"LES FRENES";13400;"AUBAGNE";"13";5;NA;"AI";203;"";"212";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"441808";"13005";NA;NA;NA;NA;NA;NA;NA;1;"10/01/2022";"Vente";120000;21;"";"RUE";"1020";"JEU DE BALLON";13400;"AUBAGNE";"13";5;NA;"AE";36;"";"2";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;60;2;"";"";NA
"441809";"13005";NA;NA;NA;NA;NA;NA;NA;1;"10/01/2022";"Vente";120000;21;"";"RUE";"1020";"JEU DE BALLON";13400;"AUBAGNE";"13";5;NA;"AE";36;"";"1";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;40;1;"";"";NA
"441979";"13005";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";168000;9001;"";"RES";"A243";"CLAIR SOLEIL";13400;"AUBAGNE";"13";5;NA;"BI";15;"";"537";NA;"624";58,04;"";NA;NA;NA;NA;NA;2;3;"Dépendance";NA;0;0;"";"";NA
"441980";"13005";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";168000;9001;"";"RES";"A243";"CLAIR SOLEIL";13400;"AUBAGNE";"13";5;NA;"BI";15;"";"419";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"441981";"13005";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";168000;9001;"";"RES";"A243";"CLAIR SOLEIL";13400;"AUBAGNE";"13";5;NA;"BI";15;"";"537";NA;"624";58,04;"";NA;NA;NA;NA;NA;2;2;"Appartement";NA;60;3;"";"";NA
"441993";"13005";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";235700;6;"";"RUE";"1710";"DE LA RENAISSANCE";13400;"AUBAGNE";"13";5;NA;"AR";167;"";"50";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;80;3;"";"";NA
"441994";"13005";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";235700;6;"";"RUE";"1710";"DE LA RENAISSANCE";13400;"AUBAGNE";"13";5;NA;"AR";167;"";"28";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"442008";"13005";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente en l'état futur d'achèvement";237578,73;560;"";"AV";"0073";"DE L'AMITIE";13400;"AUBAGNE";"13";5;NA;"DE";923;"";"121";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;60;3;"";"";NA
"442009";"13005";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente en l'état futur d'achèvement";237578,73;560;"";"AV";"0073";"DE L'AMITIE";13400;"AUBAGNE";"13";5;NA;"DE";923;"";"57";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"442037";"13005";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";90000;58;"";"RUE";"1740";"DE LA REPUBLIQUE";13400;"AUBAGNE";"13";5;NA;"AH";6;"";"20";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;46;2;"";"";NA
"442129";"13005";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";850000;9491;"";"";"B013";"L AUMONE VIEILLE";13400;"AUBAGNE";"13";5;NA;"DW";4;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;4;"Local industriel. commercial ou assimilé";NA;4050;0;"S";"";5544
"442346";"13005";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";232000;9001;"";"RES";"A254";"LE CLOS ST MICHEL";13400;"AUBAGNE";"13";5;NA;"AD";464;"";"2";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;67;3;"";"";NA
"442347";"13005";NA;NA;NA;NA;NA;NA;NA;1;"05/01/2022";"Vente";232000;9001;"";"RES";"A254";"LE CLOS ST MICHEL";13400;"AUBAGNE";"13";5;NA;"AD";464;"";"4";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"442351";"13005";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";196000;28;"";"RES";"A228";"LES CIBOULETTES RUE SO";13400;"AUBAGNE";"13";5;NA;"BR";296;"";"196";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"442352";"13005";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";196000;44;"";"RES";"A228";"LES CIBOULETTES RUE SO";13400;"AUBAGNE";"13";5;NA;"BR";296;"";"54";NA;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;90;4;"";"";NA
"442436";"13005";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";468000;NA;"";"";"B042";"LE CLOS RUFISQUE OUEST";13400;"AUBAGNE";"13";5;NA;"BT";15;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"AB";"";420
"442437";"13005";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";468000;14;"";"BD";"0625";"DES FARIGOULES";13400;"AUBAGNE";"13";5;NA;"BT";19;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;62;4;"S";"";505
"442490";"13005";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";345000;722;"G";"CHE";"1760";"DE RIQUET";13400;"AUBAGNE";"13";5;NA;"AR";552;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;87;3;"S";"";322
"442516";"13005";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";15000;9001;"";"RES";"A525";"ANJOU";13400;"AUBAGNE";"13";5;NA;"AW";34;"";"614";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
