"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"2661329";"'59553";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";201000;12;"";"RUE";"0680";"PASTEUR";59211;"SANTES";"59";553;NA;"AS";73;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";114
"2661330";"'59553";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";201000;12;"";"RUE";"0680";"PASTEUR";59211;"SANTES";"59";553;NA;"AS";73;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;100;4;"S";"";114
"2661446";"'59553";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";394850;71;"";"RUE";"0480";"MARGUERITE LEPLAT";59211;"SANTES";"59";553;NA;"AL";25;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";605
"2661447";"'59553";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";394850;71;"";"RUE";"0480";"MARGUERITE LEPLAT";59211;"SANTES";"59";553;NA;"AL";25;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;145;5;"S";"";605
"2661448";"'59553";NA;NA;NA;NA;NA;NA;NA;1;"06/01/2022";"Vente";394850;71;"";"RUE";"0480";"MARGUERITE LEPLAT";59211;"SANTES";"59";553;NA;"AL";25;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";605
"2662822";"'59553";NA;NA;NA;NA;NA;NA;NA;1;"18/01/2022";"Vente";193000;22;"";"RUE";"0520";"DE LA MASURE";59211;"SANTES";"59";553;NA;"AE";359;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;92;4;"S";"";241
"2663185";"'59553";NA;NA;NA;NA;NA;NA;NA;2;"28/01/2022";"Vente";165000;49;"";"RUE";"0080";"CLEMENCEAU";59211;"SANTES";"59";553;NA;"AC";409;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;73;3;"S";"";250
"2663275";"'59553";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";234000;32;"";"RUE";"0680";"PASTEUR";59211;"SANTES";"59";553;NA;"AS";61;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";303
"2663276";"'59553";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";234000;32;"";"RUE";"0680";"PASTEUR";59211;"SANTES";"59";553;NA;"AS";61;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;140;6;"S";"";303
"2664686";"'59553";NA;NA;NA;NA;NA;NA;NA;1;"24/01/2022";"Vente";464700;22;"";"CLOS";"A019";"DES AQUARELLES";59211;"SANTES";"59";553;NA;"AE";520;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;138;6;"S";"";575
"2666399";"'59553";NA;NA;NA;NA;NA;NA;NA;1;"09/02/2022";"Vente";202800;58;"";"RUE";"0200";"DU GENERAL DE GAULLE";59211;"SANTES";"59";553;NA;"AS";235;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";212
