"";"cog";"Identifiant.de.document";"Reference.document";"X1.Articles.CGI";"X2.Articles.CGI";"X3.Articles.CGI";"X4.Articles.CGI";"X5.Articles.CGI";"No.disposition";"Date.mutation";"Nature.mutation";"Valeur.fonciere";"No.voie";"B.T.Q";"Type.de.voie";"Code.voie";"Voie";"Code.postal";"Commune";"Code.departement";"Code.commune";"Prefixe.de.section";"Section";"No.plan";"No.Volume";"X1er.lot";"Surface.Carrez.du.1er.lot";"X2eme.lot";"Surface.Carrez.du.2eme.lot";"X3eme.lot";"Surface.Carrez.du.3eme.lot";"X4eme.lot";"Surface.Carrez.du.4eme.lot";"X5eme.lot";"Surface.Carrez.du.5eme.lot";"Nombre.de.lots";"Code.type.local";"Type.local";"Identifiant.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Nature.culture";"Nature.culture.speciale";"Surface.terrain"
"4127345";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";119000;9001;"";"ALL";"0765";"DE BONBOIRE  - VAUX";89000;"AUXERRE";"89";24;NA;"B";1669;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"AG";"";504
"4127346";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";119000;9001;"";"ALL";"0765";"DE BONBOIRE  - VAUX";89000;"AUXERRE";"89";24;NA;"B";1669;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"BT";"";1651
"4127347";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";119000;9001;"";"ALL";"0765";"DE BONBOIRE  - VAUX";89000;"AUXERRE";"89";24;NA;"B";1669;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"BT";"";1651
"4127348";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";119000;9001;"";"ALL";"0765";"DE BONBOIRE  - VAUX";89000;"AUXERRE";"89";24;NA;"B";1669;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;109;4;"S";"";1200
"4127349";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";119000;9001;"";"ALL";"0765";"DE BONBOIRE  - VAUX";89000;"AUXERRE";"89";24;NA;"B";1669;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";1200
"4127350";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";119000;9001;"";"ALL";"0765";"DE BONBOIRE  - VAUX";89000;"AUXERRE";"89";24;NA;"B";1669;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";1200
"4127351";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";119000;9001;"";"ALL";"0765";"DE BONBOIRE  - VAUX";89000;"AUXERRE";"89";24;NA;"B";1669;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;109;4;"AG";"";504
"4127352";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";119000;9001;"";"ALL";"0765";"DE BONBOIRE  - VAUX";89000;"AUXERRE";"89";24;NA;"B";1669;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"AG";"";504
"4127353";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"07/01/2022";"Vente";119000;9001;"";"ALL";"0765";"DE BONBOIRE  - VAUX";89000;"AUXERRE";"89";24;NA;"B";1669;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;109;4;"BT";"";1651
"4127367";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"04/01/2022";"Vente";550000;1;"";"RUE";"5600";"DE LA PLAINE DES ISLES";89000;"AUXERRE";"89";24;NA;"AB";452;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;4;"Local industriel. commercial ou assimilé";NA;868;0;"S";"";2557
"4127432";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";61000;22;"";"RUE";"2650";"FECAUDERIE";89000;"AUXERRE";"89";24;NA;"BH";288;"";"20";NA;"21";NA;"39";41,86;40;NA;NA;NA;4;3;"Dépendance";NA;0;0;"";"";NA
"4127433";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";61000;22;"";"RUE";"2650";"FECAUDERIE";89000;"AUXERRE";"89";24;NA;"BH";288;"";"20";NA;"21";NA;"39";41,86;40;NA;NA;NA;4;3;"Dépendance";NA;0;0;"";"";NA
"4127434";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";61000;22;"";"RUE";"2650";"FECAUDERIE";89000;"AUXERRE";"89";24;NA;"BH";288;"";"20";NA;"21";NA;"39";41,86;40;NA;NA;NA;4;2;"Appartement";NA;41;2;"";"";NA
"4127474";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";335000;19;"";"RUE";"5630";"DU PONT";89000;"AUXERRE";"89";24;NA;"BI";200;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;2;"Appartement";NA;33;1;"S";"";176
"4127475";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";335000;19;"";"RUE";"5630";"DU PONT";89000;"AUXERRE";"89";24;NA;"BI";200;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;2;"Appartement";NA;19;1;"S";"";176
"4127476";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";335000;19;"";"RUE";"5630";"DU PONT";89000;"AUXERRE";"89";24;NA;"BI";200;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;2;"Appartement";NA;31;1;"S";"";176
"4127477";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";335000;19;"";"RUE";"5630";"DU PONT";89000;"AUXERRE";"89";24;NA;"BI";200;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;2;"Appartement";NA;37;2;"S";"";176
"4127478";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";335000;19;"";"RUE";"5630";"DU PONT";89000;"AUXERRE";"89";24;NA;"BI";200;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;4;"Local industriel. commercial ou assimilé";NA;212;0;"S";"";176
"4127558";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"12/01/2022";"Vente";175000;1;"";"ALL";"6654";"DE LA SOURCE";89000;"AUXERRE";"89";24;NA;"DX";254;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;84;4;"S";"";511
"4127562";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";78500;4;"";"RUE";"2350";"D ECKMUHL";89000;"AUXERRE";"89";24;NA;"DY";673;"";"123";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"4127563";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";78500;4;"";"RUE";"2350";"D ECKMUHL";89000;"AUXERRE";"89";24;NA;"DY";673;"";"205";48,63;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;47;2;"";"";NA
"4127564";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"11/01/2022";"Vente";78500;15;"";"RUE";"0240";"ARISTIDE BRIAND";89000;"AUXERRE";"89";24;NA;"DY";673;"";"130";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"4127565";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";45000;3;"";"RUE";"2430";"DE L EGALITE";89000;"AUXERRE";"89";24;NA;"EM";141;"";"19";21,08;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;32;2;"";"";NA
"4127567";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"13/01/2022";"Vente";138000;6;"";"ALL";"4910";"MOLIERE";89000;"AUXERRE";"89";24;NA;"DV";190;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;83;4;"S";"";593
"4127625";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"19/01/2022";"Vente";117000;23;"";"AV";"6140";"DE LA RESISTANCE";89000;"AUXERRE";"89";24;NA;"BM";22;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;60;4;"S";"";581
"4127712";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"18/01/2022";"Vente";117000;33;"";"RUE";"7220";"DU 24 AOUT";89000;"AUXERRE";"89";24;NA;"DY";314;"";"223";NA;"";NA;"";NA;NA;NA;NA;NA;1;3;"Dépendance";NA;0;0;"";"";NA
"4127713";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"18/01/2022";"Vente";117000;14;"";"AV";"5820";"DE LA PUISAYE";89000;"AUXERRE";"89";24;NA;"DY";314;"";"825";58,82;"";NA;"";NA;NA;NA;NA;NA;1;2;"Appartement";NA;59;3;"";"";NA
"4127716";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";137000;64;"";"RUE";"7220";"DU 24 AOUT";89000;"AUXERRE";"89";24;NA;"DY";1;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";942
"4127717";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";137000;64;"";"RUE";"7220";"DU 24 AOUT";89000;"AUXERRE";"89";24;NA;"DY";1;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";942
"4127718";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";137000;64;"";"RUE";"7220";"DU 24 AOUT";89000;"AUXERRE";"89";24;NA;"DY";1;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;1;"Maison";NA;84;4;"S";"";942
"4127719";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";137000;64;"";"RUE";"7220";"DU 24 AOUT";89000;"AUXERRE";"89";24;NA;"DY";1;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";942
"4127720";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";137000;64;"";"RUE";"7220";"DU 24 AOUT";89000;"AUXERRE";"89";24;NA;"DY";1;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";942
"4127721";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";137000;64;"";"RUE";"7220";"DU 24 AOUT";89000;"AUXERRE";"89";24;NA;"DY";1;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";942
"4127722";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"14/01/2022";"Vente";137000;64;"";"RUE";"7220";"DU 24 AOUT";89000;"AUXERRE";"89";24;NA;"DY";1;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;3;"Dépendance";NA;0;0;"S";"";942
"4127730";"'89024";NA;NA;NA;NA;NA;NA;NA;1;"19/01/2022";"Vente";59000;NA;"";"AV";"0850";"BOURBOTTE";89000;"AUXERRE";"89";24;NA;"AY";409;"";"";NA;"";NA;"";NA;NA;NA;NA;NA;0;NA;"";NA;NA;NA;"S";"";70
